Date,Clicks,Impressions,CTR,Position
2026-02-22,523,14813,3.53%,15.7
2026-02-23,796,17109,4.65%,15.2
2026-02-24,814,16883,4.82%,14.7
2026-02-25,998,18728,5.33%,15.8
2026-02-26,959,15976,6%,12.7
2026-02-27,758,16834,4.5%,13.2
2026-02-28,597,14859,4.02%,13.5
2026-03-01,601,15947,3.77%,14.4
2026-03-02,864,19050,4.54%,14.5
2026-03-03,814,20038,4.06%,13.3
2026-03-04,794,21317,3.72%,15
2026-03-05,785,19116,4.11%,13.8
2026-03-06,798,18224,4.38%,14.2
2026-03-07,475,15397,3.09%,14.6
2026-03-08,411,15504,2.65%,15.3
2026-03-09,691,18137,3.81%,14.8
2026-03-10,782,17692,4.42%,12.4
2026-03-11,732,17317,4.23%,13.4
2026-03-12,774,18376,4.21%,12.5
2026-03-13,670,21159,3.17%,11.7
2026-03-14,486,16308,2.98%,13.1
2026-03-15,588,18634,3.16%,13.9
2026-03-16,752,21112,3.56%,13.6
2026-03-17,727,19547,3.72%,13.1
2026-03-18,771,21000,3.67%,13.1
2026-03-19,795,23208,3.43%,12.5
2026-03-20,659,21903,3.01%,12.7
2026-03-21,508,19504,2.6%,14.3
2026-03-22,482,19216,2.51%,14.2
2026-03-23,708,20551,3.45%,12.5
2026-03-24,849,21520,3.95%,12.3
2026-03-25,819,24053,3.4%,13.5
2026-03-26,701,22222,3.15%,13.6
2026-03-27,692,20823,3.32%,13.7
2026-03-28,542,18041,3%,12.8
2026-03-29,510,19659,2.59%,14.8
2026-03-30,769,21991,3.5%,16.4
2026-03-31,770,21135,3.64%,17.1
2026-04-01,708,20766,3.41%,14.2
2026-04-02,700,19901,3.52%,14.5
2026-04-03,721,18266,3.95%,12.2
2026-04-04,547,17938,3.05%,13.4
2026-04-05,426,18515,2.3%,17
2026-04-06,798,24337,3.28%,18.9
2026-04-07,850,23270,3.65%,16.7
2026-04-08,914,20862,4.38%,12.4
2026-04-09,830,19587,4.24%,12.3
2026-04-10,819,18924,4.33%,12.6
2026-04-11,497,17879,2.78%,14
2026-04-12,493,17847,2.76%,13.9
2026-04-13,764,20071,3.81%,13.8
2026-04-14,766,18738,4.09%,12.8
2026-04-15,779,20845,3.74%,14
2026-04-16,705,19267,3.66%,13.9
2026-04-17,743,18724,3.97%,13.3
2026-04-18,603,17414,3.46%,14
2026-04-19,495,18067,2.74%,13.9
2026-04-20,824,18577,4.44%,14
2026-04-21,826,16061,5.14%,14
2026-04-22,817,16123,5.07%,14.9
2026-04-23,877,17336,5.06%,13.7
2026-04-24,742,15260,4.86%,13.9
2026-04-25,458,14307,3.2%,14.8
2026-04-26,481,15888,3.03%,15.9
2026-04-27,807,19476,4.14%,16.7
2026-04-28,833,18707,4.45%,18.1
2026-04-29,1011,17846,5.67%,13.9
2026-04-30,915,17896,5.11%,16
2026-05-01,703,17834,3.94%,18.5
2026-05-02,500,15919,3.14%,15.4
2026-05-03,464,16822,2.76%,13.9
2026-05-04,737,20165,3.65%,18.3
2026-05-05,782,18693,4.18%,15.9
2026-05-06,823,18814,4.37%,13.9
2026-05-07,748,18361,4.07%,14.1
2026-05-08,744,19470,3.82%,19.4
2026-05-09,475,15117,3.14%,13.7
2026-05-10,400,15306,2.61%,14.8
2026-05-11,761,18442,4.13%,14.3
2026-05-12,767,17936,4.28%,13.3
2026-05-13,722,18002,4.01%,15.2
2026-05-14,798,18133,4.4%,15
2026-05-15,949,16606,5.71%,14.5
2026-05-16,494,14998,3.29%,16.8
2026-05-17,510,15997,3.19%,16.9
2026-05-18,696,18305,3.8%,16.3
2026-05-19,828,17133,4.83%,14.7
2026-05-20,815,17781,4.58%,16.6
2026-05-21,786,17790,4.42%,15.1
