Country,Clicks,Impressions,CTR,Position
United States,60047,1365126,4.4%,14.57
Canada,658,22127,2.97%,12.2
United Kingdom,214,28016,0.76%,29.88
Mexico,204,24410,0.84%,11.48
Puerto Rico,146,6161,2.37%,5.77
Spain,109,15146,0.72%,19.29
Bahamas,99,1096,9.03%,7.53
Colombia,92,10532,0.87%,10.39
Australia,92,6856,1.34%,19.17
Dominican Republic,83,3747,2.22%,6.19
France,63,4697,1.34%,13
Argentina,57,8027,0.71%,9.69
South Africa,52,4350,1.2%,9.5
India,51,10880,0.47%,14.61
Nigeria,49,4649,1.05%,5.73
Germany,48,5526,0.87%,15.06
Venezuela,44,5339,0.82%,6.82
Chile,39,4559,0.86%,8.18
Peru,37,4653,0.8%,7.2
Netherlands,35,3006,1.16%,12.11
Italy,31,3328,0.93%,12.29
Cuba,28,1483,1.89%,5.56
Philippines,25,4378,0.57%,10.29
Ecuador,24,3540,0.68%,7.41
Turkey,24,2998,0.8%,13.35
Kenya,23,1498,1.54%,7.49
Costa Rica,20,1676,1.19%,8.5
Sweden,20,1623,1.23%,12.88
Indonesia,18,3836,0.47%,11.24
Malaysia,18,2002,0.9%,13.65
Jamaica,18,1323,1.36%,6.18
Brazil,17,9363,0.18%,12.85
Pakistan,16,1920,0.83%,14.02
Switzerland,16,1323,1.21%,13.37
New Zealand,15,1363,1.1%,21.43
U.S. Virgin Islands,15,292,5.14%,5.47
United Arab Emirates,13,3372,0.39%,34.03
Ireland,12,1566,0.77%,13.62
Uruguay,12,1156,1.04%,9.57
South Korea,12,1115,1.08%,11.82
Poland,11,2128,0.52%,10.24
Guatemala,11,1845,0.6%,6.67
Israel,11,1083,1.02%,16.58
Japan,10,1175,0.85%,9.58
Trinidad & Tobago,10,706,1.42%,5.79
Barbados,10,200,5%,5.49
Honduras,9,1727,0.52%,6.3
Ghana,9,1459,0.62%,6.36
Panama,9,1337,0.67%,13.15
Nicaragua,9,1150,0.78%,7.1
Belgium,9,1088,0.83%,9.87
Portugal,9,1043,0.86%,8.56
Austria,9,780,1.15%,15.97
Cayman Islands,9,124,7.26%,5.26
Saudi Arabia,8,1739,0.46%,21.13
Russia,8,1647,0.49%,17.1
Morocco,8,1063,0.75%,14.2
Greece,8,931,0.86%,15.99
Denmark,8,903,0.89%,17.04
Uganda,8,532,1.5%,5.48
Thailand,7,1923,0.36%,21.54
Bangladesh,7,1365,0.51%,13.88
Norway,7,1126,0.62%,14.72
Paraguay,7,1095,0.64%,7.43
Zimbabwe,7,473,1.48%,5.45
Zambia,7,408,1.72%,5.26
Ethiopia,7,266,2.63%,11.76
Bermuda,7,64,10.94%,4.95
Singapore,6,2076,0.29%,30.68
Ukraine,6,1076,0.56%,12.98
Hungary,6,609,0.99%,10.61
Egypt,5,1533,0.33%,13.81
El Salvador,5,1199,0.42%,6.13
Serbia,5,500,1%,9.59
Grenada,5,79,6.33%,6.77
St. Vincent & Grenadines,5,57,8.77%,4.21
Vietnam,4,2912,0.14%,20.11
Bolivia,4,1049,0.38%,7.32
Finland,4,657,0.61%,7.7
Qatar,4,365,1.1%,9.23
Lebanon,4,355,1.13%,12.84
Sri Lanka,4,321,1.25%,8.9
Slovakia,4,273,1.47%,9.23
Tanzania,4,240,1.67%,7.97
Iceland,4,221,1.81%,24.99
Haiti,4,81,4.94%,6.79
Iran,3,870,0.34%,6.69
Czechia,3,617,0.49%,10.19
Jordan,3,419,0.72%,14.4
Guyana,3,266,1.13%,6.11
Latvia,3,202,1.49%,12.1
Luxembourg,3,154,1.95%,12.22
St. Lucia,3,77,3.9%,5.21
Martinique,3,41,7.32%,7.73
Romania,2,1092,0.18%,9.04
Algeria,2,782,0.26%,13.53
Hong Kong,2,756,0.26%,9.51
Iraq,2,725,0.28%,15.95
Lithuania,2,399,0.5%,9.51
Tunisia,2,382,0.52%,13.67
Kuwait,2,306,0.65%,10.7
Malta,2,222,0.9%,6.72
Cameroon,2,198,1.01%,6.6
Bosnia & Herzegovina,2,185,1.08%,10.01
Senegal,2,169,1.18%,13.8
Botswana,2,119,1.68%,8.67
Armenia,2,107,1.87%,16.71
Turks & Caicos Islands,2,65,3.08%,6.88
Sierra Leone,2,63,3.17%,5.3
Sint Maarten,2,48,4.17%,5.58
Niger,2,11,18.18%,6.36
China,1,982,0.1%,8.37
Bulgaria,1,582,0.17%,11.84
Taiwan,1,472,0.21%,9.9
Croatia,1,421,0.24%,9.37
Nepal,1,342,0.29%,12.76
Albania,1,317,0.32%,13.56
Kazakhstan,1,215,0.47%,18.54
Slovenia,1,205,0.49%,8.51
Azerbaijan,1,200,0.5%,13.61
Uzbekistan,1,174,0.57%,20.24
Côte d’Ivoire,1,167,0.6%,11.94
Bahrain,1,166,0.6%,11.58
Syria,1,149,0.67%,12.37
Namibia,1,139,0.72%,5.53
Suriname,1,136,0.74%,7.7
Libya,1,133,0.75%,19.95
Rwanda,1,128,0.78%,8.95
Guam,1,112,0.89%,7.36
Somalia,1,82,1.22%,6.54
Aruba,1,79,1.27%,5.99
Mauritius,1,78,1.28%,5.23
Liberia,1,76,1.32%,5.82
Mozambique,1,71,1.41%,6.28
Unknown Region,1,65,1.54%,14.26
Curaçao,1,64,1.56%,8.38
Afghanistan,1,62,1.61%,8.26
Papua New Guinea,1,61,1.64%,4.95
St. Kitts & Nevis,1,52,1.92%,4.75
Lesotho,1,50,2%,5.16
Guadeloupe,1,48,2.08%,7
Burkina Faso,1,47,2.13%,19.38
Benin,1,38,2.63%,9.32
South Sudan,1,33,3.03%,6.09
Gibraltar,1,32,3.12%,6.81
Mali,1,29,3.45%,8.1
St. Martin,1,22,4.55%,6.5
Isle of Man,1,20,5%,3.65
Cape Verde,1,20,5%,11.95
Réunion,1,14,7.14%,10.43
Georgia,0,225,0%,10.7
Cyprus,0,206,0%,10.62
Oman,0,193,0%,17.37
Mongolia,0,192,0%,8.17
Palestine,0,191,0%,17.81
Estonia,0,189,0%,13.05
Belize,0,181,0%,7.5
Belarus,0,150,0%,11.87
Moldova,0,138,0%,12.83
Macedonia,0,135,0%,7.71
Cambodia,0,135,0%,9.79
Myanmar (Burma),0,127,0%,15.1
Kosovo,0,125,0%,8.83
Congo - Kinshasa,0,116,0%,7.37
Malawi,0,95,0%,7.11
Angola,0,95,0%,13.24
Andorra,0,77,0%,33.64
Maldives,0,76,0%,9.2
Antigua & Barbuda,0,60,0%,6.32
Kyrgyzstan,0,59,0%,14.88
Gambia,0,52,0%,4.9
Swaziland,0,52,0%,5.1
Montenegro,0,50,0%,8.48
Togo,0,48,0%,11.4
Brunei,0,47,0%,6.43
British Virgin Islands,0,46,0%,7.85
Congo - Brazzaville,0,43,0%,13.07
Fiji,0,40,0%,12.3
Seychelles,0,39,0%,9.67
Yemen,0,39,0%,11.21
Gabon,0,39,0%,11.26
Laos,0,37,0%,13.73
Jersey,0,36,0%,5.78
Macau,0,36,0%,7.03
Madagascar,0,33,0%,11.58
Sudan,0,32,0%,6.72
Dominica,0,29,0%,5.62
Guinea,0,28,0%,8.21
