Date,Clicks,Impressions,CTR,Position
2026-04-23,0,27,0%,3.1
2026-04-24,0,15,0%,5.8
2026-04-25,0,26,0%,5.7
2026-04-26,0,34,0%,5.3
2026-04-27,0,23,0%,14.4
2026-04-28,0,16,0%,2.3
2026-04-29,0,11,0%,16.7
2026-04-30,0,18,0%,7.7
2026-05-01,0,4,0%,21.2
2026-05-02,0,52,0%,7.2
2026-05-03,0,37,0%,5.3
2026-05-04,0,45,0%,15.8
2026-05-05,0,37,0%,3.5
2026-05-06,0,36,0%,8.9
2026-05-07,0,30,0%,3.3
2026-05-08,0,35,0%,10.9
2026-05-09,0,40,0%,7.2
2026-05-10,0,52,0%,4.7
2026-05-11,0,48,0%,15.8
2026-05-12,0,33,0%,4
2026-05-13,0,54,0%,11.1
2026-05-14,0,110,0%,19.7
2026-05-15,0,135,0%,23.7
2026-05-16,0,189,0%,15.8
2026-05-17,0,185,0%,16.8
2026-05-18,0,80,0%,16.9
2026-05-19,0,55,0%,12.1
2026-05-20,0,76,0%,14.6
2026-05-21,0,34,0%,17.7
2026-05-22,0,127,0%,13.4
2026-05-23,0,99,0%,14.7
2026-05-24,0,124,0%,13.3
2026-05-25,0,88,0%,16
2026-05-26,0,109,0%,23.1
2026-05-27,0,143,0%,17.7
2026-05-28,0,85,0%,19.8
2026-05-29,0,309,0%,19.3
2026-05-30,0,236,0%,16.6
2026-05-31,0,117,0%,17.4
2026-06-01,0,64,0%,17.7
2026-06-02,0,13,0%,15.8
2026-06-03,0,69,0%,23.6
2026-06-04,0,34,0%,17.8
2026-06-05,0,27,0%,35.9
2026-06-06,0,31,0%,26.1
2026-06-07,0,28,0%,26
2026-06-08,0,46,0%,27.6
2026-06-09,0,37,0%,29.9
2026-06-10,0,163,0%,21.5
2026-06-11,0,260,0%,21.3
2026-06-12,0,261,0%,20.6
2026-06-13,0,295,0%,17.9
2026-06-14,0,283,0%,18
2026-06-15,0,276,0%,22.5
2026-06-16,0,370,0%,19.8
2026-06-17,0,322,0%,19.7
2026-06-18,0,254,0%,19.9
2026-06-19,0,304,0%,21.5
2026-06-20,0,270,0%,20.9
2026-06-21,0,222,0%,21.3
2026-06-22,0,183,0%,20.5
2026-06-23,0,202,0%,21.6
2026-06-24,0,99,0%,15.6
2026-06-25,0,230,0%,20.7
2026-06-26,0,256,0%,20.3
2026-06-27,0,245,0%,19.1
2026-06-28,0,251,0%,17.7
2026-06-29,0,286,0%,20.7
2026-06-30,0,156,0%,20.4
2026-07-01,0,62,0%,21.2
2026-07-02,0,38,0%,21.2
2026-07-03,0,154,0%,24.6
2026-07-04,0,118,0%,21.2
2026-07-05,0,105,0%,20.8
2026-07-06,0,89,0%,20.6
2026-07-07,0,105,0%,17
2026-07-08,0,97,0%,22.7
2026-07-09,0,71,0%,21.9
2026-07-10,0,125,0%,20.2
2026-07-11,0,85,0%,16.8
2026-07-12,0,37,0%,12.5
2026-07-13,0,215,0%,12.6
2026-07-14,0,93,0%,20.6
2026-07-15,0,70,0%,16.1
2026-07-16,0,59,0%,14.2
2026-07-17,0,52,0%,18.2
2026-07-18,0,33,0%,12.3
2026-07-19,0,45,0%,8.1
2026-07-20,0,21,0%,15.4
2026-07-21,0,34,0%,8.8
2026-07-22,0,31,0%,19
