Country,Clicks,Impressions,CTR,Position
United States,0,9571,0%,19.3
Brazil,0,85,0%,6.28
United Kingdom,0,32,0%,8.06
Mexico,0,31,0%,3.97
Vietnam,0,30,0%,3.93
India,0,28,0%,10.11
Germany,0,20,0%,9.95
Colombia,0,16,0%,6.19
Italy,0,16,0%,7.06
Japan,0,14,0%,5.93
Spain,0,13,0%,7.38
Ukraine,0,12,0%,3.33
Canada,0,11,0%,3.64
Thailand,0,11,0%,4.45
Philippines,0,10,0%,7.7
Chile,0,9,0%,4.11
Kazakhstan,0,9,0%,5.67
Turkey,0,9,0%,6.44
South Korea,0,9,0%,7
Greece,0,8,0%,4
Australia,0,8,0%,5.5
United Arab Emirates,0,8,0%,8.62
Pakistan,0,7,0%,4.29
Taiwan,0,6,0%,2.33
Romania,0,6,0%,6
Ecuador,0,6,0%,6.67
Argentina,0,5,0%,6.6
Poland,0,5,0%,7.6
Uzbekistan,0,5,0%,8
Indonesia,0,5,0%,8.8
Hungary,0,5,0%,16.6
Venezuela,0,4,0%,4
South Africa,0,4,0%,4
Bangladesh,0,4,0%,5
Bulgaria,0,4,0%,6
Jordan,0,4,0%,7.75
Algeria,0,4,0%,9.75
Cyprus,0,3,0%,2
Czechia,0,3,0%,3
France,0,3,0%,6.67
Guatemala,0,3,0%,8
Egypt,0,3,0%,9
Kuwait,0,3,0%,9.33
Netherlands,0,3,0%,9.67
Singapore,0,3,0%,10.33
Israel,0,3,0%,12.67
Austria,0,3,0%,15
Mongolia,0,2,0%,1
Switzerland,0,2,0%,1.5
Peru,0,2,0%,1.5
Qatar,0,2,0%,2
Serbia,0,2,0%,2
Bolivia,0,2,0%,3
Belarus,0,2,0%,9
Saudi Arabia,0,2,0%,13.5
Russia,0,2,0%,14
Georgia,0,2,0%,15
Morocco,0,2,0%,15
Albania,0,1,0%,2
Côte d’Ivoire,0,1,0%,2
Yemen,0,1,0%,2
Belgium,0,1,0%,4
Nepal,0,1,0%,4
Slovakia,0,1,0%,4
Uruguay,0,1,0%,4
Croatia,0,1,0%,5
Ireland,0,1,0%,5
Macedonia,0,1,0%,5
Honduras,0,1,0%,6
New Zealand,0,1,0%,6
Puerto Rico,0,1,0%,6
Slovenia,0,1,0%,6
Cambodia,0,1,0%,11
El Salvador,0,1,0%,12
Iraq,0,1,0%,14
Gabon,0,1,0%,15
Tunisia,0,1,0%,15
Denmark,0,1,0%,17
Malta,0,1,0%,18
Panama,0,1,0%,20
Malaysia,0,1,0%,67
