Country,Clicks,Impressions,CTR,Position
United States,0,4311,0%,12.3
Brazil,0,217,0%,6.29
India,0,113,0%,6.88
Vietnam,0,84,0%,5.58
Mexico,0,35,0%,9.83
United Kingdom,0,34,0%,6.85
Indonesia,0,29,0%,5.62
Canada,0,26,0%,6.42
Germany,0,23,0%,8.78
Australia,0,21,0%,6.9
Colombia,0,21,0%,7.14
Turkey,0,20,0%,5.1
Philippines,0,18,0%,7.06
Spain,0,18,0%,9.22
Thailand,0,17,0%,5.29
Argentina,0,15,0%,5.6
Saudi Arabia,0,14,0%,6.29
Chile,0,14,0%,7.71
Taiwan,0,13,0%,6.31
Ukraine,0,13,0%,7.31
Ecuador,0,13,0%,7.77
Greece,0,13,0%,10.23
Hungary,0,12,0%,4.75
South Africa,0,11,0%,5.73
Japan,0,11,0%,7.45
Algeria,0,10,0%,4.7
Peru,0,10,0%,7.1
Italy,0,10,0%,8.1
Egypt,0,9,0%,6.33
France,0,8,0%,3.88
Pakistan,0,8,0%,5.12
South Korea,0,8,0%,5.88
Nepal,0,8,0%,6.5
Mongolia,0,8,0%,6.62
Morocco,0,8,0%,8.25
Poland,0,7,0%,4.57
Dominican Republic,0,7,0%,7.86
New Zealand,0,7,0%,18.71
Sweden,0,6,0%,5.33
Malaysia,0,6,0%,5.83
Guatemala,0,6,0%,10
Netherlands,0,5,0%,4.2
Serbia,0,5,0%,4.8
Belgium,0,5,0%,5.4
United Arab Emirates,0,5,0%,6
Russia,0,5,0%,8.2
Sri Lanka,0,4,0%,3
Armenia,0,4,0%,3.75
Laos,0,4,0%,3.75
Qatar,0,4,0%,3.75
Romania,0,4,0%,4.25
Bulgaria,0,4,0%,4.5
Czechia,0,4,0%,5
Portugal,0,4,0%,5.25
Senegal,0,4,0%,5.25
Uzbekistan,0,4,0%,6.5
Paraguay,0,4,0%,7.75
Oman,0,3,0%,1
Albania,0,3,0%,2.33
Bangladesh,0,3,0%,2.67
Myanmar (Burma),0,3,0%,4
Croatia,0,3,0%,5.33
Estonia,0,3,0%,6
Tunisia,0,3,0%,6.67
Bahrain,0,3,0%,7
Ireland,0,3,0%,10.67
Kazakhstan,0,2,0%,2.5
Kyrgyzstan,0,2,0%,2.5
Cameroon,0,2,0%,3
Madagascar,0,2,0%,3
Bahamas,0,2,0%,4
Angola,0,2,0%,5
Bolivia,0,2,0%,5
Nigeria,0,2,0%,5
Switzerland,0,2,0%,6
Cyprus,0,2,0%,7
Panama,0,2,0%,7
Singapore,0,2,0%,7
Venezuela,0,2,0%,7
Palestine,0,2,0%,8
El Salvador,0,2,0%,8
Côte d’Ivoire,0,2,0%,8.5
Lithuania,0,2,0%,8.5
Costa Rica,0,2,0%,12
Austria,0,2,0%,13
China,0,1,0%,1
Uruguay,0,1,0%,3
Kuwait,0,1,0%,4
Fiji,0,1,0%,5
Jordan,0,1,0%,5
Hong Kong,0,1,0%,8
Israel,0,1,0%,9
Luxembourg,0,1,0%,9
Mauritius,0,1,0%,9
Latvia,0,1,0%,10
Georgia,0,1,0%,11
Honduras,0,1,0%,11
Jamaica,0,1,0%,11
Barbados,0,1,0%,12
Bermuda,0,1,0%,20
