Date,Clicks,Impressions,CTR,Position
2026-04-20,0,45,0%,13.3
2026-04-21,0,27,0%,14.7
2026-04-22,1,9,11.11%,18.2
2026-04-23,0,38,0%,26.4
2026-04-24,0,15,0%,12.9
2026-04-25,0,37,0%,8.5
2026-04-26,0,38,0%,14.8
2026-04-27,0,26,0%,9
2026-04-28,0,50,0%,13.7
2026-04-29,0,29,0%,11.1
2026-04-30,0,50,0%,19.9
2026-05-01,0,30,0%,10.8
2026-05-02,0,44,0%,11.1
2026-05-03,0,41,0%,13.9
2026-05-04,1,35,2.86%,12.3
2026-05-05,0,45,0%,12.1
2026-05-06,0,39,0%,12.7
2026-05-07,0,49,0%,25.7
2026-05-08,0,33,0%,8
2026-05-09,0,24,0%,15
2026-05-10,0,26,0%,25.5
2026-05-11,0,43,0%,12.1
2026-05-12,0,41,0%,15.7
2026-05-13,0,31,0%,13.3
2026-05-14,0,35,0%,25.5
2026-05-15,0,37,0%,11.1
2026-05-16,0,22,0%,14.1
2026-05-17,0,33,0%,16.4
2026-05-18,0,42,0%,12
2026-05-19,0,69,0%,13.8
2026-05-20,0,70,0%,10.1
2026-05-21,0,69,0%,11.4
2026-05-22,0,78,0%,11.4
2026-05-23,0,36,0%,11.7
2026-05-24,1,30,3.33%,15.9
2026-05-25,0,36,0%,15
2026-05-26,0,37,0%,13.7
2026-05-27,0,32,0%,9.4
2026-05-28,0,41,0%,11.9
2026-05-29,0,40,0%,10.8
2026-05-30,0,24,0%,17.1
2026-05-31,0,21,0%,20.4
2026-06-01,2,35,5.71%,11.9
2026-06-02,0,34,0%,7.7
2026-06-03,0,52,0%,13.1
2026-06-04,0,37,0%,19.2
2026-06-05,0,42,0%,9.3
2026-06-06,0,29,0%,9.3
2026-06-07,0,39,0%,12.7
2026-06-08,0,48,0%,14
2026-06-09,0,26,0%,8.1
2026-06-10,0,46,0%,10.7
2026-06-11,0,42,0%,9.7
2026-06-12,0,37,0%,10.9
2026-06-13,0,38,0%,11.1
2026-06-14,0,39,0%,10.1
2026-06-15,0,55,0%,10.8
2026-06-16,0,39,0%,8.2
2026-06-17,2,41,4.88%,8.3
2026-06-18,1,37,2.7%,7.8
2026-06-19,0,54,0%,8.6
2026-06-20,0,42,0%,9.1
2026-06-21,0,36,0%,13
2026-06-22,1,51,1.96%,8
2026-06-23,0,69,0%,8.7
2026-06-24,1,36,2.78%,9.8
2026-06-25,1,36,2.78%,8.6
2026-06-26,0,36,0%,7.8
2026-06-27,0,42,0%,10.1
2026-06-28,0,42,0%,11.1
2026-06-29,0,46,0%,15.8
2026-06-30,0,64,0%,8.8
2026-07-01,0,57,0%,10.6
2026-07-02,0,48,0%,8.4
2026-07-03,0,30,0%,12.4
2026-07-04,0,38,0%,9.2
2026-07-05,0,38,0%,11
2026-07-06,0,40,0%,10.7
2026-07-07,0,40,0%,8
2026-07-08,1,43,2.33%,9
2026-07-09,1,27,3.7%,7.7
2026-07-10,0,36,0%,8.2
2026-07-11,0,25,0%,8.8
2026-07-12,1,41,2.44%,9.4
2026-07-13,0,41,0%,15.8
2026-07-14,0,42,0%,9
2026-07-15,1,29,3.45%,7.5
2026-07-16,0,47,0%,7.5
2026-07-17,0,45,0%,6.9
2026-07-18,0,40,0%,7.7
2026-07-19,0,22,0%,6.7
