Country,Clicks,Impressions,CTR,Position
United States,3,1932,0.16%,13.86
Brazil,0,17,0%,7.29
Spain,0,16,0%,33.06
India,0,14,0%,7.21
France,0,7,0%,6.43
Colombia,0,7,0%,11
Canada,0,7,0%,43.57
Indonesia,0,6,0%,7.83
China,0,6,0%,10.67
Argentina,0,4,0%,5
Italy,0,4,0%,6.25
Portugal,0,4,0%,9.5
United Kingdom,0,4,0%,10.75
Vietnam,0,4,0%,11.75
Netherlands,0,3,0%,6.33
Bangladesh,0,3,0%,7.67
Philippines,0,3,0%,10.67
Hong Kong,0,3,0%,11.33
Thailand,0,3,0%,12.33
Belgium,0,2,0%,4.5
Algeria,0,2,0%,8
Nigeria,0,2,0%,8
Armenia,0,2,0%,10
Bosnia & Herzegovina,0,2,0%,10
Germany,0,2,0%,10
Ukraine,0,2,0%,11
Russia,0,2,0%,20
Ecuador,0,2,0%,24
Malta,0,1,0%,1
Uganda,0,1,0%,2
United Arab Emirates,0,1,0%,3
Chile,0,1,0%,3
Kosovo,0,1,0%,3
Egypt,0,1,0%,4
Malaysia,0,1,0%,4
Turkey,0,1,0%,5
Norway,0,1,0%,8
Poland,0,1,0%,8
Macedonia,0,1,0%,12
Puerto Rico,0,1,0%,12
Australia,0,1,0%,14
Cuba,0,1,0%,15
Ireland,0,1,0%,20
Mexico,0,1,0%,57
