Date,Clicks,Impressions,CTR,Position
2026-03-08,2,231,0.87%,8.2
2026-03-09,0,233,0%,5.8
2026-03-10,0,188,0%,5.2
2026-03-11,2,216,0.93%,9.4
2026-03-12,1,153,0.65%,5.8
2026-03-13,1,271,0.37%,8.1
2026-03-14,1,191,0.52%,7.3
2026-03-15,0,225,0%,9.1
2026-03-16,0,99,0%,6.3
2026-03-17,0,128,0%,6.3
2026-03-18,0,202,0%,7.2
2026-03-19,1,286,0.35%,5
2026-03-20,0,269,0%,8.7
2026-03-21,1,216,0.46%,5.3
2026-03-22,0,332,0%,7.8
2026-03-23,1,218,0.46%,6
2026-03-24,1,257,0.39%,5.3
2026-03-25,1,280,0.36%,7.4
2026-03-26,0,261,0%,6.2
2026-03-27,0,237,0%,9.2
2026-03-28,0,235,0%,5
2026-03-29,2,247,0.81%,7.9
2026-03-30,0,229,0%,5
2026-03-31,0,239,0%,5.7
2026-04-01,1,215,0.47%,8.7
2026-04-02,1,216,0.46%,6.6
2026-04-03,2,247,0.81%,8.8
2026-04-04,2,212,0.94%,6.4
2026-04-05,3,223,1.35%,8
2026-04-06,1,226,0.44%,6.3
2026-04-07,0,240,0%,6.2
2026-04-08,3,322,0.93%,7.6
2026-04-09,0,264,0%,5.8
2026-04-10,0,267,0%,8.9
2026-04-11,0,274,0%,5.7
2026-04-12,0,291,0%,7
2026-04-13,0,288,0%,5.6
2026-04-14,3,291,1.03%,5.6
2026-04-15,3,337,0.89%,7.7
2026-04-16,0,310,0%,5.7
2026-04-17,1,344,0.29%,7.7
2026-04-18,1,280,0.36%,5.2
2026-04-19,2,274,0.73%,5.8
2026-04-20,2,253,0.79%,6.3
2026-04-21,3,242,1.24%,6.4
2026-04-22,0,220,0%,8.7
2026-04-23,0,260,0%,7
2026-04-24,1,230,0.43%,9
2026-04-25,2,223,0.9%,6.6
2026-04-26,1,234,0.43%,8.1
2026-04-27,2,206,0.97%,6.5
2026-04-28,2,248,0.81%,6.5
2026-04-29,0,257,0%,8.9
2026-04-30,1,253,0.4%,6.7
2026-05-01,0,281,0%,8.9
2026-05-02,1,197,0.51%,6.1
2026-05-03,0,221,0%,8.2
2026-05-04,1,249,0.4%,6.8
2026-05-05,1,215,0.47%,7
2026-05-06,1,256,0.39%,8.1
2026-05-07,1,307,0.33%,7.7
2026-05-08,0,245,0%,9.3
2026-05-09,2,194,1.03%,7
2026-05-10,0,253,0%,7
2026-05-11,0,207,0%,6.9
2026-05-12,2,221,0.9%,6.6
2026-05-13,1,228,0.44%,9.2
2026-05-14,2,189,1.06%,7.4
2026-05-15,1,233,0.43%,10.2
2026-05-16,3,202,1.49%,7.8
2026-05-17,3,198,1.52%,6.4
2026-05-18,0,245,0%,6.8
2026-05-19,1,222,0.45%,6.6
2026-05-20,3,234,1.28%,8
2026-05-21,2,233,0.86%,6.8
2026-05-22,3,259,1.16%,5.8
2026-05-23,2,322,0.62%,5.8
2026-05-24,4,330,1.21%,5.7
2026-05-25,4,366,1.09%,5.6
2026-05-26,0,336,0%,5.9
2026-05-27,1,326,0.31%,7.2
2026-05-28,2,306,0.65%,7.4
2026-05-29,2,354,0.56%,5.7
2026-05-30,4,279,1.43%,6.1
2026-05-31,1,268,0.37%,6.7
2026-06-01,1,235,0.43%,5.9
2026-06-02,2,311,0.64%,5.8
2026-06-03,5,342,1.46%,5.4
2026-06-04,6,336,1.79%,6.2
2026-06-05,3,315,0.95%,5.5
2026-06-06,3,428,0.7%,5.9
2026-06-07,2,345,0.58%,5.7
