Country,Clicks,Impressions,CTR,Position
United States,27,8166,0.33%,8.7
Puerto Rico,1,208,0.48%,4.48
Nicaragua,1,6,16.67%,7.33
Mexico,0,107,0%,6.86
Argentina,0,64,0%,6.02
Cuba,0,48,0%,5.67
Colombia,0,48,0%,6.58
Panama,0,43,0%,22.47
Venezuela,0,30,0%,6.1
Honduras,0,29,0%,9.38
Canada,0,28,0%,6.14
Dominican Republic,0,18,0%,4.67
Spain,0,10,0%,6.8
El Salvador,0,9,0%,4.33
Guatemala,0,8,0%,8.38
Brazil,0,7,0%,2.71
Bolivia,0,6,0%,4.5
Ecuador,0,5,0%,4.8
Costa Rica,0,5,0%,6
India,0,5,0%,6.2
Uruguay,0,3,0%,4.67
United Kingdom,0,2,0%,1
Portugal,0,2,0%,1
Indonesia,0,2,0%,4
Guyana,0,2,0%,6.5
Peru,0,2,0%,9.5
Chile,0,2,0%,10.5
New Zealand,0,1,0%,1
United Arab Emirates,0,1,0%,2
France,0,1,0%,3
Paraguay,0,1,0%,3
Lithuania,0,1,0%,4
Netherlands,0,1,0%,4
Romania,0,1,0%,4
Bangladesh,0,1,0%,9
Suriname,0,1,0%,9
Equatorial Guinea,0,1,0%,10
Guam,0,1,0%,10
Russia,0,1,0%,10
Caribbean Netherlands,0,1,0%,12
