Date,Clicks,Impressions,CTR,Position
2026-03-28,0,0,,
2026-03-29,0,1,0%,63
2026-03-30,0,1,0%,1
2026-03-31,0,0,,
2026-04-01,0,2,0%,48.5
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,1,0%,1
2026-04-05,0,3,0%,38
2026-04-06,0,3,0%,12
2026-04-07,0,4,0%,8
2026-04-08,0,2,0%,6.5
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,0,,
2026-04-14,0,2,0%,5.5
2026-04-15,0,6,0%,20.2
2026-04-16,0,0,,
2026-04-17,0,3,0%,21.7
2026-04-18,0,2,0%,4
2026-04-19,0,0,,
2026-04-20,0,0,,
2026-04-21,0,1,0%,4
2026-04-22,0,5,0%,67.8
2026-04-23,0,0,,
2026-04-24,1,1,100%,1
2026-04-25,0,0,,
2026-04-26,0,1,0%,11
2026-04-27,0,2,0%,6
2026-04-28,0,2,0%,6
2026-04-29,0,2,0%,43.5
2026-04-30,0,0,,
2026-05-01,0,1,0%,11
2026-05-02,0,0,,
2026-05-03,0,0,,
2026-05-04,0,0,,
2026-05-05,0,0,,
2026-05-06,0,1,0%,65
2026-05-07,0,1,0%,3
2026-05-08,0,2,0%,31
2026-05-09,0,0,,
2026-05-10,0,5,0%,57.2
2026-05-11,0,2,0%,6.5
2026-05-12,0,2,0%,19
2026-05-13,0,4,0%,68.2
2026-05-14,0,0,,
2026-05-15,0,0,,
2026-05-16,0,0,,
2026-05-17,0,0,,
2026-05-18,0,1,0%,8
2026-05-19,0,2,0%,6
2026-05-20,0,6,0%,48.7
2026-05-21,0,1,0%,5
2026-05-22,0,2,0%,39.5
2026-05-23,0,0,,
2026-05-24,0,1,0%,1
2026-05-25,0,0,,
2026-05-26,0,0,,
2026-05-27,0,3,0%,74.7
2026-05-28,0,0,,
2026-05-29,0,1,0%,58
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,0,0,,
2026-06-02,0,1,0%,10
2026-06-03,0,3,0%,40.7
2026-06-04,0,0,,
2026-06-05,0,1,0%,5
2026-06-06,0,1,0%,6
2026-06-07,0,1,0%,11
2026-06-08,0,1,0%,1
2026-06-09,0,2,0%,52
2026-06-10,0,1,0%,53
2026-06-11,0,1,0%,1
2026-06-12,0,0,,
2026-06-13,0,0,,
2026-06-14,0,1,0%,4
2026-06-15,0,2,0%,18
2026-06-16,0,2,0%,71.5
2026-06-17,0,0,,
2026-06-18,0,0,,
2026-06-19,0,0,,
2026-06-20,0,0,,
2026-06-21,0,2,0%,39.5
2026-06-22,0,1,0%,11
2026-06-23,0,5,0%,68
2026-06-24,0,2,0%,7.5
2026-06-25,0,2,0%,9
2026-06-26,0,0,,
2026-06-27,0,0,,
