Date,Clicks,Impressions,CTR,Position
2026-03-28,0,12,0%,6.7
2026-03-29,3,16,18.75%,7.6
2026-03-30,1,11,9.09%,2.5
2026-03-31,0,5,0%,9
2026-04-01,0,16,0%,11.5
2026-04-02,0,16,0%,5.1
2026-04-03,0,23,0%,15.9
2026-04-04,0,11,0%,2.5
2026-04-05,0,6,0%,4.5
2026-04-06,1,24,4.17%,2.3
2026-04-07,1,10,10%,1.5
2026-04-08,0,19,0%,10.5
2026-04-09,0,17,0%,1.9
2026-04-10,1,21,4.76%,11
2026-04-11,1,24,4.17%,8.2
2026-04-12,2,20,10%,7.6
2026-04-13,1,21,4.76%,2.8
2026-04-14,0,14,0%,3.2
2026-04-15,0,18,0%,12.1
2026-04-16,0,8,0%,4
2026-04-17,0,19,0%,15.7
2026-04-18,0,16,0%,2.4
2026-04-19,0,15,0%,10.7
2026-04-20,0,13,0%,6.8
2026-04-21,1,17,5.88%,4.2
2026-04-22,0,27,0%,15.2
2026-04-23,1,12,8.33%,8.7
2026-04-24,0,23,0%,9.8
2026-04-25,0,12,0%,11.2
2026-04-26,0,10,0%,9.8
2026-04-27,2,8,25%,4.5
2026-04-28,1,17,5.88%,5.8
2026-04-29,0,13,0%,19.5
2026-04-30,0,8,0%,3.6
2026-05-01,0,13,0%,13.8
2026-05-02,2,15,13.33%,4.3
2026-05-03,0,8,0%,3.6
2026-05-04,0,8,0%,12.9
2026-05-05,2,15,13.33%,4.3
2026-05-06,0,14,0%,15.2
2026-05-07,1,20,5%,6.8
2026-05-08,0,11,0%,17.5
2026-05-09,0,17,0%,6.6
2026-05-10,0,11,0%,6.3
2026-05-11,1,14,7.14%,9.7
2026-05-12,0,24,0%,7.4
2026-05-13,0,6,0%,2.5
2026-05-14,0,20,0%,14.9
2026-05-15,0,22,0%,6.1
2026-05-16,0,12,0%,8.4
2026-05-17,0,9,0%,4.1
2026-05-18,0,7,0%,4.1
2026-05-19,0,10,0%,4
2026-05-20,1,11,9.09%,8.4
2026-05-21,0,15,0%,5.5
2026-05-22,0,11,0%,4.5
2026-05-23,0,16,0%,4
2026-05-24,0,20,0%,4
2026-05-25,0,12,0%,2.8
2026-05-26,1,16,6.25%,3.7
2026-05-27,0,14,0%,8.7
2026-05-28,0,9,0%,10.9
2026-05-29,0,3,0%,2.7
2026-05-30,0,11,0%,5
2026-05-31,1,21,4.76%,3.7
2026-06-01,1,16,6.25%,7.7
2026-06-02,0,14,0%,7.3
2026-06-03,0,30,0%,6.6
2026-06-04,1,17,5.88%,4.1
2026-06-05,0,16,0%,5.6
2026-06-06,0,5,0%,8.2
2026-06-07,0,8,0%,3
2026-06-08,0,12,0%,4.6
2026-06-09,0,23,0%,9.3
2026-06-10,0,18,0%,5.8
2026-06-11,0,8,0%,4.2
2026-06-12,0,10,0%,6.3
2026-06-13,0,12,0%,3.2
2026-06-14,0,14,0%,3.1
2026-06-15,0,7,0%,3.9
2026-06-16,0,13,0%,5.3
2026-06-17,0,11,0%,4.5
2026-06-18,1,15,6.67%,4.5
2026-06-19,0,12,0%,7.7
2026-06-20,0,13,0%,4.1
2026-06-21,0,12,0%,4.7
2026-06-22,1,14,7.14%,3.8
2026-06-23,0,11,0%,14.6
2026-06-24,0,12,0%,11.2
2026-06-25,0,11,0%,4.5
2026-06-26,0,27,0%,3.6
2026-06-27,1,7,14.29%,5.1
