Date,Clicks,Impressions,CTR,Position
2026-03-16,0,0,,
2026-03-17,0,0,,
2026-03-18,0,0,,
2026-03-19,0,10,0%,24
2026-03-20,0,1,0%,3
2026-03-21,0,0,,
2026-03-22,0,2,0%,3
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,1,0%,3
2026-03-26,0,3,0%,2
2026-03-27,0,1,0%,1
2026-03-28,0,0,,
2026-03-29,0,3,0%,7.3
2026-03-30,0,1,0%,1
2026-03-31,0,0,,
2026-04-01,0,0,,
2026-04-02,0,6,0%,29.7
2026-04-03,0,1,0%,1
2026-04-04,0,0,,
2026-04-05,0,4,0%,6.5
2026-04-06,0,0,,
2026-04-07,1,1,100%,1
2026-04-08,0,4,0%,26.5
2026-04-09,0,7,0%,34.7
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,7,0%,16.1
2026-04-13,1,1,100%,3
2026-04-14,0,1,0%,1
2026-04-15,0,0,,
2026-04-16,0,2,0%,2
2026-04-17,0,0,,
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,0,3,0%,3
2026-04-21,2,5,40%,2.2
2026-04-22,0,1,0%,1
2026-04-23,0,5,0%,1.8
2026-04-24,0,0,,
2026-04-25,0,1,0%,2
2026-04-26,0,3,0%,1.7
2026-04-27,0,1,0%,2
2026-04-28,0,1,0%,2
2026-04-29,0,1,0%,3
2026-04-30,0,3,0%,2
2026-05-01,0,1,0%,2
2026-05-02,0,1,0%,2
2026-05-03,0,3,0%,2.7
2026-05-04,0,5,0%,24.2
2026-05-05,0,1,0%,3
2026-05-06,0,3,0%,21.7
2026-05-07,0,1,0%,2
2026-05-08,0,1,0%,2
2026-05-09,0,4,0%,2.8
2026-05-10,0,5,0%,10
2026-05-11,0,4,0%,18.5
2026-05-12,0,2,0%,2.5
2026-05-13,0,11,0%,29.5
2026-05-14,0,2,0%,2.5
2026-05-15,0,3,0%,20.3
2026-05-16,0,5,0%,11.8
2026-05-17,0,8,0%,24.8
2026-05-18,0,5,0%,27.8
2026-05-19,0,4,0%,25.8
2026-05-20,0,9,0%,18.8
2026-05-21,0,5,0%,21.2
2026-05-22,0,5,0%,18
2026-05-23,0,4,0%,14.2
2026-05-24,0,12,0%,5.8
2026-05-25,0,6,0%,14.7
2026-05-26,0,5,0%,5.6
2026-05-27,0,10,0%,12.7
2026-05-28,0,9,0%,23.4
2026-05-29,0,9,0%,21.6
2026-05-30,0,6,0%,25
2026-05-31,0,10,0%,13.5
2026-06-01,0,6,0%,19.7
2026-06-02,0,5,0%,40.8
2026-06-03,0,17,0%,35.5
2026-06-04,0,4,0%,23.8
2026-06-05,0,7,0%,13.7
2026-06-06,0,5,0%,18.8
2026-06-07,0,5,0%,19.2
2026-06-08,1,8,12.5%,12.4
2026-06-09,0,7,0%,5.9
2026-06-10,0,4,0%,9.2
2026-06-11,1,6,16.67%,15
2026-06-12,0,7,0%,8.3
2026-06-13,0,5,0%,18.4
2026-06-14,0,6,0%,1
2026-06-15,0,4,0%,1
