Date,Clicks,Impressions,CTR,Position
2026-03-16,1,161,0.62%,25.8
2026-03-17,1,144,0.69%,14.6
2026-03-18,0,131,0%,17.1
2026-03-19,0,152,0%,16.7
2026-03-20,1,113,0.88%,11.3
2026-03-21,0,119,0%,17
2026-03-22,0,96,0%,17.6
2026-03-23,3,125,2.4%,27.6
2026-03-24,0,113,0%,19.9
2026-03-25,1,132,0.76%,29.2
2026-03-26,2,132,1.52%,25.2
2026-03-27,0,102,0%,9.9
2026-03-28,1,84,1.19%,8.4
2026-03-29,2,118,1.69%,14.6
2026-03-30,2,139,1.44%,22.3
2026-03-31,2,107,1.87%,9
2026-04-01,1,103,0.97%,23.9
2026-04-02,1,94,1.06%,20.2
2026-04-03,0,97,0%,14.3
2026-04-04,0,77,0%,12.4
2026-04-05,1,48,2.08%,23.1
2026-04-06,1,85,1.18%,27.7
2026-04-07,2,52,3.85%,11.6
2026-04-08,0,50,0%,28.7
2026-04-09,1,62,1.61%,15.1
2026-04-10,1,44,2.27%,16.7
2026-04-11,1,59,1.69%,17.5
2026-04-12,2,96,2.08%,13
2026-04-13,2,88,2.27%,25.6
2026-04-14,1,91,1.1%,21.5
2026-04-15,2,90,2.22%,24
2026-04-16,1,96,1.04%,20.2
2026-04-17,1,68,1.47%,25.7
2026-04-18,2,71,2.82%,24.9
2026-04-19,0,68,0%,24.8
2026-04-20,1,73,1.37%,35.5
2026-04-21,3,55,5.45%,21.7
2026-04-22,0,38,0%,35.1
2026-04-23,0,49,0%,27.8
2026-04-24,1,65,1.54%,29.6
2026-04-25,0,66,0%,18.1
2026-04-26,0,78,0%,21.4
2026-04-27,1,83,1.2%,29.9
2026-04-28,0,52,0%,22.4
2026-04-29,0,38,0%,20.4
2026-04-30,0,58,0%,24.1
2026-05-01,0,52,0%,32.2
2026-05-02,0,55,0%,23
2026-05-03,0,63,0%,17.7
2026-05-04,0,71,0%,42.2
2026-05-05,2,35,5.71%,20
2026-05-06,0,41,0%,40.1
2026-05-07,0,61,0%,29.3
2026-05-08,0,37,0%,33
2026-05-09,0,45,0%,23.9
2026-05-10,0,42,0%,22.2
2026-05-11,2,71,2.82%,35.1
2026-05-12,0,45,0%,20.7
2026-05-13,2,53,3.77%,33
2026-05-14,0,57,0%,36.8
2026-05-15,1,36,2.78%,23.4
2026-05-16,0,61,0%,35
2026-05-17,2,60,3.33%,32.5
2026-05-18,0,81,0%,33.8
2026-05-19,0,43,0%,24.2
2026-05-20,1,67,1.49%,38.1
2026-05-21,0,42,0%,26.4
2026-05-22,1,61,1.64%,28.9
2026-05-23,2,64,3.12%,18.2
2026-05-24,2,114,1.75%,23.3
2026-05-25,0,109,0%,19.3
2026-05-26,1,105,0.95%,26.2
2026-05-27,1,129,0.78%,24.8
2026-05-28,2,126,1.59%,26.8
2026-05-29,1,108,0.93%,18.2
2026-05-30,2,82,2.44%,27.8
2026-05-31,1,86,1.16%,17.5
2026-06-01,2,109,1.83%,28.2
2026-06-02,2,84,2.38%,21.7
2026-06-03,2,97,2.06%,25.2
2026-06-04,0,60,0%,15
2026-06-05,0,70,0%,25.3
2026-06-06,2,60,3.33%,14.8
2026-06-07,2,93,2.15%,24.5
2026-06-08,5,111,4.5%,23.7
2026-06-09,2,74,2.7%,16.7
2026-06-10,0,101,0%,23.5
2026-06-11,3,85,3.53%,25.6
2026-06-12,0,60,0%,15.3
2026-06-13,2,86,2.33%,28.3
2026-06-14,1,91,1.1%,22.8
2026-06-15,3,96,3.12%,18.8
