Country,Clicks,Impressions,CTR,Position
United States,19,3364,0.56%,39.53
Jamaica,1,6,16.67%,2.5
Japan,1,3,33.33%,24.33
Bahamas,1,2,50%,5
Nicaragua,1,1,100%,1
United Kingdom,0,36,0%,37.14
Nigeria,0,22,0%,6.59
Canada,0,21,0%,19.24
India,0,19,0%,30.79
South Africa,0,16,0%,7.56
France,0,15,0%,6.87
Brazil,0,13,0%,38.31
Turkey,0,11,0%,26.09
Argentina,0,9,0%,58.56
Germany,0,8,0%,4.88
Morocco,0,8,0%,32.12
Mexico,0,8,0%,42.88
Russia,0,8,0%,53
Colombia,0,7,0%,19.43
Kenya,0,7,0%,20
Vietnam,0,7,0%,44.29
Spain,0,6,0%,28.67
Israel,0,6,0%,55.5
Philippines,0,5,0%,7.6
Luxembourg,0,5,0%,56.6
Netherlands,0,3,0%,1
Ghana,0,3,0%,2.67
Ireland,0,3,0%,2.67
Jordan,0,3,0%,4.33
Saudi Arabia,0,3,0%,32.33
Iceland,0,3,0%,45.67
Chile,0,3,0%,50
Malaysia,0,2,0%,1
Qatar,0,2,0%,1
Switzerland,0,2,0%,2.5
Dominican Republic,0,2,0%,2.5
Cambodia,0,2,0%,3
New Zealand,0,2,0%,3
Zimbabwe,0,2,0%,3
Panama,0,2,0%,4.5
China,0,2,0%,9
Australia,0,2,0%,29.5
Egypt,0,2,0%,37
Azerbaijan,0,2,0%,43
Uzbekistan,0,2,0%,45.5
Indonesia,0,2,0%,56
Belgium,0,2,0%,59
Pakistan,0,2,0%,59
Venezuela,0,2,0%,64.5
Iraq,0,2,0%,75.5
Czechia,0,1,0%,1
Finland,0,1,0%,1
Lithuania,0,1,0%,1
Singapore,0,1,0%,1
Serbia,0,1,0%,1
Slovakia,0,1,0%,1
Seychelles,0,1,0%,1
Trinidad & Tobago,0,1,0%,1
Guadeloupe,0,1,0%,2
Congo - Kinshasa,0,1,0%,3
Cyprus,0,1,0%,3
Rwanda,0,1,0%,3
Curaçao,0,1,0%,4
Myanmar (Burma),0,1,0%,4
Austria,0,1,0%,8
Sweden,0,1,0%,11
Hong Kong,0,1,0%,20
Bahrain,0,1,0%,37
Kazakhstan,0,1,0%,39
Denmark,0,1,0%,46
Congo - Brazzaville,0,1,0%,60
United Arab Emirates,0,1,0%,68
South Korea,0,1,0%,71
Ukraine,0,1,0%,72
Lebanon,0,1,0%,79
Nepal,0,1,0%,79
Bolivia,0,1,0%,83
Mongolia,0,1,0%,86
Bangladesh,0,1,0%,89
