Date,Clicks,Impressions,CTR,Position
2026-04-06,0,18,0%,50.8
2026-04-07,0,9,0%,42.7
2026-04-08,0,5,0%,73.4
2026-04-09,0,9,0%,66.9
2026-04-10,0,1,0%,100
2026-04-11,0,6,0%,56.5
2026-04-12,0,3,0%,51.3
2026-04-13,0,15,0%,43.5
2026-04-14,0,8,0%,47.6
2026-04-15,0,9,0%,50.8
2026-04-16,0,13,0%,60.1
2026-04-17,0,4,0%,19
2026-04-18,0,5,0%,35.2
2026-04-19,0,3,0%,22.3
2026-04-20,0,49,0%,48.5
2026-04-21,0,7,0%,54.6
2026-04-22,0,10,0%,48.5
2026-04-23,0,9,0%,55.7
2026-04-24,0,5,0%,54.2
2026-04-25,0,13,0%,41.2
2026-04-26,0,7,0%,40.4
2026-04-27,0,11,0%,39.6
2026-04-28,0,9,0%,23.4
2026-04-29,0,15,0%,40.2
2026-04-30,0,20,0%,48.1
2026-05-01,0,8,0%,44.6
2026-05-02,0,9,0%,23.6
2026-05-03,0,11,0%,23.9
2026-05-04,0,15,0%,24.9
2026-05-05,0,19,0%,27.9
2026-05-06,0,18,0%,43.8
2026-05-07,0,19,0%,32.3
2026-05-08,0,17,0%,18.5
2026-05-09,0,17,0%,22.9
2026-05-10,0,20,0%,15.4
2026-05-11,0,22,0%,28.5
2026-05-12,0,27,0%,22.7
2026-05-13,0,19,0%,31.7
2026-05-14,0,18,0%,39.2
2026-05-15,0,10,0%,36.9
2026-05-16,0,13,0%,33.2
2026-05-17,0,12,0%,27.9
2026-05-18,0,20,0%,32.5
2026-05-19,0,17,0%,31.6
2026-05-20,0,12,0%,66.9
2026-05-21,0,10,0%,91.8
2026-05-22,0,4,0%,58
2026-05-23,0,6,0%,81.3
2026-05-24,0,3,0%,69.7
2026-05-25,0,2,0%,87
2026-05-26,0,8,0%,79.5
2026-05-27,0,9,0%,76.8
2026-05-28,0,16,0%,72.2
2026-05-29,0,5,0%,64.4
2026-05-30,0,6,0%,76.8
2026-05-31,0,4,0%,94.5
2026-06-01,0,9,0%,75
2026-06-02,0,5,0%,65.6
2026-06-03,0,13,0%,49.7
2026-06-04,0,14,0%,54.3
2026-06-05,0,4,0%,78.5
2026-06-06,0,9,0%,49.3
2026-06-07,0,6,0%,55.5
2026-06-08,0,28,0%,46.1
2026-06-09,0,11,0%,54.7
2026-06-10,0,11,0%,53.2
2026-06-11,0,6,0%,40
2026-06-12,0,9,0%,35.7
2026-06-13,0,5,0%,57.2
2026-06-14,0,9,0%,87
2026-06-15,0,10,0%,78.3
2026-06-16,0,6,0%,75.7
2026-06-17,0,13,0%,76.5
2026-06-18,0,3,0%,89.7
2026-06-19,0,4,0%,74.5
2026-06-20,0,7,0%,58.3
2026-06-21,0,9,0%,81.8
2026-06-22,0,11,0%,69.9
2026-06-23,0,9,0%,84.7
2026-06-24,0,16,0%,80.6
2026-06-25,0,8,0%,77.6
2026-06-26,0,8,0%,47.4
2026-06-27,0,6,0%,53.7
2026-06-28,0,13,0%,75.2
2026-06-29,0,11,0%,83.9
2026-06-30,0,8,0%,87.9
2026-07-01,0,16,0%,83.5
2026-07-02,0,5,0%,87.8
2026-07-03,0,3,0%,89.3
2026-07-04,0,8,0%,79.6
2026-07-05,0,11,0%,74.3
