Date,Clicks,Impressions,CTR,Position
2026-04-06,0,71,0%,18.3
2026-04-07,0,61,0%,21.7
2026-04-08,0,50,0%,24.5
2026-04-09,0,41,0%,36.7
2026-04-10,0,50,0%,28.9
2026-04-11,0,77,0%,25.9
2026-04-12,0,46,0%,19.2
2026-04-13,0,91,0%,17.9
2026-04-14,0,52,0%,25.6
2026-04-15,0,83,0%,19.8
2026-04-16,0,72,0%,19.2
2026-04-17,0,53,0%,13.6
2026-04-18,0,46,0%,26.2
2026-04-19,0,53,0%,15.4
2026-04-20,0,106,0%,29.7
2026-04-21,1,68,1.47%,21.5
2026-04-22,0,61,0%,20.1
2026-04-23,0,68,0%,20.8
2026-04-24,0,55,0%,18.1
2026-04-25,0,59,0%,29.9
2026-04-26,0,62,0%,16.4
2026-04-27,0,72,0%,18.1
2026-04-28,1,107,0.93%,12.8
2026-04-29,0,96,0%,27.4
2026-04-30,0,104,0%,20.5
2026-05-01,0,22,0%,36.9
2026-05-02,0,23,0%,21.5
2026-05-03,0,29,0%,25.5
2026-05-04,0,49,0%,20.6
2026-05-05,0,95,0%,15.7
2026-05-06,0,100,0%,24.7
2026-05-07,0,109,0%,17.7
2026-05-08,0,89,0%,14.1
2026-05-09,0,62,0%,18.3
2026-05-10,0,69,0%,13.9
2026-05-11,0,83,0%,22.2
2026-05-12,0,97,0%,19.2
2026-05-13,0,97,0%,22.7
2026-05-14,1,90,1.11%,19.9
2026-05-15,0,67,0%,16.3
2026-05-16,0,68,0%,15.7
2026-05-17,0,64,0%,21.1
2026-05-18,0,85,0%,17.6
2026-05-19,0,61,0%,18.2
2026-05-20,0,128,0%,15.4
2026-05-21,0,125,0%,13.1
2026-05-22,0,129,0%,10.2
2026-05-23,0,133,0%,10.8
2026-05-24,0,122,0%,11.8
2026-05-25,0,166,0%,9.3
2026-05-26,0,174,0%,12.8
2026-05-27,0,167,0%,12
2026-05-28,1,176,0.57%,14
2026-05-29,0,139,0%,11.6
2026-05-30,0,135,0%,11.4
2026-05-31,0,148,0%,13.3
2026-06-01,0,166,0%,11.7
2026-06-02,0,133,0%,8.9
2026-06-03,0,157,0%,12.4
2026-06-04,0,150,0%,12
2026-06-05,0,167,0%,12.6
2026-06-06,0,144,0%,9.9
2026-06-07,0,118,0%,12.3
2026-06-08,0,150,0%,15.3
2026-06-09,0,164,0%,11.2
2026-06-10,0,126,0%,12.9
2026-06-11,0,126,0%,10.5
2026-06-12,0,114,0%,11.1
2026-06-13,0,111,0%,11.3
2026-06-14,0,95,0%,15.2
2026-06-15,0,92,0%,19.3
2026-06-16,0,107,0%,14.4
2026-06-17,0,118,0%,17.9
2026-06-18,0,122,0%,9.9
2026-06-19,0,116,0%,16.3
2026-06-20,0,107,0%,10.9
2026-06-21,0,88,0%,15.6
2026-06-22,0,130,0%,14
2026-06-23,0,114,0%,17.1
2026-06-24,0,114,0%,19.7
2026-06-25,0,121,0%,12
2026-06-26,0,117,0%,8.8
2026-06-27,0,98,0%,11.8
2026-06-28,0,127,0%,16.1
2026-06-29,0,127,0%,15.8
2026-06-30,0,102,0%,15.7
2026-07-01,0,126,0%,22.1
2026-07-02,0,135,0%,10.6
2026-07-03,0,129,0%,12.7
2026-07-04,0,72,0%,18.1
2026-07-05,0,90,0%,15.2
