Country,Clicks,Impressions,CTR,Position
United States,0,5516,0%,21.37
India,0,531,0%,4.37
Canada,0,418,0%,7.11
United Kingdom,0,264,0%,6.24
Australia,0,242,0%,8
Philippines,0,94,0%,4.2
United Arab Emirates,0,92,0%,10.58
South Africa,0,64,0%,3.78
Malaysia,0,51,0%,3.69
Pakistan,0,44,0%,4.5
Singapore,0,40,0%,4.75
Nigeria,0,39,0%,6
Ghana,0,26,0%,6.5
Bangladesh,0,26,0%,7.92
New Zealand,0,25,0%,3.68
Jamaica,0,23,0%,3.22
Ireland,0,23,0%,4.43
Italy,0,23,0%,4.65
Germany,0,22,0%,3.59
Bahrain,0,22,0%,4.05
Kenya,0,20,0%,4.1
Egypt,0,16,0%,3.5
Brazil,0,15,0%,12.8
Sri Lanka,0,14,0%,2.79
Mexico,0,14,0%,5.43
Spain,0,13,0%,10.62
Turkey,0,13,0%,11.31
Kuwait,0,12,0%,3.08
Netherlands,0,12,0%,3.67
Trinidad & Tobago,0,12,0%,3.83
France,0,12,0%,4.33
Thailand,0,12,0%,4.42
South Korea,0,12,0%,5
Uganda,0,12,0%,5.5
Nepal,0,12,0%,8.08
Guyana,0,10,0%,3
Qatar,0,10,0%,3.6
Indonesia,0,10,0%,4.4
Belgium,0,9,0%,3.22
Bahamas,0,9,0%,3.78
Hong Kong,0,8,0%,3.38
Zambia,0,8,0%,4.12
Japan,0,8,0%,5.88
Saudi Arabia,0,7,0%,3
Oman,0,7,0%,3.43
Ethiopia,0,7,0%,4.57
Switzerland,0,7,0%,9.29
Russia,0,7,0%,38.43
Malta,0,6,0%,2.17
Barbados,0,6,0%,4.17
China,0,6,0%,4.17
Zimbabwe,0,5,0%,3.6
Tanzania,0,5,0%,4.2
Iran,0,4,0%,2.5
Namibia,0,4,0%,3.25
Puerto Rico,0,4,0%,3.5
Sweden,0,4,0%,4.5
Taiwan,0,4,0%,4.5
Romania,0,4,0%,5.5
Poland,0,4,0%,5.75
Costa Rica,0,4,0%,6
Chile,0,4,0%,6.5
Sierra Leone,0,4,0%,6.5
Argentina,0,4,0%,15.5
Jordan,0,3,0%,2
Iraq,0,3,0%,2.33
Swaziland,0,3,0%,3
U.S. Virgin Islands,0,3,0%,3
Papua New Guinea,0,3,0%,3.33
Dominica,0,3,0%,4
Norway,0,3,0%,4.33
Greece,0,3,0%,4.67
Austria,0,3,0%,5
Belize,0,3,0%,5.33
Dominican Republic,0,2,0%,1.5
Botswana,0,2,0%,2
Cambodia,0,2,0%,2
Benin,0,2,0%,3.5
Czechia,0,2,0%,3.5
Lebanon,0,2,0%,3.5
Congo - Kinshasa,0,2,0%,4
Tunisia,0,2,0%,4.5
Finland,0,2,0%,5
Maldives,0,2,0%,5
Portugal,0,2,0%,5
Somalia,0,2,0%,5
Macedonia,0,2,0%,5.5
Colombia,0,2,0%,7.5
Israel,0,2,0%,7.5
Rwanda,0,2,0%,10
Peru,0,2,0%,10.5
Vietnam,0,2,0%,32.5
Algeria,0,2,0%,40.5
Antigua & Barbuda,0,1,0%,2
Cameroon,0,1,0%,2
Cyprus,0,1,0%,2
Ecuador,0,1,0%,2
Hungary,0,1,0%,2
Mauritius,0,1,0%,2
Belarus,0,1,0%,3
Fiji,0,1,0%,3
Gibraltar,0,1,0%,3
Madagascar,0,1,0%,3
Sint Maarten,0,1,0%,3
Azerbaijan,0,1,0%,4
Brunei,0,1,0%,4
Georgia,0,1,0%,4
Latvia,0,1,0%,4
Montenegro,0,1,0%,4
El Salvador,0,1,0%,4
Morocco,0,1,0%,5
British Virgin Islands,0,1,0%,5
Bulgaria,0,1,0%,6
Panama,0,1,0%,6
Guernsey,0,1,0%,7
Lesotho,0,1,0%,7
Bolivia,0,1,0%,9
Paraguay,0,1,0%,19
Venezuela,0,1,0%,37
Lithuania,0,1,0%,50
