Date,Clicks,Impressions,CTR,Position
2026-02-24,0,5,0%,51
2026-02-25,0,13,0%,55.6
2026-02-26,0,4,0%,46.8
2026-02-27,0,1,0%,68
2026-02-28,0,1,0%,58
2026-03-01,0,6,0%,44.8
2026-03-02,0,4,0%,44.2
2026-03-03,0,3,0%,42.7
2026-03-04,0,18,0%,47.3
2026-03-05,0,2,0%,37
2026-03-06,0,1,0%,37
2026-03-07,0,0,,
2026-03-08,0,2,0%,36.5
2026-03-09,0,1,0%,38
2026-03-10,0,2,0%,35.5
2026-03-11,0,17,0%,49
2026-03-12,0,2,0%,34.5
2026-03-13,0,2,0%,38
2026-03-14,0,2,0%,35.5
2026-03-15,0,4,0%,34
2026-03-16,0,2,0%,34.5
2026-03-17,0,5,0%,41.6
2026-03-18,0,20,0%,55.5
2026-03-19,0,4,0%,35.8
2026-03-20,0,3,0%,35.7
2026-03-21,0,3,0%,38.7
2026-03-22,0,1,0%,38
2026-03-23,0,1,0%,37
2026-03-24,0,1,0%,36
2026-03-25,0,22,0%,57.1
2026-03-26,0,1,0%,34
2026-03-27,0,1,0%,37
2026-03-28,0,3,0%,37.3
2026-03-29,0,1,0%,37
2026-03-30,0,2,0%,40.5
2026-03-31,0,1,0%,41
2026-04-01,0,14,0%,43.4
2026-04-02,0,2,0%,41.5
2026-04-03,0,1,0%,41
2026-04-04,0,3,0%,38.7
2026-04-05,0,1,0%,39
2026-04-06,0,1,0%,41
2026-04-07,0,3,0%,53.7
2026-04-08,0,5,0%,55.8
2026-04-09,0,7,0%,60.9
2026-04-10,0,0,,
2026-04-11,0,1,0%,52
2026-04-12,0,2,0%,51
2026-04-13,0,1,0%,53
2026-04-14,0,1,0%,52
2026-04-15,0,12,0%,57.6
2026-04-16,0,9,0%,60.8
2026-04-17,0,1,0%,49
2026-04-18,0,2,0%,50.5
2026-04-19,0,2,0%,50
2026-04-20,0,1,0%,51
2026-04-21,0,1,0%,47
2026-04-22,0,6,0%,51.3
2026-04-23,0,9,0%,55.6
2026-04-24,0,2,0%,54
2026-04-25,0,3,0%,50.7
2026-04-26,0,2,0%,50
2026-04-27,0,4,0%,51.2
2026-04-28,0,2,0%,53
2026-04-29,0,7,0%,50.1
2026-04-30,0,4,0%,49
2026-05-01,0,0,,
2026-05-02,0,2,0%,49
2026-05-03,0,1,0%,43
2026-05-04,0,1,0%,49
2026-05-05,0,2,0%,49
2026-05-06,0,9,0%,49.2
2026-05-07,0,8,0%,60.4
2026-05-08,0,1,0%,54
2026-05-09,0,2,0%,52.5
2026-05-10,0,1,0%,45
2026-05-11,0,2,0%,51.5
2026-05-12,0,1,0%,44
2026-05-13,0,7,0%,52.4
2026-05-14,0,5,0%,43
2026-05-15,0,1,0%,46
2026-05-16,0,1,0%,46
2026-05-17,0,2,0%,46
2026-05-18,0,2,0%,43
2026-05-19,0,1,0%,41
2026-05-20,0,6,0%,51.2
2026-05-21,0,4,0%,28.8
2026-05-22,0,5,0%,19
2026-05-23,0,5,0%,20.2
