Date,Clicks,Impressions,CTR,Position
2026-02-24,0,141,0%,32.8
2026-02-25,0,135,0%,29.7
2026-02-26,0,124,0%,27.8
2026-02-27,0,46,0%,40
2026-02-28,0,55,0%,42.1
2026-03-01,0,55,0%,37.8
2026-03-02,0,89,0%,47
2026-03-03,0,87,0%,43
2026-03-04,1,131,0.76%,46.5
2026-03-05,0,85,0%,42.4
2026-03-06,0,90,0%,40.2
2026-03-07,0,83,0%,41.5
2026-03-08,0,80,0%,39.4
2026-03-09,0,84,0%,46.4
2026-03-10,0,130,0%,43.8
2026-03-11,0,148,0%,46
2026-03-12,0,100,0%,44
2026-03-13,0,109,0%,43.1
2026-03-14,0,82,0%,42.3
2026-03-15,0,99,0%,44.7
2026-03-16,0,98,0%,43.8
2026-03-17,0,121,0%,46.1
2026-03-18,0,161,0%,50.6
2026-03-19,1,100,1%,40.6
2026-03-20,0,92,0%,47.5
2026-03-21,0,144,0%,40.8
2026-03-22,0,91,0%,45.2
2026-03-23,0,72,0%,40.8
2026-03-24,0,126,0%,45.9
2026-03-25,0,138,0%,46.7
2026-03-26,0,120,0%,42.7
2026-03-27,0,105,0%,40.6
2026-03-28,0,109,0%,38.8
2026-03-29,0,115,0%,40.8
2026-03-30,0,103,0%,42.6
2026-03-31,0,102,0%,39.7
2026-04-01,0,125,0%,31.5
2026-04-02,0,101,0%,38.8
2026-04-03,0,79,0%,39.2
2026-04-04,0,125,0%,40.7
2026-04-05,0,73,0%,34.3
2026-04-06,0,85,0%,41.2
2026-04-07,0,83,0%,42.7
2026-04-08,0,83,0%,35.7
2026-04-09,0,101,0%,40.2
2026-04-10,0,117,0%,33.5
2026-04-11,0,102,0%,40.4
2026-04-12,0,112,0%,37.6
2026-04-13,0,102,0%,32.8
2026-04-14,0,56,0%,37.5
2026-04-15,0,109,0%,39.7
2026-04-16,0,115,0%,34.6
2026-04-17,0,80,0%,31.7
2026-04-18,0,134,0%,37.3
2026-04-19,0,89,0%,38.8
2026-04-20,1,75,1.33%,33
2026-04-21,0,94,0%,37.4
2026-04-22,1,76,1.32%,36.9
2026-04-23,0,87,0%,36.1
2026-04-24,0,59,0%,39.2
2026-04-25,1,58,1.72%,40.3
2026-04-26,1,91,1.1%,39.3
2026-04-27,0,92,0%,41.7
2026-04-28,0,66,0%,38.7
2026-04-29,0,87,0%,44.8
2026-04-30,0,98,0%,44.3
2026-05-01,0,56,0%,37.7
2026-05-02,0,106,0%,41.2
2026-05-03,0,60,0%,44.2
2026-05-04,0,76,0%,43.7
2026-05-05,0,71,0%,35.8
2026-05-06,0,76,0%,38.9
2026-05-07,1,83,1.2%,46
2026-05-08,0,92,0%,37
2026-05-09,0,92,0%,38.9
2026-05-10,0,71,0%,43
2026-05-11,0,101,0%,38
2026-05-12,1,94,1.06%,38.2
2026-05-13,0,86,0%,38.9
2026-05-14,0,109,0%,36.8
2026-05-15,0,94,0%,27.6
2026-05-16,0,198,0%,38.7
2026-05-17,0,100,0%,38
2026-05-18,0,106,0%,38.6
2026-05-19,0,100,0%,36.9
2026-05-20,0,130,0%,34.4
2026-05-21,0,99,0%,38.7
2026-05-22,0,109,0%,35.9
2026-05-23,0,99,0%,35
