Country,Clicks,Impressions,CTR,Position
United States,1,6384,0.02%,42.59
Germany,1,8,12.5%,26
United Kingdom,0,705,0%,44.76
Thailand,0,163,0%,51.79
Canada,0,103,0%,40.1
Malaysia,0,79,0%,42.38
Australia,0,62,0%,55.79
United Arab Emirates,0,60,0%,18.52
India,0,49,0%,30.22
South Africa,0,49,0%,49.45
Ireland,0,48,0%,46.62
Iran,0,29,0%,1
Philippines,0,29,0%,4.79
Pakistan,0,20,0%,34.1
Brazil,0,17,0%,41.65
New Zealand,0,15,0%,47.87
Saudi Arabia,0,14,0%,24.79
Vietnam,0,10,0%,36.7
Switzerland,0,9,0%,39.89
Sweden,0,9,0%,42.44
Spain,0,9,0%,48.22
South Korea,0,7,0%,11
Indonesia,0,6,0%,9.67
Kuwait,0,6,0%,11
Netherlands,0,6,0%,16.67
Singapore,0,6,0%,40
Iceland,0,5,0%,14.8
Austria,0,5,0%,20.6
Italy,0,5,0%,23.6
France,0,5,0%,24.8
Japan,0,4,0%,1
Hong Kong,0,4,0%,30
Israel,0,4,0%,34.75
Chile,0,4,0%,37.5
Ukraine,0,4,0%,38.5
Poland,0,3,0%,10.67
Romania,0,3,0%,12.33
Portugal,0,3,0%,13
Mexico,0,3,0%,14
Ghana,0,3,0%,18.67
Russia,0,3,0%,19.67
Egypt,0,3,0%,29.67
Colombia,0,3,0%,32.33
Morocco,0,3,0%,33
Estonia,0,3,0%,61.33
Greece,0,2,0%,1
Iraq,0,2,0%,1
Kenya,0,2,0%,1
Cambodia,0,2,0%,1.5
Uzbekistan,0,2,0%,5
Jamaica,0,2,0%,8
Nigeria,0,2,0%,12
Mongolia,0,2,0%,12.5
Nepal,0,2,0%,18
Argentina,0,2,0%,24.5
Norway,0,2,0%,24.5
Denmark,0,2,0%,25
Dominican Republic,0,2,0%,25.5
Sri Lanka,0,2,0%,29
Hungary,0,2,0%,41
Kazakhstan,0,2,0%,51.5
Ecuador,0,2,0%,68.5
Afghanistan,0,1,0%,1
Oman,0,1,0%,1
Qatar,0,1,0%,2
Sudan,0,1,0%,2
Turkey,0,1,0%,8
Curaçao,0,1,0%,9
Lithuania,0,1,0%,9
Serbia,0,1,0%,9
Angola,0,1,0%,11
Azerbaijan,0,1,0%,12
Cyprus,0,1,0%,13
Czechia,0,1,0%,15
Myanmar (Burma),0,1,0%,29
Puerto Rico,0,1,0%,29
Luxembourg,0,1,0%,34
Finland,0,1,0%,41
Palestine,0,1,0%,44
Georgia,0,1,0%,50
Tunisia,0,1,0%,52
Paraguay,0,1,0%,53
Armenia,0,1,0%,67
Burkina Faso,0,1,0%,69
Latvia,0,1,0%,70
