Date,Clicks,Impressions,CTR,Position
2026-03-01,0,9,0%,74.3
2026-03-02,0,33,0%,46.1
2026-03-03,0,21,0%,53
2026-03-04,0,59,0%,41.1
2026-03-05,0,33,0%,31.6
2026-03-06,0,10,0%,38
2026-03-07,0,12,0%,22.5
2026-03-08,0,17,0%,29.6
2026-03-09,0,40,0%,48.2
2026-03-10,0,26,0%,38.3
2026-03-11,1,40,2.5%,43.9
2026-03-12,0,22,0%,32.6
2026-03-13,0,18,0%,35.6
2026-03-14,0,17,0%,33.1
2026-03-15,0,20,0%,43.1
2026-03-16,0,54,0%,50.3
2026-03-17,0,26,0%,30.4
2026-03-18,0,29,0%,29.2
2026-03-19,0,23,0%,25.4
2026-03-20,0,23,0%,22.1
2026-03-21,0,12,0%,25.1
2026-03-22,0,21,0%,35.5
2026-03-23,0,44,0%,33.8
2026-03-24,0,26,0%,31.8
2026-03-25,0,45,0%,36.6
2026-03-26,0,31,0%,36.7
2026-03-27,0,10,0%,27.2
2026-03-28,0,18,0%,31.9
2026-03-29,0,20,0%,39.8
2026-03-30,0,54,0%,45.4
2026-03-31,0,20,0%,28.4
2026-04-01,0,48,0%,31.5
2026-04-02,0,23,0%,32.6
2026-04-03,0,11,0%,29.5
2026-04-04,0,19,0%,27.7
2026-04-05,0,19,0%,32.4
2026-04-06,0,43,0%,35.4
2026-04-07,0,25,0%,27
2026-04-08,0,33,0%,33.6
2026-04-09,0,23,0%,32.8
2026-04-10,0,10,0%,25.8
2026-04-11,0,15,0%,29.1
2026-04-12,0,16,0%,32.4
2026-04-13,0,45,0%,32.3
2026-04-14,0,23,0%,31
2026-04-15,0,31,0%,29.2
2026-04-16,0,24,0%,32.8
2026-04-17,0,14,0%,29.5
2026-04-18,0,23,0%,29.2
2026-04-19,0,16,0%,37.1
2026-04-20,0,41,0%,29.4
2026-04-21,0,21,0%,25.9
2026-04-22,0,40,0%,35.6
2026-04-23,0,23,0%,28.7
2026-04-24,0,11,0%,24.3
2026-04-25,0,19,0%,27.4
2026-04-26,0,25,0%,33.1
2026-04-27,0,32,0%,35.9
2026-04-28,0,20,0%,27.1
2026-04-29,0,38,0%,38.3
2026-04-30,0,29,0%,37.7
2026-05-01,0,22,0%,31.9
2026-05-02,0,32,0%,26.5
2026-05-03,0,29,0%,32.8
2026-05-04,0,60,0%,37
2026-05-05,0,28,0%,25.2
2026-05-06,0,55,0%,38.1
2026-05-07,0,37,0%,34.5
2026-05-08,0,21,0%,25.1
2026-05-09,0,34,0%,35.5
2026-05-10,0,19,0%,28.6
2026-05-11,0,42,0%,35.3
2026-05-12,0,35,0%,32.9
2026-05-13,0,48,0%,36.6
2026-05-14,0,38,0%,24
2026-05-15,0,31,0%,37.4
2026-05-16,0,48,0%,39.6
2026-05-17,0,24,0%,27.9
2026-05-18,0,40,0%,38.6
2026-05-19,0,26,0%,37.8
2026-05-20,0,59,0%,42.7
2026-05-21,0,43,0%,31.2
2026-05-22,1,38,2.63%,19.2
2026-05-23,0,50,0%,19.8
2026-05-24,0,55,0%,16.7
2026-05-25,0,61,0%,12.9
2026-05-26,0,47,0%,22
2026-05-27,0,71,0%,22
2026-05-28,0,55,0%,22.4
2026-05-29,0,34,0%,16.6
2026-05-30,0,49,0%,21.4
