Country,Clicks,Impressions,CTR,Position
United States,2,2604,0.08%,33.13
United Arab Emirates,0,50,0%,21.5
United Kingdom,0,32,0%,22.41
Canada,0,20,0%,19.5
Germany,0,11,0%,17.82
India,0,10,0%,25.4
Brazil,0,7,0%,25.43
Indonesia,0,7,0%,46.14
Netherlands,0,6,0%,12.5
Russia,0,5,0%,13.4
Colombia,0,4,0%,25.25
Spain,0,4,0%,26
Italy,0,4,0%,38.75
Ukraine,0,3,0%,17.67
Bangladesh,0,3,0%,20.33
Philippines,0,3,0%,22.33
Vietnam,0,3,0%,28.67
Estonia,0,2,0%,12.5
Luxembourg,0,2,0%,14
Iceland,0,2,0%,15
Mexico,0,2,0%,19.5
Saudi Arabia,0,2,0%,24
Jordan,0,2,0%,25.5
Poland,0,2,0%,30
South Korea,0,2,0%,44.5
Chile,0,1,0%,1
Taiwan,0,1,0%,6
Lithuania,0,1,0%,8
Grenada,0,1,0%,9
Malawi,0,1,0%,12
Lebanon,0,1,0%,13
Belgium,0,1,0%,14
Japan,0,1,0%,17
Ecuador,0,1,0%,18
Cayman Islands,0,1,0%,20
Nepal,0,1,0%,20
Argentina,0,1,0%,21
Pakistan,0,1,0%,21
Venezuela,0,1,0%,21
Bahrain,0,1,0%,22
China,0,1,0%,22
Hong Kong,0,1,0%,22
Hungary,0,1,0%,22
Ireland,0,1,0%,23
Uzbekistan,0,1,0%,24
Iraq,0,1,0%,25
Madagascar,0,1,0%,25
Malaysia,0,1,0%,25
Albania,0,1,0%,27
Sweden,0,1,0%,27
Turkey,0,1,0%,27
Burkina Faso,0,1,0%,29
Bolivia,0,1,0%,29
Costa Rica,0,1,0%,29
Uruguay,0,1,0%,29
Australia,0,1,0%,31
Morocco,0,1,0%,34
