Date,Clicks,Impressions,CTR,Position
2026-03-01,1,76,1.32%,22.2
2026-03-02,0,78,0%,23.2
2026-03-03,1,76,1.32%,16.8
2026-03-04,5,248,2.02%,20.7
2026-03-05,1,258,0.39%,27.1
2026-03-06,2,156,1.28%,25.5
2026-03-07,2,271,0.74%,14.9
2026-03-08,0,272,0%,26
2026-03-09,3,269,1.12%,21.2
2026-03-10,2,279,0.72%,22.4
2026-03-11,1,307,0.33%,20.3
2026-03-12,2,269,0.74%,15.3
2026-03-13,2,222,0.9%,18.5
2026-03-14,0,207,0%,21.6
2026-03-15,2,296,0.68%,26
2026-03-16,1,342,0.29%,33.1
2026-03-17,2,358,0.56%,25.5
2026-03-18,1,353,0.28%,23.8
2026-03-19,2,373,0.54%,19.9
2026-03-20,0,312,0%,18.1
2026-03-21,2,357,0.56%,25.5
2026-03-22,3,370,0.81%,20.1
2026-03-23,0,427,0%,18.5
2026-03-24,5,298,1.68%,17.4
2026-03-25,7,333,2.1%,23.3
2026-03-26,2,278,0.72%,18.3
2026-03-27,0,233,0%,22.1
2026-03-28,3,244,1.23%,15.9
2026-03-29,2,270,0.74%,20.3
2026-03-30,0,291,0%,21.4
2026-03-31,3,242,1.24%,16.5
2026-04-01,2,310,0.65%,19.8
2026-04-02,1,299,0.33%,23.2
2026-04-03,1,218,0.46%,18
2026-04-04,3,300,1%,18.8
2026-04-05,0,271,0%,21.3
2026-04-06,6,371,1.62%,21.6
2026-04-07,3,323,0.93%,23
2026-04-08,2,294,0.68%,23.3
2026-04-09,2,254,0.79%,18.5
2026-04-10,3,245,1.22%,21.9
2026-04-11,2,369,0.54%,26.1
2026-04-12,0,339,0%,22.5
2026-04-13,1,348,0.29%,27.9
2026-04-14,3,250,1.2%,21
2026-04-15,3,281,1.07%,24.5
2026-04-16,0,257,0%,23.3
2026-04-17,1,201,0.5%,19.4
2026-04-18,0,313,0%,16.8
2026-04-19,1,227,0.44%,22.9
2026-04-20,0,264,0%,21.7
2026-04-21,0,229,0%,18.1
2026-04-22,1,227,0.44%,21.5
2026-04-23,2,218,0.92%,21.4
2026-04-24,4,227,1.76%,18.6
2026-04-25,1,253,0.4%,19.9
2026-04-26,2,263,0.76%,22.2
2026-04-27,1,268,0.37%,23.6
2026-04-28,1,224,0.45%,21.7
2026-04-29,1,282,0.35%,24.1
2026-04-30,2,214,0.93%,17.5
2026-05-01,1,331,0.3%,28.8
2026-05-02,3,303,0.99%,21.1
2026-05-03,3,306,0.98%,19.7
2026-05-04,3,279,1.08%,20
2026-05-05,2,215,0.93%,18.6
2026-05-06,4,283,1.41%,21
2026-05-07,3,232,1.29%,19.5
2026-05-08,1,246,0.41%,19.7
2026-05-09,3,233,1.29%,20.6
2026-05-10,0,265,0%,20.1
2026-05-11,1,276,0.36%,22.5
2026-05-12,4,271,1.48%,19.4
2026-05-13,1,282,0.35%,20.3
2026-05-14,3,249,1.2%,19.5
2026-05-15,1,225,0.44%,17.5
2026-05-16,3,315,0.95%,17.4
2026-05-17,0,310,0%,17.2
2026-05-18,2,282,0.71%,21
2026-05-19,1,245,0.41%,21.9
2026-05-20,2,301,0.66%,25
2026-05-21,2,282,0.71%,21.3
2026-05-22,4,342,1.17%,14.9
2026-05-23,3,518,0.58%,24.7
2026-05-24,3,507,0.59%,16.5
2026-05-25,7,459,1.53%,12.5
2026-05-26,5,447,1.12%,16.8
2026-05-27,2,497,0.4%,18
2026-05-28,2,396,0.51%,12.2
2026-05-29,6,385,1.56%,12.4
2026-05-30,6,384,1.56%,14.2
