Country,Clicks,Impressions,CTR,Position
United States,42,13581,0.31%,29.38
Canada,4,196,2.04%,12.47
United Kingdom,0,178,0%,27.33
United Arab Emirates,0,95,0%,18.67
India,0,56,0%,32.66
Brazil,0,55,0%,35.98
Russia,0,35,0%,16.69
Vietnam,0,34,0%,37.15
Turkey,0,28,0%,37.14
Indonesia,0,27,0%,38.44
Mexico,0,26,0%,30.77
Saudi Arabia,0,26,0%,43.35
Germany,0,23,0%,15.57
Spain,0,19,0%,29.68
Philippines,0,19,0%,32.05
France,0,17,0%,32.06
Argentina,0,16,0%,37.12
Colombia,0,15,0%,28.33
Bangladesh,0,15,0%,29.33
Italy,0,14,0%,21.93
Peru,0,14,0%,26.79
Netherlands,0,14,0%,28
Pakistan,0,12,0%,29.75
Morocco,0,11,0%,34.64
Ukraine,0,10,0%,14.4
Australia,0,10,0%,15.2
Trinidad & Tobago,0,9,0%,6.56
Dominican Republic,0,9,0%,19.89
Iraq,0,9,0%,38.22
Jordan,0,8,0%,44.5
Cayman Islands,0,7,0%,5.29
Malaysia,0,7,0%,30.14
Venezuela,0,6,0%,26.17
Thailand,0,6,0%,26.83
Japan,0,6,0%,33.67
Egypt,0,6,0%,40.33
Bahamas,0,5,0%,8
Barbados,0,5,0%,9.8
Austria,0,5,0%,13.8
Serbia,0,5,0%,21.6
South Africa,0,5,0%,26.8
Ecuador,0,5,0%,29.4
South Korea,0,5,0%,35.2
Chile,0,5,0%,35.8
Norway,0,4,0%,3.5
China,0,4,0%,8.75
Jamaica,0,4,0%,14.25
Luxembourg,0,4,0%,15
Belgium,0,4,0%,15.25
Iceland,0,4,0%,16.25
Sweden,0,4,0%,26
Kenya,0,4,0%,36.5
Uruguay,0,4,0%,39.25
Hungary,0,4,0%,44
New Zealand,0,3,0%,4.67
Puerto Rico,0,3,0%,9
Ireland,0,3,0%,11
Estonia,0,3,0%,13.33
Costa Rica,0,3,0%,15.33
Czechia,0,3,0%,16.33
Algeria,0,3,0%,29
Poland,0,3,0%,29
Tunisia,0,3,0%,29.67
Denmark,0,3,0%,30.67
Lebanon,0,3,0%,32
Romania,0,3,0%,35.67
Hong Kong,0,3,0%,39
Moldova,0,3,0%,40
Suriname,0,2,0%,1
Honduras,0,2,0%,4
Guyana,0,2,0%,17
Taiwan,0,2,0%,17.5
Belarus,0,2,0%,20
Grenada,0,2,0%,20.5
Israel,0,2,0%,21.5
Bahrain,0,2,0%,23.5
Portugal,0,2,0%,25.5
Libya,0,2,0%,28.5
Uzbekistan,0,2,0%,32.5
Angola,0,2,0%,37
Azerbaijan,0,2,0%,38
Myanmar (Burma),0,2,0%,42.5
Nepal,0,2,0%,43.5
Greece,0,2,0%,48
Burkina Faso,0,2,0%,48.5
Nicaragua,0,2,0%,49
Panama,0,2,0%,51.5
Togo,0,2,0%,61.5
Haiti,0,1,0%,2
Kyrgyzstan,0,1,0%,2
U.S. Virgin Islands,0,1,0%,2
Yemen,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,3
Malta,0,1,0%,4
Turks & Caicos Islands,0,1,0%,4
Paraguay,0,1,0%,5
Singapore,0,1,0%,5
St. Kitts & Nevis,0,1,0%,6
Guam,0,1,0%,7
Croatia,0,1,0%,7
Cyprus,0,1,0%,8
Lithuania,0,1,0%,8
Nigeria,0,1,0%,8
Slovenia,0,1,0%,8
Kazakhstan,0,1,0%,12
Malawi,0,1,0%,12
Bulgaria,0,1,0%,25
Madagascar,0,1,0%,25
Oman,0,1,0%,25
Albania,0,1,0%,27
Syria,0,1,0%,27
Andorra,0,1,0%,28
Switzerland,0,1,0%,28
Bolivia,0,1,0%,29
Western Sahara,0,1,0%,30
Macedonia,0,1,0%,30
Curaçao,0,1,0%,33
Armenia,0,1,0%,36
Kosovo,0,1,0%,44
Belize,0,1,0%,45
Sudan,0,1,0%,49
Ethiopia,0,1,0%,61
