Date,Clicks,Impressions,CTR,Position
2026-03-16,0,7,0%,30.9
2026-03-17,0,5,0%,26.8
2026-03-18,0,6,0%,24.5
2026-03-19,0,4,0%,25.2
2026-03-20,0,4,0%,25.5
2026-03-21,0,6,0%,25.2
2026-03-22,0,3,0%,25.3
2026-03-23,0,3,0%,24.3
2026-03-24,0,5,0%,25.6
2026-03-25,0,3,0%,23.7
2026-03-26,0,6,0%,23
2026-03-27,0,3,0%,25
2026-03-28,0,3,0%,15
2026-03-29,0,3,0%,23.7
2026-03-30,0,3,0%,24.7
2026-03-31,0,7,0%,26.3
2026-04-01,0,6,0%,19.7
2026-04-02,0,4,0%,28.2
2026-04-03,0,3,0%,28
2026-04-04,0,3,0%,25.3
2026-04-05,0,3,0%,25.3
2026-04-06,0,4,0%,27.5
2026-04-07,0,6,0%,26.2
2026-04-08,0,3,0%,27.7
2026-04-09,0,3,0%,27.3
2026-04-10,0,4,0%,38
2026-04-11,0,7,0%,27.9
2026-04-12,0,4,0%,26
2026-04-13,0,4,0%,29.8
2026-04-14,0,3,0%,28.3
2026-04-15,0,3,0%,16.3
2026-04-16,0,3,0%,27
2026-04-17,0,3,0%,28
2026-04-18,0,3,0%,26.3
2026-04-19,0,6,0%,29.8
2026-04-20,0,3,0%,26.3
2026-04-21,0,3,0%,25.7
2026-04-22,0,3,0%,25.7
2026-04-23,0,3,0%,24.7
2026-04-24,0,4,0%,27.5
2026-04-25,0,8,0%,29.1
2026-04-26,0,5,0%,30
2026-04-27,0,9,0%,30.6
2026-04-28,0,6,0%,35.8
2026-04-29,0,6,0%,34.3
2026-04-30,0,4,0%,31
2026-05-01,0,10,0%,31.4
2026-05-02,0,5,0%,31.2
2026-05-03,0,8,0%,31.6
2026-05-04,0,8,0%,32.4
2026-05-05,0,6,0%,33.2
2026-05-06,0,10,0%,33.2
2026-05-07,0,6,0%,29.3
2026-05-08,0,5,0%,24
2026-05-09,0,7,0%,29
2026-05-10,0,8,0%,29.1
2026-05-11,0,8,0%,29.4
2026-05-12,0,8,0%,37.5
2026-05-13,0,6,0%,31
2026-05-14,0,6,0%,33.7
2026-05-15,0,6,0%,28
2026-05-16,0,7,0%,25.1
2026-05-17,0,6,0%,28
2026-05-18,0,8,0%,38
2026-05-19,0,5,0%,32.4
2026-05-20,0,11,0%,30.5
2026-05-21,0,7,0%,32.1
2026-05-22,0,6,0%,30.8
2026-05-23,0,10,0%,24
2026-05-24,0,9,0%,27
2026-05-25,0,7,0%,19.1
2026-05-26,0,14,0%,31.9
2026-05-27,0,9,0%,16.6
2026-05-28,0,8,0%,15.2
2026-05-29,0,9,0%,15.1
2026-05-30,0,10,0%,28.4
2026-05-31,0,8,0%,13.5
2026-06-01,0,13,0%,15.8
2026-06-02,0,7,0%,16.6
2026-06-03,0,6,0%,18.8
2026-06-04,0,9,0%,17.9
2026-06-05,0,8,0%,17.2
2026-06-06,0,8,0%,15.5
2026-06-07,0,11,0%,13.2
2026-06-08,0,10,0%,17.1
2026-06-09,0,8,0%,15.8
2026-06-10,0,10,0%,13
2026-06-11,0,6,0%,16.3
2026-06-12,0,9,0%,14.9
2026-06-13,0,9,0%,16.6
2026-06-14,0,7,0%,16.3
2026-06-15,0,13,0%,15.2
