Country,Clicks,Impressions,CTR,Position
United States,0,490,0%,24.43
Brazil,0,5,0%,29.8
Russia,0,4,0%,24
Turkey,0,4,0%,24.75
India,0,4,0%,25
Philippines,0,4,0%,25.25
Kenya,0,4,0%,30.25
Pakistan,0,3,0%,25.33
Argentina,0,3,0%,25.67
Iraq,0,3,0%,25.67
Saudi Arabia,0,3,0%,26
Vietnam,0,3,0%,26.33
Indonesia,0,3,0%,28
Jordan,0,3,0%,32.33
United Kingdom,0,3,0%,52.33
Bangladesh,0,2,0%,25.5
Germany,0,2,0%,26.5
Morocco,0,2,0%,26.5
Côte d’Ivoire,0,2,0%,27.5
Italy,0,2,0%,28
United Arab Emirates,0,2,0%,28.5
Malaysia,0,2,0%,31.5
Azerbaijan,0,2,0%,33.5
Egypt,0,1,0%,1
Venezuela,0,1,0%,1
Tunisia,0,1,0%,20
Moldova,0,1,0%,21
Uruguay,0,1,0%,24
Georgia,0,1,0%,25
Greece,0,1,0%,25
Nepal,0,1,0%,25
Romania,0,1,0%,27
Spain,0,1,0%,28
Nigeria,0,1,0%,28
Portugal,0,1,0%,28
Togo,0,1,0%,28
Australia,0,1,0%,29
Costa Rica,0,1,0%,29
Ukraine,0,1,0%,29
Belgium,0,1,0%,30
France,0,1,0%,30
Canada,0,1,0%,31
Panama,0,1,0%,31
