Date,Clicks,Impressions,CTR,Position
2026-03-16,0,55,0%,38.6
2026-03-17,0,44,0%,42
2026-03-18,0,50,0%,41
2026-03-19,0,37,0%,39.6
2026-03-20,0,26,0%,40.3
2026-03-21,0,33,0%,31.1
2026-03-22,0,28,0%,34.9
2026-03-23,0,38,0%,35.2
2026-03-24,1,45,2.22%,34.3
2026-03-25,0,38,0%,43.4
2026-03-26,0,36,0%,32.3
2026-03-27,0,25,0%,38.4
2026-03-28,0,30,0%,37.7
2026-03-29,0,21,0%,33.6
2026-03-30,0,44,0%,39.5
2026-03-31,0,39,0%,35.1
2026-04-01,0,35,0%,34.1
2026-04-02,0,53,0%,38.8
2026-04-03,0,27,0%,37.4
2026-04-04,0,31,0%,33.6
2026-04-05,0,20,0%,40.1
2026-04-06,0,39,0%,37.9
2026-04-07,0,33,0%,33.6
2026-04-08,0,31,0%,36.4
2026-04-09,0,27,0%,38.9
2026-04-10,0,20,0%,39.1
2026-04-11,0,30,0%,35.9
2026-04-12,0,24,0%,33.5
2026-04-13,0,45,0%,36
2026-04-14,0,34,0%,36.9
2026-04-15,0,25,0%,39.5
2026-04-16,0,27,0%,36.1
2026-04-17,0,22,0%,39.6
2026-04-18,0,22,0%,38.8
2026-04-19,0,39,0%,37.4
2026-04-20,0,42,0%,39
2026-04-21,0,26,0%,40.5
2026-04-22,0,34,0%,42
2026-04-23,0,32,0%,40.6
2026-04-24,0,25,0%,40.3
2026-04-25,0,28,0%,38.2
2026-04-26,0,37,0%,30.9
2026-04-27,0,43,0%,37.3
2026-04-28,0,35,0%,36.9
2026-04-29,2,32,6.25%,37.4
2026-04-30,0,21,0%,36.5
2026-05-01,0,38,0%,46.9
2026-05-02,0,27,0%,45.9
2026-05-03,0,34,0%,39.6
2026-05-04,0,32,0%,40.9
2026-05-05,0,19,0%,43.3
2026-05-06,0,44,0%,38.6
2026-05-07,0,39,0%,37.2
2026-05-08,0,25,0%,37.9
2026-05-09,0,25,0%,33.4
2026-05-10,0,33,0%,37.8
2026-05-11,0,29,0%,39.7
2026-05-12,0,30,0%,36.2
2026-05-13,0,33,0%,40.3
2026-05-14,0,30,0%,41.5
2026-05-15,0,23,0%,41.2
2026-05-16,0,33,0%,47
2026-05-17,0,33,0%,39.6
2026-05-18,0,45,0%,41.7
2026-05-19,0,30,0%,46.9
2026-05-20,0,49,0%,40.2
2026-05-21,0,35,0%,42.4
2026-05-22,0,24,0%,38.6
2026-05-23,0,44,0%,37.2
2026-05-24,0,46,0%,35.6
2026-05-25,1,61,1.64%,33
2026-05-26,0,60,0%,31.4
2026-05-27,0,51,0%,34.2
2026-05-28,0,54,0%,31.4
2026-05-29,0,48,0%,37.1
2026-05-30,0,51,0%,33
2026-05-31,0,47,0%,35
2026-06-01,0,67,0%,23.3
2026-06-02,0,91,0%,31.3
2026-06-03,0,59,0%,31.5
2026-06-04,0,59,0%,31.2
2026-06-05,0,48,0%,27.6
2026-06-06,0,50,0%,30.9
2026-06-07,0,62,0%,29
2026-06-08,0,77,0%,32.1
2026-06-09,0,69,0%,29.5
2026-06-10,0,59,0%,29.8
2026-06-11,0,26,0%,29.1
2026-06-12,0,36,0%,27.8
2026-06-13,0,42,0%,29.8
2026-06-14,0,50,0%,27.7
2026-06-15,0,71,0%,25.1
