Country,Clicks,Impressions,CTR,Position
United States,1,2716,0.04%,37.81
India,0,37,0%,34.16
Brazil,0,34,0%,37.18
Philippines,0,29,0%,39
Indonesia,0,22,0%,35.36
United Kingdom,0,21,0%,30.14
Turkey,0,20,0%,34.2
Argentina,0,20,0%,37.3
Germany,0,17,0%,32
Russia,0,15,0%,32.67
Vietnam,0,14,0%,32.79
Bangladesh,0,13,0%,36.38
Canada,0,13,0%,36.46
France,0,12,0%,30.25
Saudi Arabia,0,12,0%,30.92
Iraq,0,11,0%,31.55
Kenya,0,11,0%,32.27
Pakistan,0,11,0%,34.45
Mexico,0,11,0%,37
Colombia,0,10,0%,37.4
Egypt,0,9,0%,32.44
Morocco,0,8,0%,30.75
Venezuela,0,8,0%,35.12
Jordan,0,8,0%,36.88
United Arab Emirates,0,8,0%,37.25
Italy,0,7,0%,30.29
Côte d’Ivoire,0,7,0%,31.14
Malaysia,0,7,0%,33
Spain,0,7,0%,34
Chile,0,5,0%,32.2
Algeria,0,5,0%,33.4
Portugal,0,5,0%,41.8
Nepal,0,5,0%,51.6
Ukraine,0,3,0%,28
Georgia,0,3,0%,28.67
Sweden,0,3,0%,30.33
Panama,0,3,0%,30.67
Netherlands,0,3,0%,31.33
Tunisia,0,3,0%,33.33
Belgium,0,3,0%,33.67
Thailand,0,3,0%,35.33
Dominican Republic,0,3,0%,36.33
Serbia,0,3,0%,37
Azerbaijan,0,3,0%,37.67
Peru,0,3,0%,39
Costa Rica,0,3,0%,40
Kazakhstan,0,3,0%,40
South Africa,0,3,0%,41.67
Moldova,0,2,0%,25
Uruguay,0,2,0%,25.5
Romania,0,2,0%,30
Paraguay,0,2,0%,36
Nigeria,0,2,0%,38
Oman,0,2,0%,38.5
Bahrain,0,2,0%,39
Palestine,0,2,0%,39.5
Ecuador,0,2,0%,45.5
Czechia,0,1,0%,24
Libya,0,1,0%,24
Belarus,0,1,0%,25
Greece,0,1,0%,25
Singapore,0,1,0%,25
Guadeloupe,0,1,0%,28
Jamaica,0,1,0%,28
Japan,0,1,0%,28
Togo,0,1,0%,28
Taiwan,0,1,0%,28
Australia,0,1,0%,29
Gabon,0,1,0%,31
Honduras,0,1,0%,31
Bolivia,0,1,0%,32
South Korea,0,1,0%,33
Bulgaria,0,1,0%,36
Mali,0,1,0%,37
Western Sahara,0,1,0%,38
Brunei,0,1,0%,41
Ethiopia,0,1,0%,41
Hong Kong,0,1,0%,41
Djibouti,0,1,0%,43
Kuwait,0,1,0%,44
Zimbabwe,0,1,0%,44
Armenia,0,1,0%,47
French Guiana,0,1,0%,47
Cambodia,0,1,0%,47
Poland,0,1,0%,47
Angola,0,1,0%,79
