Date,Clicks,Impressions,CTR,Position
2026-03-21,1,37,2.7%,10.7
2026-03-22,2,45,4.44%,12.2
2026-03-23,2,69,2.9%,13.6
2026-03-24,1,45,2.22%,21.5
2026-03-25,0,77,0%,21.1
2026-03-26,1,54,1.85%,14.9
2026-03-27,0,33,0%,5.3
2026-03-28,0,39,0%,23.3
2026-03-29,2,49,4.08%,12.3
2026-03-30,0,60,0%,24.6
2026-03-31,0,34,0%,12
2026-04-01,0,76,0%,37.2
2026-04-02,0,32,0%,21.4
2026-04-03,1,19,5.26%,17.7
2026-04-04,0,27,0%,17.3
2026-04-05,1,39,2.56%,15.1
2026-04-06,0,46,0%,27.3
2026-04-07,0,21,0%,25.8
2026-04-08,0,43,0%,32.2
2026-04-09,0,27,0%,26.9
2026-04-10,0,14,0%,15.4
2026-04-11,0,27,0%,26.9
2026-04-12,1,27,3.7%,19.3
2026-04-13,3,51,5.88%,25.4
2026-04-14,0,23,0%,23.3
2026-04-15,1,55,1.82%,31
2026-04-16,0,25,0%,32.6
2026-04-17,0,20,0%,24.1
2026-04-18,0,28,0%,19.9
2026-04-19,0,33,0%,10.9
2026-04-20,0,63,0%,14.4
2026-04-21,1,25,4%,13.7
2026-04-22,0,61,0%,22.6
2026-04-23,1,44,2.27%,19.6
2026-04-24,0,20,0%,10.5
2026-04-25,0,39,0%,19
2026-04-26,0,60,0%,17.4
2026-04-27,1,65,1.54%,17.8
2026-04-28,0,35,0%,22.3
2026-04-29,0,53,0%,28.9
2026-04-30,1,32,3.12%,20
2026-05-01,2,28,7.14%,9.5
2026-05-02,0,37,0%,13.3
2026-05-03,2,57,3.51%,10.1
2026-05-04,1,65,1.54%,18.9
2026-05-05,0,37,0%,14.9
2026-05-06,1,83,1.2%,19.9
2026-05-07,0,51,0%,13
2026-05-08,1,34,2.94%,8
2026-05-09,0,46,0%,14.3
2026-05-10,0,58,0%,7.4
2026-05-11,1,54,1.85%,12.1
2026-05-12,0,42,0%,6.9
2026-05-13,3,67,4.48%,17.4
2026-05-14,0,41,0%,15.2
2026-05-15,2,34,5.88%,6.8
2026-05-16,0,48,0%,21.4
2026-05-17,0,56,0%,10.9
2026-05-18,0,74,0%,24.6
2026-05-19,0,43,0%,12.4
2026-05-20,0,79,0%,31.1
2026-05-21,0,51,0%,19.4
2026-05-22,1,38,2.63%,12
2026-05-23,2,49,4.08%,9.4
2026-05-24,0,59,0%,7.7
2026-05-25,0,61,0%,17.7
2026-05-26,2,37,5.41%,8.4
2026-05-27,0,75,0%,23.9
2026-05-28,1,40,2.5%,12.3
2026-05-29,1,33,3.03%,2.3
2026-05-30,3,63,4.76%,13.3
2026-05-31,0,44,0%,5.3
2026-06-01,1,60,1.67%,22.5
2026-06-02,2,46,4.35%,10.7
2026-06-03,2,60,3.33%,25.7
2026-06-04,2,47,4.26%,18.6
2026-06-05,2,36,5.56%,15.5
2026-06-06,1,44,2.27%,13.3
2026-06-07,0,43,0%,7.5
2026-06-08,0,56,0%,18.6
2026-06-09,1,73,1.37%,22.9
2026-06-10,0,43,0%,17.9
2026-06-11,0,31,0%,5.7
2026-06-12,4,40,10%,2.7
2026-06-13,1,43,2.33%,15.6
2026-06-14,0,88,0%,18.6
2026-06-15,2,56,3.57%,13.4
2026-06-16,2,73,2.74%,19.6
2026-06-17,1,53,1.89%,15.1
2026-06-18,0,33,0%,3.1
2026-06-19,1,39,2.56%,9.1
2026-06-20,0,53,0%,8.8
