Country,Clicks,Impressions,CTR,Position
United States,61,4096,1.49%,17.49
Canada,1,17,5.88%,5.18
Botswana,1,2,50%,2
Bahamas,1,2,50%,4
Jordan,1,1,100%,2
United Kingdom,0,14,0%,4.64
Brazil,0,13,0%,14.31
Vietnam,0,8,0%,16.88
Italy,0,8,0%,30.62
Indonesia,0,6,0%,4.83
Dominican Republic,0,6,0%,6
Germany,0,6,0%,8.83
Bangladesh,0,5,0%,2.8
India,0,5,0%,2.8
Jamaica,0,4,0%,2.5
Mexico,0,4,0%,6
Chile,0,4,0%,16.25
Iraq,0,4,0%,21.5
Spain,0,4,0%,22.5
Pakistan,0,3,0%,2
Colombia,0,3,0%,2.67
Poland,0,3,0%,6.33
France,0,3,0%,7.33
Ukraine,0,3,0%,9.33
Saudi Arabia,0,3,0%,11.67
Algeria,0,3,0%,25.33
Morocco,0,3,0%,32.67
Turkey,0,2,0%,1
Malaysia,0,2,0%,2.5
United Arab Emirates,0,2,0%,3.5
Kyrgyzstan,0,2,0%,4
Netherlands,0,2,0%,5.5
Russia,0,2,0%,5.5
El Salvador,0,2,0%,6
Peru,0,2,0%,29
Argentina,0,2,0%,38.5
Kenya,0,1,0%,1
Philippines,0,1,0%,1
Rwanda,0,1,0%,1
Senegal,0,1,0%,1
Suriname,0,1,0%,1
Azerbaijan,0,1,0%,2
Barbados,0,1,0%,2
Venezuela,0,1,0%,2
Zambia,0,1,0%,2
Guyana,0,1,0%,3
Moldova,0,1,0%,3
Tunisia,0,1,0%,3
Finland,0,1,0%,4
Nicaragua,0,1,0%,4
Serbia,0,1,0%,4
Paraguay,0,1,0%,5
Trinidad & Tobago,0,1,0%,6
Belize,0,1,0%,11
Nigeria,0,1,0%,14
Georgia,0,1,0%,58
Grenada,0,1,0%,67
Australia,0,1,0%,68
