Date,Clicks,Impressions,CTR,Position
2026-03-21,1,156,0.64%,34.4
2026-03-22,3,173,1.73%,42
2026-03-23,2,230,0.87%,40.7
2026-03-24,3,187,1.6%,41.2
2026-03-25,1,223,0.45%,36.4
2026-03-26,3,168,1.79%,38.1
2026-03-27,2,157,1.27%,32.6
2026-03-28,1,119,0.84%,31.9
2026-03-29,3,141,2.13%,34.7
2026-03-30,1,159,0.63%,35.3
2026-03-31,3,115,2.61%,29.2
2026-04-01,1,136,0.74%,27.4
2026-04-02,0,119,0%,39.1
2026-04-03,1,85,1.18%,32.8
2026-04-04,0,74,0%,26.6
2026-04-05,1,108,0.93%,30.5
2026-04-06,1,112,0.89%,30.8
2026-04-07,1,86,1.16%,28.1
2026-04-08,2,96,2.08%,29.8
2026-04-09,0,60,0%,33.4
2026-04-10,1,66,1.52%,38.7
2026-04-11,0,78,0%,35.7
2026-04-12,1,82,1.22%,29
2026-04-13,3,110,2.73%,31.9
2026-04-14,0,93,0%,30.3
2026-04-15,1,112,0.89%,32.7
2026-04-16,0,94,0%,35.9
2026-04-17,0,78,0%,29.6
2026-04-18,0,81,0%,30.7
2026-04-19,0,142,0%,28.8
2026-04-20,0,156,0%,27.6
2026-04-21,1,95,1.05%,30.5
2026-04-22,0,123,0%,31
2026-04-23,2,90,2.22%,24.6
2026-04-24,0,66,0%,19.1
2026-04-25,0,77,0%,20.7
2026-04-26,0,122,0%,27.4
2026-04-27,2,135,1.48%,23.7
2026-04-28,0,83,0%,21.2
2026-04-29,0,89,0%,31.4
2026-04-30,2,97,2.06%,28.1
2026-05-01,3,138,2.17%,29.5
2026-05-02,1,117,0.85%,23.9
2026-05-03,3,137,2.19%,18.7
2026-05-04,1,170,0.59%,19.7
2026-05-05,0,98,0%,15.4
2026-05-06,2,167,1.2%,20.8
2026-05-07,1,146,0.68%,23
2026-05-08,1,124,0.81%,16.9
2026-05-09,2,107,1.87%,16.2
2026-05-10,4,151,2.65%,19
2026-05-11,2,192,1.04%,24.6
2026-05-12,1,140,0.71%,21.9
2026-05-13,5,152,3.29%,21.1
2026-05-14,1,130,0.77%,24.4
2026-05-15,5,145,3.45%,28
2026-05-16,4,147,2.72%,30.5
2026-05-17,0,187,0%,27.3
2026-05-18,3,222,1.35%,28.1
2026-05-19,0,130,0%,24.9
2026-05-20,1,190,0.53%,34.5
2026-05-21,4,210,1.9%,30.9
2026-05-22,2,253,0.79%,21.7
2026-05-23,8,236,3.39%,26
2026-05-24,7,259,2.7%,26.3
2026-05-25,1,281,0.36%,29.3
2026-05-26,8,249,3.21%,29.3
2026-05-27,8,337,2.37%,30.5
2026-05-28,5,240,2.08%,27.8
2026-05-29,4,237,1.69%,22.9
2026-05-30,4,231,1.73%,25.2
2026-05-31,6,244,2.46%,24.6
2026-06-01,4,276,1.45%,26.6
2026-06-02,5,305,1.64%,24
2026-06-03,6,255,2.35%,26
2026-06-04,8,211,3.79%,24.1
2026-06-05,4,196,2.04%,23
2026-06-06,1,168,0.6%,26
2026-06-07,2,230,0.87%,26.2
2026-06-08,4,293,1.37%,28.6
2026-06-09,8,266,3.01%,22
2026-06-10,5,287,1.74%,25.1
2026-06-11,6,202,2.97%,20.6
2026-06-12,6,200,3%,18.8
2026-06-13,8,270,2.96%,24.3
2026-06-14,5,300,1.67%,23.1
2026-06-15,7,296,2.36%,22.9
2026-06-16,2,260,0.77%,20.3
2026-06-17,5,256,1.95%,25
2026-06-18,3,258,1.16%,20.9
2026-06-19,8,241,3.32%,18.3
2026-06-20,4,234,1.71%,18.9
