Country,Clicks,Impressions,CTR,Position
United States,106,10891,0.97%,32.99
Canada,3,48,6.25%,17
Bahamas,2,8,25%,14.12
Jordan,1,7,14.29%,36.14
Belize,1,3,33.33%,5
Botswana,1,2,50%,2
Greece,1,2,50%,4
United Kingdom,0,60,0%,47.63
India,0,40,0%,40.02
Brazil,0,34,0%,25.85
Indonesia,0,29,0%,43.55
Vietnam,0,21,0%,23.9
Turkey,0,19,0%,44.95
Philippines,0,18,0%,27.78
Argentina,0,18,0%,31.78
United Arab Emirates,0,17,0%,58.88
Pakistan,0,14,0%,29.86
Bangladesh,0,14,0%,33.93
Mexico,0,13,0%,29
France,0,12,0%,15.83
Germany,0,12,0%,24
Russia,0,12,0%,41.58
Saudi Arabia,0,11,0%,19.18
Spain,0,11,0%,31
Colombia,0,11,0%,33.18
Italy,0,10,0%,41.8
Morocco,0,9,0%,31.56
Iraq,0,8,0%,17.25
Chile,0,8,0%,30.88
Jamaica,0,7,0%,4.14
Dominican Republic,0,6,0%,6
Netherlands,0,6,0%,23.67
Egypt,0,6,0%,25.83
Ukraine,0,6,0%,30
Costa Rica,0,5,0%,18.8
Malaysia,0,5,0%,27.2
Venezuela,0,5,0%,32.8
Azerbaijan,0,4,0%,18
Trinidad & Tobago,0,4,0%,23.25
Kazakhstan,0,4,0%,24.5
Kenya,0,4,0%,34.5
Uzbekistan,0,4,0%,36.5
Algeria,0,4,0%,38.5
Tunisia,0,4,0%,40.25
South Africa,0,4,0%,55.25
Luxembourg,0,4,0%,66.25
Ethiopia,0,3,0%,2
Australia,0,3,0%,3.67
Poland,0,3,0%,6.33
Norway,0,3,0%,23.33
Senegal,0,3,0%,30.33
South Korea,0,3,0%,52.67
Sweden,0,3,0%,59
Ecuador,0,3,0%,64.67
Iceland,0,3,0%,66.67
Hungary,0,3,0%,74.33
Peru,0,2,0%,2.5
Kyrgyzstan,0,2,0%,4
El Salvador,0,2,0%,6
Finland,0,2,0%,7
Ireland,0,2,0%,10
Nigeria,0,2,0%,11.5
Palestine,0,2,0%,13
Lebanon,0,2,0%,20
Serbia,0,2,0%,21
Nepal,0,2,0%,25
Oman,0,2,0%,32
Bosnia & Herzegovina,0,2,0%,37.5
Paraguay,0,2,0%,49
Romania,0,2,0%,52
Angola,0,2,0%,59.5
Croatia,0,2,0%,61
Switzerland,0,1,0%,1
Mauritania,0,1,0%,1
Rwanda,0,1,0%,1
Suriname,0,1,0%,1
Barbados,0,1,0%,2
Guatemala,0,1,0%,2
Zambia,0,1,0%,2
Guyana,0,1,0%,3
Moldova,0,1,0%,3
Nicaragua,0,1,0%,4
Bermuda,0,1,0%,6
Yemen,0,1,0%,6
Japan,0,1,0%,8
Sri Lanka,0,1,0%,17
Uganda,0,1,0%,18
Portugal,0,1,0%,21
Albania,0,1,0%,23
Belarus,0,1,0%,24
Fiji,0,1,0%,26
Austria,0,1,0%,28
Macedonia,0,1,0%,28
Uruguay,0,1,0%,30
Burkina Faso,0,1,0%,41
Curaçao,0,1,0%,48
Estonia,0,1,0%,64
Bahrain,0,1,0%,73
Togo,0,1,0%,73
Western Sahara,0,1,0%,86
Kuwait,0,1,0%,86
Madagascar,0,1,0%,89
Bolivia,0,1,0%,90
