Date,Clicks,Impressions,CTR,Position
2026-03-18,0,58,0%,17.8
2026-03-19,0,35,0%,16.4
2026-03-20,1,18,5.56%,7.2
2026-03-21,0,23,0%,14.6
2026-03-22,0,31,0%,7.1
2026-03-23,1,49,2.04%,16
2026-03-24,0,32,0%,10.8
2026-03-25,0,52,0%,22.4
2026-03-26,2,37,5.41%,13.2
2026-03-27,3,27,11.11%,10.3
2026-03-28,2,35,5.71%,20.7
2026-03-29,0,31,0%,14.8
2026-03-30,1,51,1.96%,20.9
2026-03-31,3,36,8.33%,18.5
2026-04-01,1,65,1.54%,21
2026-04-02,0,40,0%,23.5
2026-04-03,0,30,0%,13.4
2026-04-04,1,27,3.7%,17.7
2026-04-05,2,50,4%,14.2
2026-04-06,0,36,0%,20
2026-04-07,0,31,0%,17.9
2026-04-08,0,52,0%,19.4
2026-04-09,2,44,4.55%,22.9
2026-04-10,1,30,3.33%,12.3
2026-04-11,0,39,0%,15.7
2026-04-12,1,41,2.44%,13.1
2026-04-13,1,47,2.13%,23.9
2026-04-14,0,31,0%,24.2
2026-04-15,1,55,1.82%,21.2
2026-04-16,0,42,0%,23.6
2026-04-17,1,34,2.94%,20.4
2026-04-18,3,44,6.82%,13.7
2026-04-19,0,33,0%,16.4
2026-04-20,1,57,1.75%,13.9
2026-04-21,0,30,0%,18.9
2026-04-22,0,45,0%,23.3
2026-04-23,1,42,2.38%,24.5
2026-04-24,0,23,0%,18.1
2026-04-25,0,31,0%,17.6
2026-04-26,1,83,1.2%,23.6
2026-04-27,2,50,4%,17
2026-04-28,0,45,0%,21.7
2026-04-29,2,63,3.17%,23.3
2026-04-30,1,60,1.67%,19.7
2026-05-01,0,29,0%,16.3
2026-05-02,0,40,0%,18.8
2026-05-03,0,60,0%,12.8
2026-05-04,2,56,3.57%,24.3
2026-05-05,2,36,5.56%,17.1
2026-05-06,1,67,1.49%,20
2026-05-07,1,52,1.92%,26
2026-05-08,1,29,3.45%,17.3
2026-05-09,0,35,0%,13.8
2026-05-10,1,57,1.75%,18.3
2026-05-11,0,45,0%,25.2
2026-05-12,2,46,4.35%,19
2026-05-13,0,49,0%,17
2026-05-14,0,69,0%,28.1
2026-05-15,0,32,0%,11.7
2026-05-16,0,34,0%,23.1
2026-05-17,0,46,0%,12.2
2026-05-18,0,48,0%,18.8
2026-05-19,0,32,0%,23.1
2026-05-20,0,56,0%,17.4
2026-05-21,1,46,2.17%,28.8
2026-05-22,1,30,3.33%,12
2026-05-23,1,25,4%,12.3
2026-05-24,0,78,0%,11.8
2026-05-25,0,43,0%,14.4
2026-05-26,2,43,4.65%,17.3
2026-05-27,0,54,0%,19.1
2026-05-28,1,44,2.27%,12.5
2026-05-29,3,41,7.32%,6
2026-05-30,1,40,2.5%,18.1
2026-05-31,1,59,1.69%,10.6
2026-06-01,0,49,0%,19.4
2026-06-02,2,30,6.67%,7.7
2026-06-03,1,50,2%,25.8
2026-06-04,1,43,2.33%,18.8
2026-06-05,0,25,0%,9.4
2026-06-06,0,30,0%,10.3
2026-06-07,1,41,2.44%,6.3
2026-06-08,0,55,0%,12.2
2026-06-09,0,55,0%,21
2026-06-10,1,52,1.92%,17.1
2026-06-11,2,27,7.41%,14.1
2026-06-12,1,31,3.23%,7.2
2026-06-13,2,36,5.56%,13.8
2026-06-14,4,57,7.02%,13.6
2026-06-15,0,56,0%,20.4
2026-06-16,2,61,3.28%,20.8
2026-06-17,0,45,0%,9.9
