Country,Clicks,Impressions,CTR,Position
United States,68,3709,1.83%,17.53
Trinidad & Tobago,2,3,66.67%,2.33
Bahamas,1,12,8.33%,10.25
Canada,1,12,8.33%,10.25
France,1,7,14.29%,21.43
Brazil,0,17,0%,21.06
India,0,16,0%,26.62
United Kingdom,0,16,0%,27.44
Russia,0,14,0%,31
Philippines,0,13,0%,9.15
Pakistan,0,12,0%,24.67
Turkey,0,11,0%,22.73
Mexico,0,9,0%,14.22
Spain,0,9,0%,24.33
Morocco,0,8,0%,17.25
Saudi Arabia,0,8,0%,29.25
Vietnam,0,7,0%,11.71
Indonesia,0,6,0%,15
Bangladesh,0,5,0%,2.6
Germany,0,5,0%,11
Malaysia,0,4,0%,35.5
South Africa,0,3,0%,3
Kenya,0,3,0%,16.33
Colombia,0,3,0%,21.33
Jamaica,0,3,0%,21.67
Egypt,0,3,0%,36.67
Czechia,0,2,0%,2
South Korea,0,2,0%,3.5
Peru,0,2,0%,3.5
Ukraine,0,2,0%,3.5
Chile,0,2,0%,4
U.S. Virgin Islands,0,2,0%,5
United Arab Emirates,0,2,0%,17
Honduras,0,2,0%,27.5
Netherlands,0,2,0%,28.5
Bahrain,0,2,0%,31
Dominican Republic,0,2,0%,31.5
Syria,0,2,0%,31.5
Italy,0,2,0%,41
Jordan,0,2,0%,50.5
Albania,0,2,0%,52
Puerto Rico,0,1,0%,1
Argentina,0,1,0%,2
Armenia,0,1,0%,2
Austria,0,1,0%,2
Bulgaria,0,1,0%,2
Belarus,0,1,0%,2
Switzerland,0,1,0%,2
Costa Rica,0,1,0%,2
Denmark,0,1,0%,2
Ethiopia,0,1,0%,2
Kazakhstan,0,1,0%,2
Nicaragua,0,1,0%,2
Paraguay,0,1,0%,2
Tanzania,0,1,0%,2
Uzbekistan,0,1,0%,2
Turks & Caicos Islands,0,1,0%,3
Belize,0,1,0%,4
Gabon,0,1,0%,5
Cayman Islands,0,1,0%,6
Iraq,0,1,0%,33
Libya,0,1,0%,41
Poland,0,1,0%,41
Nepal,0,1,0%,43
Western Sahara,0,1,0%,48
Angola,0,1,0%,51
Uruguay,0,1,0%,54
Macedonia,0,1,0%,55
Congo - Brazzaville,0,1,0%,56
Venezuela,0,1,0%,56
Palestine,0,1,0%,57
Serbia,0,1,0%,84
