Date,Clicks,Impressions,CTR,Position
2026-03-18,5,200,2.5%,22.1
2026-03-19,1,217,0.46%,16.1
2026-03-20,1,125,0.8%,15.3
2026-03-21,0,141,0%,15.8
2026-03-22,2,156,1.28%,17.4
2026-03-23,6,180,3.33%,15
2026-03-24,4,175,2.29%,13.8
2026-03-25,2,172,1.16%,18.7
2026-03-26,3,133,2.26%,18.2
2026-03-27,3,143,2.1%,23.4
2026-03-28,6,131,4.58%,19
2026-03-29,1,148,0.68%,16.9
2026-03-30,3,169,1.78%,15.3
2026-03-31,7,161,4.35%,14.2
2026-04-01,4,181,2.21%,14.9
2026-04-02,1,120,0.83%,13.1
2026-04-03,0,129,0%,14.3
2026-04-04,1,125,0.8%,10.9
2026-04-05,5,148,3.38%,9
2026-04-06,3,161,1.86%,10.5
2026-04-07,1,141,0.71%,14.3
2026-04-08,1,164,0.61%,14
2026-04-09,8,169,4.73%,10.2
2026-04-10,4,137,2.92%,15
2026-04-11,0,172,0%,16.7
2026-04-12,2,171,1.17%,13.3
2026-04-13,1,171,0.58%,20.3
2026-04-14,1,166,0.6%,18.5
2026-04-15,6,145,4.14%,18.2
2026-04-16,1,153,0.65%,16.4
2026-04-17,4,122,3.28%,14.5
2026-04-18,6,156,3.85%,12.4
2026-04-19,2,141,1.42%,15.1
2026-04-20,2,136,1.47%,16.6
2026-04-21,1,107,0.93%,18.6
2026-04-22,4,128,3.12%,21.9
2026-04-23,2,113,1.77%,20.4
2026-04-24,3,95,3.16%,17.1
2026-04-25,2,93,2.15%,11.5
2026-04-26,2,187,1.07%,14
2026-04-27,3,121,2.48%,16.4
2026-04-28,2,115,1.74%,12.8
2026-04-29,5,126,3.97%,14.8
2026-04-30,3,120,2.5%,13.1
2026-05-01,3,107,2.8%,11.8
2026-05-02,6,119,5.04%,12.8
2026-05-03,2,161,1.24%,14.1
2026-05-04,5,134,3.73%,14.8
2026-05-05,5,135,3.7%,14.4
2026-05-06,1,134,0.75%,18.6
2026-05-07,2,131,1.53%,19.4
2026-05-08,5,118,4.24%,11.9
2026-05-09,1,100,1%,13.7
2026-05-10,2,159,1.26%,15.2
2026-05-11,1,133,0.75%,19.6
2026-05-12,5,149,3.36%,13
2026-05-13,2,136,1.47%,16
2026-05-14,0,133,0%,15
2026-05-15,2,127,1.57%,12.9
2026-05-16,1,125,0.8%,16.1
2026-05-17,2,153,1.31%,10.9
2026-05-18,2,156,1.28%,15.7
2026-05-19,0,117,0%,16.2
2026-05-20,2,155,1.29%,20.1
2026-05-21,6,142,4.23%,17.1
2026-05-22,6,177,3.39%,12.2
2026-05-23,6,204,2.94%,18.1
2026-05-24,2,246,0.81%,11.8
2026-05-25,4,269,1.49%,16.9
2026-05-26,5,230,2.17%,16.1
2026-05-27,3,226,1.33%,18.1
2026-05-28,5,215,2.33%,13.3
2026-05-29,3,180,1.67%,9.2
2026-05-30,7,169,4.14%,14
2026-05-31,7,238,2.94%,10.8
2026-06-01,5,191,2.62%,14.9
2026-06-02,3,183,1.64%,12.7
2026-06-03,2,217,0.92%,13.3
2026-06-04,7,284,2.46%,11
2026-06-05,2,336,0.6%,11.4
2026-06-06,0,183,0%,12.1
2026-06-07,3,232,1.29%,10.7
2026-06-08,5,259,1.93%,13.2
2026-06-09,4,278,1.44%,11.8
2026-06-10,4,208,1.92%,15.5
2026-06-11,7,205,3.41%,11.5
2026-06-12,7,164,4.27%,8.6
2026-06-13,2,174,1.15%,11.7
2026-06-14,8,231,3.46%,13.2
2026-06-15,3,222,1.35%,10.1
2026-06-16,3,202,1.49%,13.9
2026-06-17,4,220,1.82%,12.5
