Country,Clicks,Impressions,CTR,Position
United States,151,10760,1.4%,17.81
Trinidad & Tobago,2,9,22.22%,3.89
United Kingdom,1,36,2.78%,21.75
Canada,1,30,3.33%,7.03
Bahamas,1,26,3.85%,4.73
France,1,9,11.11%,24.44
Brazil,0,32,0%,21.03
India,0,31,0%,26
Philippines,0,18,0%,9.33
Vietnam,0,16,0%,26.56
Indonesia,0,15,0%,21.8
Turkey,0,13,0%,20.46
Jamaica,0,12,0%,4.17
Puerto Rico,0,12,0%,8.83
Spain,0,11,0%,18.64
Bangladesh,0,11,0%,24.91
Russia,0,10,0%,3.6
Morocco,0,10,0%,23.2
U.S. Virgin Islands,0,9,0%,5.44
Pakistan,0,9,0%,13.11
Germany,0,9,0%,15.56
Colombia,0,9,0%,29.56
Mexico,0,8,0%,13.38
Argentina,0,8,0%,39.62
Saudi Arabia,0,7,0%,9
Italy,0,7,0%,17.57
Guyana,0,5,0%,3.6
Chile,0,5,0%,15.6
Iraq,0,5,0%,55.4
South Africa,0,4,0%,8.5
Ukraine,0,4,0%,14.25
Malaysia,0,4,0%,22.5
Venezuela,0,4,0%,25.75
Cayman Islands,0,3,0%,5
Belize,0,3,0%,6.67
United Arab Emirates,0,3,0%,7
Dominican Republic,0,3,0%,9.67
Egypt,0,3,0%,13
Guatemala,0,3,0%,15
Costa Rica,0,3,0%,20
Kenya,0,3,0%,27.33
Algeria,0,3,0%,64
Czechia,0,2,0%,2
Nicaragua,0,2,0%,3
Netherlands,0,2,0%,3
South Korea,0,2,0%,3.5
Peru,0,2,0%,3.5
Switzerland,0,2,0%,4.5
Poland,0,2,0%,5.5
Ecuador,0,2,0%,16
Romania,0,2,0%,23.5
Thailand,0,2,0%,33
Tunisia,0,2,0%,43
Grenada,0,2,0%,44
Uruguay,0,2,0%,46
Jordan,0,2,0%,46.5
Armenia,0,1,0%,2
Austria,0,1,0%,2
Bulgaria,0,1,0%,2
Bahrain,0,1,0%,2
Belarus,0,1,0%,2
Denmark,0,1,0%,2
Ethiopia,0,1,0%,2
Honduras,0,1,0%,2
Kazakhstan,0,1,0%,2
Paraguay,0,1,0%,2
Tanzania,0,1,0%,2
Uzbekistan,0,1,0%,2
Turks & Caicos Islands,0,1,0%,3
Burkina Faso,0,1,0%,4
Hungary,0,1,0%,4
Israel,0,1,0%,4
Japan,0,1,0%,4
Gabon,0,1,0%,5
Syria,0,1,0%,5
Congo - Kinshasa,0,1,0%,6
Panama,0,1,0%,9
Antigua & Barbuda,0,1,0%,11
Cuba,0,1,0%,13
Australia,0,1,0%,43
Kyrgyzstan,0,1,0%,43
Nigeria,0,1,0%,51
Nepal,0,1,0%,63
Cyprus,0,1,0%,74
Sweden,0,1,0%,74
Lebanon,0,1,0%,76
Zambia,0,1,0%,78
Azerbaijan,0,1,0%,79
Georgia,0,1,0%,88
