Date,Clicks,Impressions,CTR,Position
2026-02-24,0,24,0%,26
2026-02-25,0,17,0%,31.6
2026-02-26,0,21,0%,26.9
2026-02-27,0,16,0%,24.1
2026-02-28,0,12,0%,29.2
2026-03-01,0,12,0%,33.8
2026-03-02,0,18,0%,37.7
2026-03-03,0,18,0%,26.8
2026-03-04,0,22,0%,28
2026-03-05,0,14,0%,33
2026-03-06,0,14,0%,27.7
2026-03-07,0,12,0%,29.1
2026-03-08,0,14,0%,30.4
2026-03-09,0,26,0%,28.2
2026-03-10,0,16,0%,25.5
2026-03-11,0,19,0%,22
2026-03-12,0,19,0%,22.5
2026-03-13,0,22,0%,28.8
2026-03-14,0,10,0%,30.7
2026-03-15,0,22,0%,28.6
2026-03-16,0,16,0%,32.2
2026-03-17,0,13,0%,30.5
2026-03-18,0,16,0%,28.1
2026-03-19,0,9,0%,30.4
2026-03-20,0,10,0%,27.2
2026-03-21,0,12,0%,26.5
2026-03-22,1,9,11.11%,24.2
2026-03-23,0,15,0%,25.1
2026-03-24,0,13,0%,23.3
2026-03-25,0,15,0%,30.5
2026-03-26,0,19,0%,27.7
2026-03-27,0,18,0%,28.6
2026-03-28,0,8,0%,24.4
2026-03-29,0,22,0%,39.5
2026-03-30,0,20,0%,31.5
2026-03-31,0,10,0%,25.1
2026-04-01,0,10,0%,29.3
2026-04-02,0,13,0%,27.6
2026-04-03,0,8,0%,28
2026-04-04,0,7,0%,27.6
2026-04-05,0,17,0%,28.8
2026-04-06,0,13,0%,29.2
2026-04-07,0,16,0%,26.9
2026-04-08,0,21,0%,33.6
2026-04-09,0,13,0%,31.5
2026-04-10,0,10,0%,30.7
2026-04-11,0,14,0%,28.4
2026-04-12,0,8,0%,30.9
2026-04-13,0,16,0%,30.9
2026-04-14,0,9,0%,30.6
2026-04-15,0,9,0%,30.8
2026-04-16,0,13,0%,29.5
2026-04-17,0,9,0%,27.2
2026-04-18,0,14,0%,27.4
2026-04-19,0,10,0%,26.7
2026-04-20,0,17,0%,28.8
2026-04-21,0,9,0%,28.2
2026-04-22,0,11,0%,30.3
2026-04-23,0,20,0%,30.1
2026-04-24,0,11,0%,30.2
2026-04-25,0,16,0%,28.1
2026-04-26,0,14,0%,30.6
2026-04-27,0,20,0%,39
2026-04-28,0,8,0%,30.4
2026-04-29,0,17,0%,29.6
2026-04-30,0,11,0%,30.9
2026-05-01,0,5,0%,33
2026-05-02,0,12,0%,31.5
2026-05-03,0,15,0%,36.5
2026-05-04,0,15,0%,34.7
2026-05-05,0,10,0%,30.9
2026-05-06,0,16,0%,31.2
2026-05-07,0,16,0%,32.4
2026-05-08,0,13,0%,32.2
2026-05-09,0,7,0%,31.7
2026-05-10,0,10,0%,34.5
2026-05-11,0,17,0%,32.1
2026-05-12,0,8,0%,36.9
2026-05-13,0,13,0%,35.8
2026-05-14,0,16,0%,34.5
2026-05-15,0,7,0%,31.9
2026-05-16,0,8,0%,33.1
2026-05-17,0,11,0%,30.7
2026-05-18,0,14,0%,33.6
2026-05-19,0,8,0%,38.9
2026-05-20,0,16,0%,38.2
2026-05-21,0,15,0%,37.7
2026-05-22,0,9,0%,37.3
2026-05-23,0,9,0%,37.6
