Country,Clicks,Impressions,CTR,Position
United States,1,1142,0.09%,30.51
United Kingdom,0,8,0%,24.25
France,0,7,0%,20.29
India,0,6,0%,26
Brazil,0,4,0%,25.75
Spain,0,3,0%,22.33
Canada,0,3,0%,23
Russia,0,3,0%,23.33
Netherlands,0,3,0%,27.33
Colombia,0,3,0%,28.67
Germany,0,3,0%,29
Indonesia,0,3,0%,35.33
Côte d’Ivoire,0,2,0%,21.5
Saudi Arabia,0,2,0%,23.5
Jordan,0,2,0%,25
Pakistan,0,2,0%,25
Turkey,0,2,0%,25.5
Paraguay,0,2,0%,27
Malaysia,0,2,0%,27.5
Argentina,0,2,0%,29
Vietnam,0,2,0%,29
Bangladesh,0,2,0%,30.5
Nigeria,0,2,0%,33.5
Panama,0,2,0%,61.5
Mexico,0,1,0%,22
Palestine,0,1,0%,22
Egypt,0,1,0%,23
Italy,0,1,0%,23
Morocco,0,1,0%,23
Iceland,0,1,0%,26
Jamaica,0,1,0%,28
Philippines,0,1,0%,28
Sweden,0,1,0%,28
Azerbaijan,0,1,0%,32
Lebanon,0,1,0%,32
Portugal,0,1,0%,32
Venezuela,0,1,0%,32
South Africa,0,1,0%,36
United Arab Emirates,0,1,0%,46
