Date,Clicks,Impressions,CTR,Position
2026-02-24,0,63,0%,33.4
2026-02-25,0,110,0%,38.3
2026-02-26,0,54,0%,31.1
2026-02-27,0,52,0%,35.2
2026-02-28,0,63,0%,35
2026-03-01,0,58,0%,50.9
2026-03-02,0,64,0%,45.2
2026-03-03,0,52,0%,38.8
2026-03-04,0,70,0%,33.1
2026-03-05,0,56,0%,33.1
2026-03-06,1,51,1.96%,37.2
2026-03-07,0,41,0%,36.6
2026-03-08,1,44,2.27%,35
2026-03-09,1,75,1.33%,39.2
2026-03-10,0,60,0%,37.1
2026-03-11,0,73,0%,40.8
2026-03-12,0,95,0%,38.8
2026-03-13,0,83,0%,44.6
2026-03-14,1,68,1.47%,46
2026-03-15,0,46,0%,31.9
2026-03-16,0,48,0%,30.8
2026-03-17,0,38,0%,31.9
2026-03-18,0,47,0%,25.1
2026-03-19,1,37,2.7%,22.4
2026-03-20,0,53,0%,30.1
2026-03-21,0,58,0%,41.2
2026-03-22,1,62,1.61%,49.7
2026-03-23,0,88,0%,44.6
2026-03-24,2,89,2.25%,46.3
2026-03-25,0,86,0%,45.8
2026-03-26,0,101,0%,49.2
2026-03-27,0,102,0%,49
2026-03-28,0,90,0%,45
2026-03-29,0,88,0%,52.6
2026-03-30,0,125,0%,47.8
2026-03-31,1,87,1.15%,53.9
2026-04-01,1,88,1.14%,55.4
2026-04-02,0,97,0%,45.4
2026-04-03,0,51,0%,52.6
2026-04-04,0,76,0%,53
2026-04-05,0,82,0%,54.2
2026-04-06,0,97,0%,50.1
2026-04-07,1,82,1.22%,48.5
2026-04-08,0,96,0%,53.1
2026-04-09,0,74,0%,52.9
2026-04-10,0,66,0%,61.2
2026-04-11,2,96,2.08%,49.7
2026-04-12,0,63,0%,54.5
2026-04-13,1,110,0.91%,48.3
2026-04-14,0,73,0%,55.1
2026-04-15,1,94,1.06%,54.9
2026-04-16,1,71,1.41%,50.3
2026-04-17,0,69,0%,49
2026-04-18,0,73,0%,51.9
2026-04-19,0,67,0%,45.9
2026-04-20,0,97,0%,41.9
2026-04-21,0,60,0%,51
2026-04-22,0,65,0%,49.4
2026-04-23,0,86,0%,48.5
2026-04-24,0,72,0%,47.2
2026-04-25,0,69,0%,40.5
2026-04-26,0,70,0%,47.6
2026-04-27,1,109,0.92%,47
2026-04-28,0,60,0%,42.8
2026-04-29,0,84,0%,45.2
2026-04-30,0,62,0%,42.4
2026-05-01,0,44,0%,48.8
2026-05-02,0,57,0%,54.6
2026-05-03,0,57,0%,49.4
2026-05-04,0,95,0%,43.9
2026-05-05,0,51,0%,50
2026-05-06,0,70,0%,49.9
2026-05-07,0,71,0%,48
2026-05-08,0,61,0%,45.7
2026-05-09,0,52,0%,52.3
2026-05-10,0,67,0%,57.4
2026-05-11,0,97,0%,51.6
2026-05-12,0,83,0%,58.5
2026-05-13,0,81,0%,47
2026-05-14,0,81,0%,47.8
2026-05-15,1,55,1.82%,51.6
2026-05-16,0,76,0%,53.5
2026-05-17,0,67,0%,55.8
2026-05-18,0,127,0%,49.5
2026-05-19,0,87,0%,58
2026-05-20,0,99,0%,54.9
2026-05-21,0,101,0%,51.6
2026-05-22,0,66,0%,49.6
2026-05-23,0,73,0%,46.3
