Country,Clicks,Impressions,CTR,Position
United States,3,5468,0.05%,52.06
India,0,21,0%,35.71
United Kingdom,0,16,0%,36.44
Brazil,0,16,0%,40.25
France,0,11,0%,26.55
Vietnam,0,11,0%,35.27
Turkey,0,10,0%,29.4
Argentina,0,9,0%,30.56
Canada,0,9,0%,31.56
Russia,0,9,0%,46.56
Saudi Arabia,0,9,0%,47.67
Mexico,0,8,0%,23.38
Indonesia,0,8,0%,30.88
Spain,0,7,0%,31.14
Pakistan,0,7,0%,31.29
Germany,0,6,0%,32.17
Bangladesh,0,6,0%,33.33
Australia,0,5,0%,42.8
United Arab Emirates,0,5,0%,57.8
Malaysia,0,4,0%,24.25
Egypt,0,4,0%,26.75
Colombia,0,4,0%,28.25
Netherlands,0,4,0%,29.75
Italy,0,3,0%,26
Venezuela,0,3,0%,30
Philippines,0,3,0%,34
Morocco,0,3,0%,39.33
Paraguay,0,3,0%,48.67
Chile,0,3,0%,66
Belgium,0,2,0%,10.5
Côte d’Ivoire,0,2,0%,21.5
Jordan,0,2,0%,25
Sweden,0,2,0%,25.5
Azerbaijan,0,2,0%,33.5
Nigeria,0,2,0%,33.5
South Africa,0,2,0%,33.5
Bolivia,0,2,0%,50
Portugal,0,2,0%,60.5
Panama,0,2,0%,61.5
Ukraine,0,1,0%,3
New Zealand,0,1,0%,5
French Polynesia,0,1,0%,5
Singapore,0,1,0%,16
Ecuador,0,1,0%,21
Palestine,0,1,0%,22
Greece,0,1,0%,24
South Korea,0,1,0%,25
Iceland,0,1,0%,26
Peru,0,1,0%,27
Jamaica,0,1,0%,28
Laos,0,1,0%,31
Kenya,0,1,0%,32
Lebanon,0,1,0%,32
Iraq,0,1,0%,34
Somalia,0,1,0%,34
Costa Rica,0,1,0%,37
Dominican Republic,0,1,0%,38
Tunisia,0,1,0%,39
Bulgaria,0,1,0%,44
Israel,0,1,0%,65
Bahrain,0,1,0%,90
