Date,Clicks,Impressions,CTR,Position
2026-04-06,0,3,0%,19.7
2026-04-07,0,1,0%,1
2026-04-08,0,5,0%,15.6
2026-04-09,0,1,0%,1
2026-04-10,0,1,0%,1
2026-04-11,0,1,0%,1
2026-04-12,0,1,0%,1
2026-04-13,0,1,0%,4
2026-04-14,0,2,0%,2
2026-04-15,0,1,0%,3
2026-04-16,0,1,0%,3
2026-04-17,0,1,0%,1
2026-04-18,0,1,0%,1
2026-04-19,0,1,0%,4
2026-04-20,0,2,0%,18.5
2026-04-21,0,1,0%,1
2026-04-22,0,4,0%,20
2026-04-23,0,1,0%,1
2026-04-24,0,1,0%,3
2026-04-25,0,2,0%,2.5
2026-04-26,0,2,0%,2.5
2026-04-27,1,3,33.33%,3.7
2026-04-28,0,3,0%,12.7
2026-04-29,0,4,0%,9.5
2026-04-30,0,3,0%,13
2026-05-01,0,6,0%,15
2026-05-02,1,4,25%,9
2026-05-03,0,2,0%,2.5
2026-05-04,0,5,0%,24.8
2026-05-05,0,3,0%,11
2026-05-06,0,7,0%,15.3
2026-05-07,0,2,0%,3
2026-05-08,0,2,0%,3.5
2026-05-09,0,4,0%,11.8
2026-05-10,0,3,0%,13
2026-05-11,0,4,0%,11
2026-05-12,0,2,0%,2.5
2026-05-13,0,2,0%,17
2026-05-14,0,2,0%,2.5
2026-05-15,0,4,0%,10.2
2026-05-16,0,4,0%,3
2026-05-17,0,4,0%,3.5
2026-05-18,0,10,0%,46.5
2026-05-19,0,1,0%,4
2026-05-20,0,11,0%,39.7
2026-05-21,0,4,0%,9.8
2026-05-22,0,3,0%,1.3
2026-05-23,0,6,0%,13.5
2026-05-24,1,7,14.29%,5
2026-05-25,0,4,0%,8
2026-05-26,0,5,0%,16
2026-05-27,0,5,0%,15.8
2026-05-28,0,5,0%,6.2
2026-05-29,0,5,0%,14.6
2026-05-30,0,4,0%,18.5
2026-05-31,0,4,0%,7.2
2026-06-01,0,7,0%,27.4
2026-06-02,0,1,0%,2
2026-06-03,0,11,0%,20.2
2026-06-04,0,4,0%,6.8
2026-06-05,0,4,0%,7.2
2026-06-06,0,5,0%,11.8
2026-06-07,0,4,0%,7.2
2026-06-08,0,4,0%,7.5
2026-06-09,0,4,0%,7
2026-06-10,0,4,0%,6.2
2026-06-11,0,4,0%,7.8
2026-06-12,0,5,0%,11.8
2026-06-13,0,4,0%,7
2026-06-14,0,1,0%,2
2026-06-15,0,11,0%,17.7
2026-06-16,0,4,0%,8.8
2026-06-17,0,9,0%,19.2
2026-06-18,0,4,0%,7.2
2026-06-19,0,5,0%,9.6
2026-06-20,0,3,0%,9.3
2026-06-21,0,7,0%,10
2026-06-22,0,6,0%,8.7
2026-06-23,0,4,0%,8.2
2026-06-24,1,7,14.29%,6.7
2026-06-25,0,4,0%,5.8
2026-06-26,0,4,0%,7.5
2026-06-27,0,4,0%,5.8
2026-06-28,0,5,0%,5.2
2026-06-29,0,10,0%,22.9
2026-06-30,0,6,0%,4.8
2026-07-01,0,10,0%,28.1
2026-07-02,0,4,0%,1
2026-07-03,0,6,0%,10
2026-07-04,0,5,0%,5.4
2026-07-05,0,5,0%,9
