Date,Clicks,Impressions,CTR,Position
2026-04-06,0,52,0%,8.1
2026-04-07,1,49,2.04%,6.1
2026-04-08,1,103,0.97%,9
2026-04-09,2,73,2.74%,7.9
2026-04-10,2,63,3.17%,11.7
2026-04-11,2,68,2.94%,10.3
2026-04-12,0,122,0%,10.1
2026-04-13,1,82,1.22%,14.8
2026-04-14,0,41,0%,21.4
2026-04-15,0,225,0%,7.1
2026-04-16,1,64,1.56%,10.8
2026-04-17,0,53,0%,9.8
2026-04-18,0,47,0%,13.7
2026-04-19,1,56,1.79%,10.8
2026-04-20,1,103,0.97%,8.6
2026-04-21,3,28,10.71%,9
2026-04-22,0,47,0%,10.5
2026-04-23,1,32,3.12%,14.8
2026-04-24,0,36,0%,10.2
2026-04-25,2,38,5.26%,12.7
2026-04-26,4,105,3.81%,8.5
2026-04-27,2,44,4.55%,16.7
2026-04-28,3,75,4%,9.6
2026-04-29,0,40,0%,12.5
2026-04-30,0,43,0%,13.6
2026-05-01,1,33,3.03%,13.8
2026-05-02,1,60,1.67%,19.6
2026-05-03,0,119,0%,9
2026-05-04,1,54,1.85%,14.8
2026-05-05,2,38,5.26%,14.7
2026-05-06,1,54,1.85%,12.9
2026-05-07,1,59,1.69%,15.9
2026-05-08,1,40,2.5%,14.6
2026-05-09,1,50,2%,19.7
2026-05-10,0,119,0%,15.8
2026-05-11,2,61,3.28%,16.7
2026-05-12,0,63,0%,24.5
2026-05-13,2,58,3.45%,28
2026-05-14,0,47,0%,24.4
2026-05-15,1,38,2.63%,15.3
2026-05-16,1,34,2.94%,10.5
2026-05-17,1,91,1.1%,11.9
2026-05-18,1,48,2.08%,8.2
2026-05-19,2,48,4.17%,12.5
2026-05-20,0,58,0%,9.1
2026-05-21,1,51,1.96%,15.9
2026-05-22,0,78,0%,10.4
2026-05-23,3,89,3.37%,11.3
2026-05-24,2,149,1.34%,10.1
2026-05-25,1,103,0.97%,9.1
2026-05-26,2,80,2.5%,7.4
2026-05-27,4,71,5.63%,13.1
2026-05-28,4,103,3.88%,8.7
2026-05-29,0,132,0%,6.9
2026-05-30,1,53,1.89%,14.5
2026-05-31,3,152,1.97%,8.2
2026-06-01,1,82,1.22%,8.1
2026-06-02,3,131,2.29%,9.5
2026-06-03,3,86,3.49%,7
2026-06-04,2,92,2.17%,8.5
2026-06-05,1,106,0.94%,8.3
2026-06-06,1,79,1.27%,9.1
2026-06-07,3,87,3.45%,9.6
2026-06-08,2,95,2.11%,6.8
2026-06-09,3,97,3.09%,10.2
2026-06-10,2,60,3.33%,9.5
2026-06-11,2,74,2.7%,11.4
2026-06-12,3,134,2.24%,7.5
2026-06-13,1,79,1.27%,9.3
2026-06-14,1,181,0.55%,6.3
2026-06-15,1,84,1.19%,7.4
2026-06-16,3,85,3.53%,11.2
2026-06-17,1,82,1.22%,9.3
2026-06-18,2,72,2.78%,9.5
2026-06-19,0,65,0%,9.3
2026-06-20,2,59,3.39%,7
2026-06-21,4,130,3.08%,7.5
2026-06-22,3,61,4.92%,6.9
2026-06-23,4,58,6.9%,9.6
2026-06-24,3,63,4.76%,8.6
2026-06-25,1,56,1.79%,7.6
2026-06-26,1,53,1.89%,10.9
2026-06-27,2,88,2.27%,10.6
2026-06-28,1,125,0.8%,7.7
2026-06-29,4,88,4.55%,6.1
2026-06-30,1,73,1.37%,9.2
2026-07-01,0,77,0%,9.1
2026-07-02,0,60,0%,10.4
2026-07-03,1,85,1.18%,9.4
2026-07-04,0,71,0%,7.4
2026-07-05,0,196,0%,6.8
