Country,Clicks,Impressions,CTR,Position
United States,43,3556,1.21%,10.84
Mexico,1,13,7.69%,20
Canada,1,8,12.5%,21.12
Brazil,0,31,0%,13.58
India,0,26,0%,22.19
Russia,0,16,0%,7.69
Vietnam,0,14,0%,19.36
Indonesia,0,13,0%,18.38
Malaysia,0,12,0%,8.08
Germany,0,10,0%,23.6
Turkey,0,10,0%,34.4
Saudi Arabia,0,9,0%,19.56
Argentina,0,8,0%,21.62
Philippines,0,8,0%,24.5
Morocco,0,8,0%,26.62
Bangladesh,0,8,0%,26.75
France,0,7,0%,13.29
Ireland,0,6,0%,9.67
Spain,0,6,0%,22.67
Italy,0,5,0%,8.8
United Kingdom,0,5,0%,13.4
Iran,0,4,0%,11.25
Thailand,0,4,0%,14.5
South Africa,0,4,0%,24
Peru,0,4,0%,27
Chile,0,3,0%,7.33
Dominican Republic,0,3,0%,11
Australia,0,3,0%,12.67
Ukraine,0,3,0%,15.33
South Korea,0,3,0%,16.33
Tunisia,0,3,0%,17.33
United Arab Emirates,0,3,0%,17.67
Pakistan,0,3,0%,19
Egypt,0,3,0%,22
Iraq,0,3,0%,36
Switzerland,0,2,0%,1.5
Puerto Rico,0,2,0%,5
Poland,0,2,0%,7
Ecuador,0,2,0%,12
Colombia,0,2,0%,12.5
Paraguay,0,2,0%,17.5
Israel,0,2,0%,21
Nepal,0,2,0%,40.5
Norway,0,2,0%,41.5
Uzbekistan,0,2,0%,43.5
Kenya,0,2,0%,52
Bahrain,0,2,0%,67.5
Finland,0,1,0%,1
Guyana,0,1,0%,1
Myanmar (Burma),0,1,0%,1
Netherlands,0,1,0%,2
New Zealand,0,1,0%,2
Venezuela,0,1,0%,2
Gabon,0,1,0%,3
Nicaragua,0,1,0%,10
Belgium,0,1,0%,12
Uganda,0,1,0%,12
Kyrgyzstan,0,1,0%,14
Honduras,0,1,0%,18
Bolivia,0,1,0%,19
Hungary,0,1,0%,20
Bulgaria,0,1,0%,21
Slovenia,0,1,0%,22
Jordan,0,1,0%,34
Nigeria,0,1,0%,42
Czechia,0,1,0%,43
French Polynesia,0,1,0%,44
Sweden,0,1,0%,58
Taiwan,0,1,0%,65
