Date,Clicks,Impressions,CTR,Position
2026-03-29,0,41,0%,10.1
2026-03-30,0,31,0%,9
2026-03-31,0,39,0%,9.4
2026-04-01,0,40,0%,10
2026-04-02,0,36,0%,7.1
2026-04-03,0,55,0%,5.6
2026-04-04,0,46,0%,5.2
2026-04-05,2,65,3.08%,8.2
2026-04-06,2,48,4.17%,7.9
2026-04-07,0,51,0%,7.3
2026-04-08,0,31,0%,8.1
2026-04-09,0,35,0%,7
2026-04-10,0,24,0%,4.5
2026-04-11,0,44,0%,8
2026-04-12,0,41,0%,8.2
2026-04-13,0,48,0%,6.3
2026-04-14,0,53,0%,6.5
2026-04-15,0,73,0%,6.4
2026-04-16,2,41,4.88%,7.2
2026-04-17,0,42,0%,5.4
2026-04-18,1,34,2.94%,7.6
2026-04-19,1,49,2.04%,9.4
2026-04-20,2,34,5.88%,9.4
2026-04-21,1,26,3.85%,15
2026-04-22,0,35,0%,12.5
2026-04-23,4,37,10.81%,11.9
2026-04-24,2,31,6.45%,7.2
2026-04-25,2,35,5.71%,9.6
2026-04-26,0,25,0%,14.1
2026-04-27,0,33,0%,9.5
2026-04-28,0,43,0%,9.2
2026-04-29,0,59,0%,8.2
2026-04-30,0,59,0%,7.8
2026-05-01,2,39,5.13%,6.4
2026-05-02,1,49,2.04%,10.6
2026-05-03,0,40,0%,12.1
2026-05-04,1,54,1.85%,13.4
2026-05-05,0,47,0%,13.2
2026-05-06,0,36,0%,9.9
2026-05-07,0,30,0%,10.5
2026-05-08,0,35,0%,12.5
2026-05-09,1,35,2.86%,8.9
2026-05-10,2,46,4.35%,10
2026-05-11,2,47,4.26%,10.2
2026-05-12,0,56,0%,8.3
2026-05-13,0,35,0%,7.1
2026-05-14,0,41,0%,8.4
2026-05-15,0,36,0%,8.4
2026-05-16,0,49,0%,12
2026-05-17,1,46,2.17%,11.5
2026-05-18,0,65,0%,13.7
2026-05-19,0,51,0%,16.2
2026-05-20,0,42,0%,16.4
2026-05-21,1,48,2.08%,17.9
2026-05-22,1,48,2.08%,21.8
2026-05-23,0,93,0%,13.4
2026-05-24,3,132,2.27%,12.7
2026-05-25,1,125,0.8%,12.1
2026-05-26,2,118,1.69%,17.3
2026-05-27,0,94,0%,12.5
2026-05-28,1,78,1.28%,6.6
2026-05-29,0,83,0%,7.3
2026-05-30,0,97,0%,8.6
2026-05-31,0,66,0%,6.6
2026-06-01,1,85,1.18%,8.6
2026-06-02,2,83,2.41%,6.9
2026-06-03,1,98,1.02%,6.3
2026-06-04,1,73,1.37%,8
2026-06-05,1,88,1.14%,7.1
2026-06-06,1,79,1.27%,5.9
2026-06-07,1,97,1.03%,9
2026-06-08,0,90,0%,6.9
2026-06-09,2,92,2.17%,7.6
2026-06-10,1,195,0.51%,5.4
2026-06-11,7,477,1.47%,6
2026-06-12,2,191,1.05%,7.5
2026-06-13,2,178,1.12%,7.8
2026-06-14,1,249,0.4%,7.7
2026-06-15,1,203,0.49%,7
2026-06-16,2,150,1.33%,6.2
2026-06-17,2,136,1.47%,6.3
2026-06-18,1,110,0.91%,6.8
2026-06-19,1,109,0.92%,5.9
2026-06-20,1,98,1.02%,6.5
2026-06-21,2,134,1.49%,6.2
2026-06-22,1,184,0.54%,5.7
2026-06-23,0,171,0%,5.6
2026-06-24,2,136,1.47%,6.8
2026-06-25,3,147,2.04%,6.4
2026-06-26,1,124,0.81%,7.7
2026-06-27,1,112,0.89%,7.7
2026-06-28,1,111,0.9%,8
