Country,Clicks,Impressions,CTR,Position
United States,29,3088,0.94%,9.75
Bahamas,1,8,12.5%,6.25
France,1,4,25%,5.75
Barbados,1,2,50%,1
Zimbabwe,1,2,50%,3
Puerto Rico,0,13,0%,6.85
Mexico,0,7,0%,8.71
Saudi Arabia,0,6,0%,4.33
United Kingdom,0,6,0%,6.17
Philippines,0,5,0%,1
Algeria,0,5,0%,3.2
Vietnam,0,5,0%,4.4
Egypt,0,5,0%,4.8
Nigeria,0,5,0%,5.6
Turkey,0,5,0%,15.8
Canada,0,5,0%,21.6
Jamaica,0,4,0%,1.75
Italy,0,4,0%,3.75
Morocco,0,4,0%,6.25
India,0,4,0%,17.5
Norway,0,3,0%,2
Brazil,0,3,0%,4
Ghana,0,3,0%,4.67
Romania,0,3,0%,5.33
Colombia,0,3,0%,5.67
Spain,0,3,0%,29.67
Indonesia,0,3,0%,31.33
Kenya,0,3,0%,32.33
Netherlands,0,2,0%,1
Swaziland,0,2,0%,1
Thailand,0,2,0%,1
Dominican Republic,0,2,0%,1.5
Bangladesh,0,2,0%,3.5
Jordan,0,2,0%,4.5
Honduras,0,2,0%,6
China,0,2,0%,6.5
Hong Kong,0,2,0%,7
Portugal,0,2,0%,7.5
Japan,0,2,0%,8
Greece,0,2,0%,12.5
Belize,0,2,0%,13
Australia,0,2,0%,80
Argentina,0,1,0%,1
Austria,0,1,0%,1
Czechia,0,1,0%,1
Ethiopia,0,1,0%,1
Fiji,0,1,0%,1
Croatia,0,1,0%,1
Iraq,0,1,0%,1
Israel,0,1,0%,1
Maldives,0,1,0%,1
Nepal,0,1,0%,1
Oman,0,1,0%,1
Pakistan,0,1,0%,1
Papua New Guinea,0,1,0%,1
Qatar,0,1,0%,1
Taiwan,0,1,0%,1
Tanzania,0,1,0%,1
Antigua & Barbuda,0,1,0%,4
Tunisia,0,1,0%,4
Venezuela,0,1,0%,4
Guam,0,1,0%,7
Libya,0,1,0%,7
Latvia,0,1,0%,7
Switzerland,0,1,0%,9
St. Vincent & Grenadines,0,1,0%,9
Ecuador,0,1,0%,10
Iran,0,1,0%,10
Sri Lanka,0,1,0%,11
Kazakhstan,0,1,0%,25
United Arab Emirates,0,1,0%,50
South Africa,0,1,0%,56
