Date,Clicks,Impressions,CTR,Position
2026-04-29,0,21,0%,20.3
2026-04-30,1,18,5.56%,9.2
2026-05-01,0,14,0%,21
2026-05-02,0,19,0%,7.8
2026-05-03,0,11,0%,13.2
2026-05-04,0,13,0%,17.2
2026-05-05,0,12,0%,8.3
2026-05-06,0,10,0%,15.2
2026-05-07,0,11,0%,16.1
2026-05-08,0,18,0%,15.4
2026-05-09,0,13,0%,12.9
2026-05-10,0,7,0%,19.9
2026-05-11,0,15,0%,22.3
2026-05-12,2,16,12.5%,3.9
2026-05-13,0,14,0%,6.1
2026-05-14,0,11,0%,12.8
2026-05-15,0,14,0%,19.6
2026-05-16,0,9,0%,32.7
2026-05-17,0,11,0%,37.5
2026-05-18,0,22,0%,25.4
2026-05-19,0,13,0%,28.5
2026-05-20,0,14,0%,15.4
2026-05-21,0,9,0%,20.8
2026-05-22,0,13,0%,9.3
2026-05-23,1,12,8.33%,9.6
2026-05-24,0,10,0%,13
2026-05-25,0,15,0%,18.9
2026-05-26,0,14,0%,12.6
2026-05-27,0,14,0%,17.1
2026-05-28,0,16,0%,17.7
2026-05-29,0,12,0%,4.8
2026-05-30,0,15,0%,14.9
2026-05-31,1,9,11.11%,14.4
2026-06-01,0,11,0%,26.8
2026-06-02,1,11,9.09%,32.5
2026-06-03,1,19,5.26%,18.9
2026-06-04,0,14,0%,26.6
2026-06-05,2,19,10.53%,26.3
2026-06-06,0,10,0%,34.1
2026-06-07,0,13,0%,15.7
2026-06-08,0,17,0%,15.8
2026-06-09,0,26,0%,16.2
2026-06-10,0,10,0%,10.9
2026-06-11,0,5,0%,8.2
2026-06-12,0,16,0%,16.4
2026-06-13,0,6,0%,16.2
2026-06-14,0,6,0%,20
2026-06-15,0,22,0%,18.1
2026-06-16,0,14,0%,13.1
2026-06-17,0,11,0%,13.1
2026-06-18,1,13,7.69%,16.2
2026-06-19,0,11,0%,15.2
2026-06-20,1,4,25%,2.5
2026-06-21,0,9,0%,29.4
2026-06-22,0,17,0%,31.1
2026-06-23,0,14,0%,25.5
2026-06-24,0,8,0%,14.1
2026-06-25,0,13,0%,36.8
2026-06-26,0,12,0%,22.3
2026-06-27,0,16,0%,26.7
2026-06-28,0,10,0%,36.2
2026-06-29,0,20,0%,34.1
2026-06-30,0,15,0%,24.7
2026-07-01,0,21,0%,12.8
2026-07-02,0,10,0%,30.2
2026-07-03,0,10,0%,29.6
2026-07-04,0,15,0%,21.3
2026-07-05,0,11,0%,31.8
2026-07-06,0,13,0%,38.3
2026-07-07,0,8,0%,23.9
2026-07-08,1,17,5.88%,14.4
2026-07-09,0,10,0%,12.9
2026-07-10,0,12,0%,10
2026-07-11,0,11,0%,8.2
2026-07-12,0,11,0%,9.6
2026-07-13,0,8,0%,7.4
2026-07-14,1,7,14.29%,7
2026-07-15,0,2,0%,16.5
2026-07-16,0,16,0%,8.8
2026-07-17,0,10,0%,10.9
2026-07-18,0,10,0%,12.9
2026-07-19,0,8,0%,5.2
2026-07-20,0,8,0%,10.5
2026-07-21,0,9,0%,7.7
2026-07-22,0,13,0%,4.1
2026-07-23,0,8,0%,9.5
2026-07-24,0,16,0%,11.2
2026-07-25,0,9,0%,11.4
2026-07-26,0,1,0%,32
2026-07-27,2,23,8.7%,12.9
2026-07-28,0,20,0%,16.4
