Country,Clicks,Impressions,CTR,Position
United States,0,275,0%,27.76
India,0,8,0%,80.25
Spain,0,6,0%,78
Brazil,0,6,0%,80.5
Germany,0,4,0%,63.75
Ecuador,0,4,0%,76.25
Turkey,0,4,0%,78.5
United Kingdom,0,4,0%,79.25
Ukraine,0,3,0%,75
Indonesia,0,3,0%,76.67
Vietnam,0,3,0%,78.33
Saudi Arabia,0,3,0%,82
Russia,0,3,0%,83
Chile,0,2,0%,73.5
Morocco,0,2,0%,73.5
Pakistan,0,2,0%,74
Iraq,0,2,0%,78.5
Nepal,0,2,0%,80
Malaysia,0,2,0%,87
Peru,0,1,0%,69
Oman,0,1,0%,72
Greece,0,1,0%,73
Uruguay,0,1,0%,73
Azerbaijan,0,1,0%,74
Rwanda,0,1,0%,74
Kenya,0,1,0%,75
Senegal,0,1,0%,75
Bangladesh,0,1,0%,76
Costa Rica,0,1,0%,76
Venezuela,0,1,0%,76
Kazakhstan,0,1,0%,78
Thailand,0,1,0%,78
Japan,0,1,0%,79
Philippines,0,1,0%,79
Canada,0,1,0%,81
Mexico,0,1,0%,82
Bolivia,0,1,0%,85
Congo - Brazzaville,0,1,0%,90
Poland,0,1,0%,90
Singapore,0,1,0%,136
