Date,Clicks,Impressions,CTR,Position
2026-03-29,0,40,0%,2.2
2026-03-30,0,39,0%,2
2026-03-31,0,49,0%,5.1
2026-04-01,0,35,0%,2
2026-04-02,0,33,0%,2.3
2026-04-03,0,44,0%,2
2026-04-04,0,54,0%,2.8
2026-04-05,0,34,0%,2
2026-04-06,0,35,0%,2.3
2026-04-07,0,43,0%,4.7
2026-04-08,0,38,0%,2.3
2026-04-09,0,32,0%,2
2026-04-10,0,35,0%,2.3
2026-04-11,0,33,0%,2
2026-04-12,0,34,0%,2.3
2026-04-13,0,36,0%,2
2026-04-14,0,33,0%,2.4
2026-04-15,0,43,0%,4.9
2026-04-16,0,37,0%,2.4
2026-04-17,0,38,0%,4.3
2026-04-18,0,41,0%,3.5
2026-04-19,0,38,0%,2
2026-04-20,0,40,0%,2.9
2026-04-21,0,28,0%,2
2026-04-22,0,34,0%,3.9
2026-04-23,0,32,0%,2.5
2026-04-24,0,21,0%,3
2026-04-25,0,16,0%,2.8
2026-04-26,0,22,0%,3.1
2026-04-27,0,72,0%,2.2
2026-04-28,0,203,0%,2.1
2026-04-29,0,129,0%,2.3
2026-04-30,0,171,0%,2.1
2026-05-01,0,183,0%,1.9
2026-05-02,0,281,0%,2.3
2026-05-03,0,417,0%,2
2026-05-04,0,389,0%,1.9
2026-05-05,0,372,0%,1.8
2026-05-06,0,375,0%,1.9
2026-05-07,0,381,0%,1.6
2026-05-08,0,384,0%,2
2026-05-09,0,368,0%,1.8
2026-05-10,0,376,0%,1.9
2026-05-11,0,360,0%,1.9
2026-05-12,0,382,0%,2.1
2026-05-13,0,420,0%,2.3
2026-05-14,0,331,0%,1.7
2026-05-15,0,202,0%,1.1
2026-05-16,0,12,0%,14
2026-05-17,0,3,0%,1
2026-05-18,0,20,0%,6.2
2026-05-19,0,15,0%,4.9
2026-05-20,0,18,0%,12.1
2026-05-21,0,19,0%,3.5
2026-05-22,0,18,0%,4.6
2026-05-23,0,18,0%,2.7
2026-05-24,0,16,0%,2.3
2026-05-25,0,19,0%,6.1
2026-05-26,0,17,0%,1.9
2026-05-27,0,20,0%,10.9
2026-05-28,0,14,0%,2
2026-05-29,0,14,0%,1.6
2026-05-30,0,23,0%,10
2026-05-31,0,15,0%,1
2026-06-01,0,15,0%,1.6
2026-06-02,0,32,0%,2.5
2026-06-03,0,57,0%,4.4
2026-06-04,0,61,0%,2
2026-06-05,0,50,0%,2
2026-06-06,0,9,0%,6
2026-06-07,0,14,0%,3.1
2026-06-08,0,10,0%,2.1
2026-06-09,0,14,0%,3.1
2026-06-10,0,15,0%,13
2026-06-11,0,14,0%,11.2
2026-06-12,0,9,0%,1.9
2026-06-13,0,13,0%,10.5
2026-06-14,0,11,0%,2
2026-06-15,0,16,0%,3.1
2026-06-16,0,113,0%,3.1
2026-06-17,0,274,0%,2.8
2026-06-18,0,295,0%,2.1
2026-06-19,0,223,0%,2.1
2026-06-20,0,229,0%,2.1
2026-06-21,0,154,0%,2.2
2026-06-22,0,188,0%,2.2
2026-06-23,0,259,0%,2.1
2026-06-24,0,240,0%,2.8
2026-06-25,0,175,0%,2
2026-06-26,0,5,0%,10
2026-06-27,0,7,0%,27.4
2026-06-28,0,3,0%,1.3
