Country,Clicks,Impressions,CTR,Position
United States,0,9033,0%,2.33
Netherlands,0,219,0%,1.94
Germany,0,130,0%,1.95
Italy,0,63,0%,1.94
United Kingdom,0,42,0%,1.95
Brazil,0,13,0%,2
Philippines,0,9,0%,1.78
India,0,8,0%,2.25
Spain,0,6,0%,1.83
Bangladesh,0,5,0%,2
Pakistan,0,5,0%,2
Chile,0,5,0%,2.2
Algeria,0,4,0%,1.75
France,0,4,0%,1.75
Turkey,0,4,0%,1.75
Indonesia,0,4,0%,2
Argentina,0,3,0%,2
Dominican Republic,0,3,0%,2
Egypt,0,3,0%,2
Iraq,0,3,0%,2
Mexico,0,3,0%,2
Vietnam,0,3,0%,2.33
Kenya,0,2,0%,1.5
Greece,0,2,0%,2
Saudi Arabia,0,2,0%,2
Canada,0,1,0%,1
Czechia,0,1,0%,1
Albania,0,1,0%,2
United Arab Emirates,0,1,0%,2
Armenia,0,1,0%,2
Bolivia,0,1,0%,2
Guatemala,0,1,0%,2
Honduras,0,1,0%,2
Jamaica,0,1,0%,2
Lebanon,0,1,0%,2
Libya,0,1,0%,2
Moldova,0,1,0%,2
Nepal,0,1,0%,2
Paraguay,0,1,0%,2
Palestine,0,1,0%,2
Russia,0,1,0%,2
Thailand,0,1,0%,2
Tunisia,0,1,0%,2
South Africa,0,1,0%,2
Zimbabwe,0,1,0%,2
Ghana,0,1,0%,3
