Date,Clicks,Impressions,CTR,Position
2026-03-29,0,61,0%,8.6
2026-03-30,0,60,0%,5.2
2026-03-31,0,61,0%,4.1
2026-04-01,0,54,0%,5.7
2026-04-02,0,41,0%,4.6
2026-04-03,0,62,0%,5.8
2026-04-04,0,73,0%,5.8
2026-04-05,0,52,0%,4.6
2026-04-06,0,47,0%,5.3
2026-04-07,0,45,0%,3.3
2026-04-08,0,57,0%,8.6
2026-04-09,0,53,0%,5.8
2026-04-10,0,43,0%,6
2026-04-11,0,49,0%,7.4
2026-04-12,1,51,1.96%,4.4
2026-04-13,0,50,0%,6.4
2026-04-14,0,46,0%,7.8
2026-04-15,0,54,0%,5
2026-04-16,0,49,0%,4.6
2026-04-17,0,61,0%,8.1
2026-04-18,0,54,0%,6.1
2026-04-19,0,57,0%,4.3
2026-04-20,0,57,0%,5.9
2026-04-21,0,44,0%,7.5
2026-04-22,0,37,0%,8.7
2026-04-23,0,46,0%,5.4
2026-04-24,0,28,0%,8.6
2026-04-25,0,21,0%,3.4
2026-04-26,0,27,0%,6.9
2026-04-27,0,78,0%,5.3
2026-04-28,0,210,0%,2.7
2026-04-29,0,139,0%,3
2026-04-30,0,173,0%,2.5
2026-05-01,0,197,0%,3.4
2026-05-02,0,290,0%,2.9
2026-05-03,0,434,0%,2.8
2026-05-04,0,409,0%,3.3
2026-05-05,0,377,0%,2.1
2026-05-06,0,386,0%,2.5
2026-05-07,0,393,0%,2.1
2026-05-08,0,394,0%,2.5
2026-05-09,0,383,0%,2.3
2026-05-10,0,384,0%,2.2
2026-05-11,0,382,0%,2.9
2026-05-12,0,391,0%,2.5
2026-05-13,0,430,0%,2.9
2026-05-14,1,349,0.29%,2.7
2026-05-15,1,219,0.46%,3.1
2026-05-16,0,21,0%,9.8
2026-05-17,0,20,0%,19
2026-05-18,0,31,0%,8.1
2026-05-19,0,25,0%,6.3
2026-05-20,0,31,0%,10.6
2026-05-21,1,57,1.75%,8.5
2026-05-22,0,34,0%,8.7
2026-05-23,0,31,0%,8.9
2026-05-24,0,31,0%,8.1
2026-05-25,1,41,2.44%,4.8
2026-05-26,0,53,0%,13.3
2026-05-27,0,43,0%,9.6
2026-05-28,0,33,0%,6.5
2026-05-29,0,37,0%,11.5
2026-05-30,0,42,0%,11.8
2026-05-31,0,33,0%,8.2
2026-06-01,1,45,2.22%,6.4
2026-06-02,0,49,0%,4.1
2026-06-03,0,78,0%,4.7
2026-06-04,0,87,0%,4.2
2026-06-05,0,72,0%,4.6
2026-06-06,0,33,0%,5.3
2026-06-07,0,43,0%,10.4
2026-06-08,0,37,0%,6.7
2026-06-09,0,36,0%,5.6
2026-06-10,0,31,0%,5.6
2026-06-11,0,48,0%,6.9
2026-06-12,0,42,0%,11.6
2026-06-13,0,36,0%,12.8
2026-06-14,1,46,2.17%,7.5
2026-06-15,1,40,2.5%,8.4
2026-06-16,0,142,0%,4
2026-06-17,0,296,0%,3.1
2026-06-18,0,318,0%,2.6
2026-06-19,0,244,0%,3
2026-06-20,0,253,0%,2.9
2026-06-21,0,177,0%,3.7
2026-06-22,0,213,0%,3.5
2026-06-23,0,281,0%,2.7
2026-06-24,0,269,0%,3.2
2026-06-25,0,198,0%,2.7
2026-06-26,0,40,0%,12.4
2026-06-27,0,51,0%,20.2
2026-06-28,0,26,0%,9.2
