Country,Clicks,Impressions,CTR,Position
United States,3,9764,0.03%,3.46
Netherlands,0,219,0%,1.94
Germany,0,134,0%,1.92
United Kingdom,0,87,0%,22.7
Italy,0,66,0%,3.26
Brazil,0,14,0%,1.93
Spain,0,12,0%,12.08
Canada,0,12,0%,32.58
Philippines,0,10,0%,1.7
India,0,9,0%,4.44
Australia,0,7,0%,38
Bangladesh,0,6,0%,1.83
Pakistan,0,6,0%,1.83
Chile,0,6,0%,2
Indonesia,0,6,0%,3.33
Vietnam,0,5,0%,12.6
Algeria,0,4,0%,1.75
France,0,4,0%,1.75
Turkey,0,4,0%,1.75
Argentina,0,3,0%,2
Dominican Republic,0,3,0%,2
Egypt,0,3,0%,2
Iraq,0,3,0%,2
Mexico,0,3,0%,2
Saudi Arabia,0,3,0%,8.33
Kenya,0,3,0%,21.67
Lebanon,0,2,0%,1.5
Greece,0,2,0%,2
South Africa,0,2,0%,4.5
Singapore,0,2,0%,17.5
New Zealand,0,2,0%,23
Bahamas,0,1,0%,1
Czechia,0,1,0%,1
Sri Lanka,0,1,0%,1
Albania,0,1,0%,2
United Arab Emirates,0,1,0%,2
Armenia,0,1,0%,2
Bolivia,0,1,0%,2
Guatemala,0,1,0%,2
Honduras,0,1,0%,2
Jamaica,0,1,0%,2
Libya,0,1,0%,2
Moldova,0,1,0%,2
Nepal,0,1,0%,2
Paraguay,0,1,0%,2
Palestine,0,1,0%,2
Russia,0,1,0%,2
Thailand,0,1,0%,2
Tunisia,0,1,0%,2
Zimbabwe,0,1,0%,2
Ghana,0,1,0%,3
Kazakhstan,0,1,0%,11
Lithuania,0,1,0%,17
Israel,0,1,0%,25
