Date,Clicks,Impressions,CTR,Position
2026-04-06,0,88,0%,6.8
2026-04-07,1,88,1.14%,6.7
2026-04-08,0,103,0%,8.7
2026-04-09,1,75,1.33%,7.1
2026-04-10,0,99,0%,7.2
2026-04-11,1,90,1.11%,7.1
2026-04-12,0,100,0%,7.8
2026-04-13,0,94,0%,6.8
2026-04-14,0,89,0%,7.6
2026-04-15,1,212,0.47%,6.6
2026-04-16,0,83,0%,5.8
2026-04-17,0,80,0%,6.8
2026-04-18,0,69,0%,6.2
2026-04-19,1,103,0.97%,6.2
2026-04-20,3,88,3.41%,6.5
2026-04-21,0,62,0%,6.8
2026-04-22,0,79,0%,7
2026-04-23,1,94,1.06%,7.6
2026-04-24,1,83,1.2%,7.3
2026-04-25,0,86,0%,7.6
2026-04-26,0,83,0%,7.7
2026-04-27,0,80,0%,7.9
2026-04-28,0,83,0%,7.4
2026-04-29,0,120,0%,7.6
2026-04-30,1,85,1.18%,8.8
2026-05-01,1,87,1.15%,7.3
2026-05-02,2,75,2.67%,8.7
2026-05-03,0,70,0%,8.4
2026-05-04,0,65,0%,8.6
2026-05-05,1,74,1.35%,10.2
2026-05-06,1,91,1.1%,7.5
2026-05-07,3,82,3.66%,9.6
2026-05-08,2,58,3.45%,9.6
2026-05-09,1,59,1.69%,9.8
2026-05-10,0,48,0%,12.4
2026-05-11,3,70,4.29%,9.6
2026-05-12,1,60,1.67%,7.4
2026-05-13,1,83,1.2%,9.6
2026-05-14,0,76,0%,7.4
2026-05-15,2,61,3.28%,7.4
2026-05-16,1,61,1.64%,12.4
2026-05-17,0,63,0%,11.5
2026-05-18,1,74,1.35%,8.8
2026-05-19,0,60,0%,8.9
2026-05-20,0,67,0%,7.4
2026-05-21,0,64,0%,7.8
2026-05-22,5,98,5.1%,6
2026-05-23,1,125,0.8%,6.4
2026-05-24,0,137,0%,5.7
2026-05-25,0,130,0%,6
2026-05-26,1,91,1.1%,6
2026-05-27,1,132,0.76%,5.9
2026-05-28,2,110,1.82%,5.8
2026-05-29,1,80,1.25%,6.5
2026-05-30,1,104,0.96%,6.2
2026-05-31,0,80,0%,6.6
2026-06-01,1,96,1.04%,6.6
2026-06-02,0,97,0%,6.1
2026-06-03,3,100,3%,6.2
2026-06-04,1,117,0.85%,5.8
2026-06-05,1,92,1.09%,6.6
2026-06-06,1,109,0.92%,6.2
2026-06-07,1,122,0.82%,6.3
2026-06-08,0,111,0%,6.5
2026-06-09,0,145,0%,5.9
2026-06-10,0,108,0%,6.2
2026-06-11,0,112,0%,6.5
2026-06-12,1,105,0.95%,5.8
2026-06-13,3,100,3%,6.2
2026-06-14,0,103,0%,5.8
2026-06-15,2,86,2.33%,6.8
2026-06-16,0,103,0%,6
2026-06-17,0,78,0%,7.5
2026-06-18,0,82,0%,6.6
2026-06-19,0,119,0%,6.3
2026-06-20,1,96,1.04%,6.4
2026-06-21,2,95,2.11%,6.3
2026-06-22,2,95,2.11%,5.6
2026-06-23,1,101,0.99%,5.6
2026-06-24,4,178,2.25%,5.6
2026-06-25,0,99,0%,5.2
2026-06-26,3,109,2.75%,6.1
2026-06-27,1,113,0.88%,4.7
2026-06-28,2,91,2.2%,6.5
2026-06-29,0,81,0%,5.9
2026-06-30,0,91,0%,6.2
2026-07-01,3,63,4.76%,5.9
2026-07-02,1,62,1.61%,5.2
2026-07-03,0,76,0%,6.1
2026-07-04,2,68,2.94%,5.5
2026-07-05,0,65,0%,6.6
