Country,Clicks,Impressions,CTR,Position
United States,18,2410,0.75%,6.95
Puerto Rico,1,60,1.67%,7.48
Brazil,1,2,50%,6
Mexico,0,67,0%,30.25
Spain,0,27,0%,49.78
Colombia,0,13,0%,19
Costa Rica,0,7,0%,13.29
Panama,0,7,0%,35.29
Dominican Republic,0,5,0%,9.6
France,0,4,0%,8
Chile,0,3,0%,5
Venezuela,0,3,0%,5
United Kingdom,0,3,0%,32.33
Cuba,0,2,0%,1
El Salvador,0,2,0%,4
Peru,0,2,0%,4.5
Canada,0,1,0%,1
Paraguay,0,1,0%,2
Honduras,0,1,0%,3
Guatemala,0,1,0%,6
Italy,0,1,0%,8
Indonesia,0,1,0%,9
Uruguay,0,1,0%,9
Trinidad & Tobago,0,1,0%,10
Switzerland,0,1,0%,11
Netherlands,0,1,0%,16
New Zealand,0,1,0%,17
Japan,0,1,0%,29
Argentina,0,1,0%,40
India,0,1,0%,41
