Date,Clicks,Impressions,CTR,Position
2026-03-02,0,22,0%,10
2026-03-03,0,13,0%,10.8
2026-03-04,0,10,0%,9.7
2026-03-05,0,13,0%,10.8
2026-03-06,0,24,0%,16.2
2026-03-07,0,8,0%,4.4
2026-03-08,0,21,0%,12.5
2026-03-09,0,16,0%,6.3
2026-03-10,0,13,0%,5.2
2026-03-11,0,17,0%,17.1
2026-03-12,0,11,0%,3.5
2026-03-13,0,19,0%,13.5
2026-03-14,0,11,0%,5.1
2026-03-15,0,13,0%,12.7
2026-03-16,0,20,0%,4.8
2026-03-17,0,10,0%,6.5
2026-03-18,0,18,0%,10.9
2026-03-19,0,9,0%,3
2026-03-20,0,13,0%,15.6
2026-03-21,0,10,0%,4.1
2026-03-22,0,15,0%,18.5
2026-03-23,0,8,0%,13.6
2026-03-24,0,21,0%,5.9
2026-03-25,0,17,0%,22.3
2026-03-26,0,4,0%,5
2026-03-27,0,18,0%,30.8
2026-03-28,0,8,0%,12.2
2026-03-29,0,5,0%,20
2026-03-30,0,9,0%,3.7
2026-03-31,0,11,0%,4.5
2026-04-01,0,16,0%,18.4
2026-04-02,0,7,0%,8.6
2026-04-03,0,14,0%,9.8
2026-04-04,0,9,0%,4.3
2026-04-05,0,7,0%,6.7
2026-04-06,0,9,0%,2.9
2026-04-07,0,13,0%,6
2026-04-08,0,18,0%,17.6
2026-04-09,0,7,0%,3
2026-04-10,0,18,0%,17
2026-04-11,0,5,0%,11.8
2026-04-12,0,10,0%,12.2
2026-04-13,0,15,0%,12.9
2026-04-14,0,16,0%,4.4
2026-04-15,0,10,0%,14.3
2026-04-16,0,7,0%,3.3
2026-04-17,0,22,0%,15.8
2026-04-18,0,6,0%,6.3
2026-04-19,0,13,0%,17.5
2026-04-20,0,9,0%,9.4
2026-04-21,0,10,0%,5.9
2026-04-22,0,18,0%,20.7
2026-04-23,0,17,0%,14.9
2026-04-24,1,17,5.88%,20.4
2026-04-25,0,8,0%,11.1
2026-04-26,0,12,0%,16.3
2026-04-27,0,15,0%,5.9
2026-04-28,0,12,0%,11
2026-04-29,0,8,0%,11.5
2026-04-30,0,7,0%,6.3
2026-05-01,0,11,0%,21
2026-05-02,0,9,0%,6.4
2026-05-03,0,10,0%,24.3
2026-05-04,0,9,0%,10
2026-05-05,0,4,0%,8.5
2026-05-06,0,6,0%,21.5
2026-05-07,0,8,0%,13.9
2026-05-08,0,19,0%,17.5
2026-05-09,0,12,0%,19.9
2026-05-10,0,1,0%,75
2026-05-11,0,5,0%,24.8
2026-05-12,0,8,0%,12.1
2026-05-13,0,12,0%,13.8
2026-05-14,0,8,0%,23.6
2026-05-15,0,8,0%,20.6
2026-05-16,0,5,0%,10
2026-05-17,0,3,0%,11.7
2026-05-18,0,7,0%,11.7
2026-05-19,0,3,0%,11.7
2026-05-20,0,1,0%,8
2026-05-21,1,20,5%,18.4
2026-05-22,0,18,0%,12.3
2026-05-23,0,9,0%,11.8
2026-05-24,0,17,0%,8.8
2026-05-25,0,18,0%,13.4
2026-05-26,0,17,0%,6.6
2026-05-27,2,15,13.33%,8.3
2026-05-28,0,14,0%,16.1
2026-05-29,0,10,0%,14.2
2026-05-30,0,8,0%,5.4
2026-05-31,0,5,0%,10
2026-06-01,0,19,0%,7.1
