Date,Clicks,Impressions,CTR,Position
2026-04-06,0,12,0%,14.8
2026-04-07,0,7,0%,23.4
2026-04-08,0,7,0%,39.1
2026-04-09,0,12,0%,20
2026-04-10,0,7,0%,18.4
2026-04-11,0,11,0%,10.5
2026-04-12,0,6,0%,9
2026-04-13,0,20,0%,13.4
2026-04-14,0,16,0%,12.1
2026-04-15,1,22,4.55%,18.5
2026-04-16,0,11,0%,16.7
2026-04-17,1,11,9.09%,6.5
2026-04-18,0,13,0%,15.2
2026-04-19,0,5,0%,20
2026-04-20,0,15,0%,9.9
2026-04-21,0,23,0%,11.3
2026-04-22,0,23,0%,10.9
2026-04-23,0,13,0%,13.4
2026-04-24,0,15,0%,11.7
2026-04-25,0,14,0%,16.1
2026-04-26,1,17,5.88%,11.2
2026-04-27,0,12,0%,12.1
2026-04-28,0,17,0%,12.4
2026-04-29,0,19,0%,12
2026-04-30,1,20,5%,15.9
2026-05-01,0,12,0%,6.9
2026-05-02,1,16,6.25%,11.3
2026-05-03,0,6,0%,17.2
2026-05-04,0,6,0%,29.5
2026-05-05,0,14,0%,12.6
2026-05-06,0,13,0%,21.6
2026-05-07,1,10,10%,16.3
2026-05-08,1,12,8.33%,15.6
2026-05-09,0,12,0%,13.7
2026-05-10,0,9,0%,19.1
2026-05-11,0,6,0%,15.3
2026-05-12,0,8,0%,15.8
2026-05-13,0,14,0%,10.7
2026-05-14,0,18,0%,15.4
2026-05-15,0,15,0%,20.3
2026-05-16,0,10,0%,32.6
2026-05-17,0,10,0%,25.2
2026-05-18,0,13,0%,19.9
2026-05-19,0,20,0%,20
2026-05-20,1,16,6.25%,16.4
2026-05-21,0,8,0%,21.4
2026-05-22,0,13,0%,31.5
2026-05-23,0,11,0%,17.5
2026-05-24,0,36,0%,11.4
2026-05-25,0,31,0%,10.3
2026-05-26,0,43,0%,10.2
2026-05-27,2,29,6.9%,17.9
2026-05-28,0,15,0%,12.3
2026-05-29,0,25,0%,12.3
2026-05-30,0,22,0%,13.5
2026-05-31,0,13,0%,17.3
2026-06-01,1,21,4.76%,16.2
2026-06-02,0,13,0%,7.8
2026-06-03,0,24,0%,9.7
2026-06-04,0,21,0%,13.9
2026-06-05,1,21,4.76%,16.6
2026-06-06,0,23,0%,20.1
2026-06-07,0,15,0%,18.3
2026-06-08,0,26,0%,6.4
2026-06-09,0,21,0%,16.2
2026-06-10,0,19,0%,7.5
2026-06-11,0,28,0%,6.7
2026-06-12,0,32,0%,13.3
2026-06-13,2,23,8.7%,11.6
2026-06-14,0,16,0%,18.7
2026-06-15,0,27,0%,11.9
2026-06-16,1,23,4.35%,14.7
2026-06-17,0,29,0%,11.2
2026-06-18,0,22,0%,15.1
2026-06-19,0,15,0%,14.9
2026-06-20,1,12,8.33%,9.8
2026-06-21,0,13,0%,14.4
2026-06-22,0,18,0%,6.7
2026-06-23,0,30,0%,10.1
2026-06-24,0,12,0%,15.4
2026-06-25,0,12,0%,24.2
2026-06-26,0,19,0%,11.9
2026-06-27,0,16,0%,22.3
2026-06-28,1,17,5.88%,12.9
2026-06-29,0,25,0%,14.6
2026-06-30,0,11,0%,19
2026-07-01,0,23,0%,15.3
2026-07-02,1,21,4.76%,12.2
2026-07-03,0,9,0%,15.8
2026-07-04,0,10,0%,19.4
2026-07-05,0,11,0%,21.9
