Date,Clicks,Impressions,CTR,Position
2026-03-08,0,42,0%,11.2
2026-03-09,0,36,0%,3.9
2026-03-10,0,54,0%,4.5
2026-03-11,0,69,0%,9.8
2026-03-12,1,47,2.13%,5.1
2026-03-13,0,45,0%,8.6
2026-03-14,2,43,4.65%,8.2
2026-03-15,0,58,0%,12.4
2026-03-16,0,62,0%,5.1
2026-03-17,2,47,4.26%,4.6
2026-03-18,0,50,0%,12.1
2026-03-19,0,43,0%,3.8
2026-03-20,0,59,0%,8.6
2026-03-21,0,29,0%,5.5
2026-03-22,0,41,0%,15.8
2026-03-23,0,33,0%,5.9
2026-03-24,0,24,0%,8.2
2026-03-25,0,53,0%,13.4
2026-03-26,0,30,0%,4
2026-03-27,0,53,0%,6.7
2026-03-28,1,30,3.33%,8.1
2026-03-29,1,40,2.5%,12.2
2026-03-30,0,29,0%,4.9
2026-03-31,0,29,0%,6.6
2026-04-01,0,40,0%,10.4
2026-04-02,0,41,0%,8.4
2026-04-03,0,50,0%,9.2
2026-04-04,2,40,5%,11.3
2026-04-05,0,47,0%,11
2026-04-06,0,38,0%,7.6
2026-04-07,0,45,0%,4.5
2026-04-08,1,55,1.82%,12.7
2026-04-09,0,35,0%,7.8
2026-04-10,0,46,0%,10.3
2026-04-11,0,51,0%,13.7
2026-04-12,0,47,0%,9.7
2026-04-13,0,41,0%,8.3
2026-04-14,0,48,0%,9.9
2026-04-15,0,64,0%,10.9
2026-04-16,0,58,0%,5.3
2026-04-17,0,59,0%,6.1
2026-04-18,0,54,0%,9.5
2026-04-19,0,40,0%,11.3
2026-04-20,0,24,0%,8.2
2026-04-21,0,35,0%,7.4
2026-04-22,1,38,2.63%,13.6
2026-04-23,0,27,0%,8.9
2026-04-24,0,42,0%,15.2
2026-04-25,0,30,0%,11.4
2026-04-26,0,29,0%,16
2026-04-27,0,19,0%,11.5
2026-04-28,0,29,0%,10.7
2026-04-29,0,33,0%,15.4
2026-04-30,0,25,0%,8
2026-05-01,0,36,0%,13.6
2026-05-02,0,24,0%,10
2026-05-03,0,26,0%,19.5
2026-05-04,0,21,0%,9.9
2026-05-05,0,13,0%,6.9
2026-05-06,0,30,0%,18.6
2026-05-07,0,23,0%,6.3
2026-05-08,0,30,0%,13.8
2026-05-09,0,34,0%,10.3
2026-05-10,0,19,0%,17.1
2026-05-11,0,13,0%,8.1
2026-05-12,0,23,0%,7.3
2026-05-13,0,22,0%,13.1
2026-05-14,0,26,0%,7.7
2026-05-15,0,22,0%,12.9
2026-05-16,0,30,0%,15.8
2026-05-17,0,28,0%,7
2026-05-18,0,19,0%,12.6
2026-05-19,0,26,0%,7.4
2026-05-20,1,42,2.38%,10.9
2026-05-21,0,30,0%,22.4
2026-05-22,0,22,0%,6.5
2026-05-23,0,41,0%,12.8
2026-05-24,0,49,0%,9.4
2026-05-25,0,37,0%,9.8
2026-05-26,0,30,0%,5.1
2026-05-27,0,34,0%,12.3
2026-05-28,0,42,0%,11.2
2026-05-29,0,39,0%,8.5
2026-05-30,0,44,0%,12.2
2026-05-31,0,25,0%,9.1
2026-06-01,0,26,0%,6.7
2026-06-02,0,36,0%,6.2
2026-06-03,0,42,0%,11.6
2026-06-04,0,42,0%,10.6
2026-06-05,0,42,0%,7.7
2026-06-06,1,35,2.86%,7.2
2026-06-07,1,32,3.12%,8.6
