Date,Clicks,Impressions,CTR,Position
2026-03-21,0,1,0%,1
2026-03-22,0,7,0%,38.1
2026-03-23,0,8,0%,5.8
2026-03-24,1,21,4.76%,7.9
2026-03-25,0,45,0%,14.8
2026-03-26,1,13,7.69%,3
2026-03-27,1,31,3.23%,28.8
2026-03-28,0,16,0%,6.5
2026-03-29,0,16,0%,8.2
2026-03-30,0,22,0%,3.7
2026-03-31,0,7,0%,5.1
2026-04-01,0,16,0%,18.3
2026-04-02,1,21,4.76%,5.6
2026-04-03,0,43,0%,23.8
2026-04-04,0,24,0%,3.6
2026-04-05,1,21,4.76%,12.3
2026-04-06,0,19,0%,5.7
2026-04-07,0,23,0%,7
2026-04-08,0,39,0%,18.8
2026-04-09,0,9,0%,9.8
2026-04-10,0,28,0%,21.5
2026-04-11,0,12,0%,14.6
2026-04-12,1,26,3.85%,14.1
2026-04-13,0,22,0%,15.5
2026-04-14,0,9,0%,5.8
2026-04-15,0,29,0%,33
2026-04-16,0,14,0%,9.6
2026-04-17,0,25,0%,39.3
2026-04-18,0,8,0%,6.5
2026-04-19,1,20,5%,20.3
2026-04-20,0,7,0%,7.4
2026-04-21,0,5,0%,10
2026-04-22,0,18,0%,50.9
2026-04-23,1,5,20%,6.4
2026-04-24,0,21,0%,36.8
2026-04-25,0,11,0%,18.2
2026-04-26,1,16,6.25%,29.1
2026-04-27,0,9,0%,10.6
2026-04-28,0,5,0%,6.6
2026-04-29,0,25,0%,35.4
2026-04-30,0,8,0%,11.5
2026-05-01,0,30,0%,33.3
2026-05-02,0,5,0%,24.4
2026-05-03,0,17,0%,43.1
2026-05-04,0,12,0%,12.2
2026-05-05,0,12,0%,11.8
2026-05-06,0,24,0%,27
2026-05-07,0,6,0%,13.8
2026-05-08,0,20,0%,28.8
2026-05-09,0,10,0%,10.2
2026-05-10,0,21,0%,9.1
2026-05-11,0,5,0%,11.2
2026-05-12,0,9,0%,6.1
2026-05-13,0,22,0%,45.4
2026-05-14,1,9,11.11%,32.6
2026-05-15,0,29,0%,38.1
2026-05-16,0,12,0%,40.3
2026-05-17,0,8,0%,7.9
2026-05-18,0,10,0%,9.2
2026-05-19,0,4,0%,7.5
2026-05-20,0,19,0%,46.2
2026-05-21,0,22,0%,36.1
2026-05-22,0,9,0%,16.4
2026-05-23,0,8,0%,31.9
2026-05-24,0,7,0%,11
2026-05-25,0,10,0%,22.1
2026-05-26,0,20,0%,6.7
2026-05-27,0,20,0%,31.4
2026-05-28,0,34,0%,30.3
2026-05-29,0,12,0%,9.8
2026-05-30,0,15,0%,12.4
2026-05-31,0,6,0%,13.2
2026-06-01,0,8,0%,22.5
2026-06-02,0,13,0%,7.5
2026-06-03,0,14,0%,26.7
2026-06-04,0,28,0%,33.1
2026-06-05,0,13,0%,13.1
2026-06-06,0,22,0%,29.8
2026-06-07,0,7,0%,12
2026-06-08,0,12,0%,8.6
2026-06-09,1,21,4.76%,24.8
2026-06-10,0,35,0%,31.3
2026-06-11,0,13,0%,7.8
2026-06-12,0,9,0%,9.1
2026-06-13,0,22,0%,23.1
2026-06-14,0,7,0%,7.1
2026-06-15,0,6,0%,26.8
2026-06-16,0,19,0%,28.7
2026-06-17,0,29,0%,27.8
2026-06-18,0,17,0%,9.7
2026-06-19,0,12,0%,21.2
2026-06-20,0,20,0%,21.6
