Date,Clicks,Impressions,CTR,Position
2026-03-01,6,410,1.46%,5
2026-03-02,6,494,1.21%,4.7
2026-03-03,10,756,1.32%,4.6
2026-03-04,3,500,0.6%,6.4
2026-03-05,4,390,1.03%,5.2
2026-03-06,3,284,1.06%,5
2026-03-07,7,280,2.5%,3.5
2026-03-08,3,282,1.06%,3.4
2026-03-09,2,236,0.85%,3.2
2026-03-10,5,302,1.66%,3.1
2026-03-11,9,372,2.42%,3.7
2026-03-12,8,550,1.45%,3.9
2026-03-13,6,589,1.02%,5
2026-03-14,4,397,1.01%,5.2
2026-03-15,7,529,1.32%,5.7
2026-03-16,9,355,2.54%,4.7
2026-03-17,3,394,0.76%,4.7
2026-03-18,6,597,1.01%,6.2
2026-03-19,12,724,1.66%,4.1
2026-03-20,7,716,0.98%,3.9
2026-03-21,6,712,0.84%,3.9
2026-03-22,6,732,0.82%,5.2
2026-03-23,9,649,1.39%,3.9
2026-03-24,12,688,1.74%,4.8
2026-03-25,11,961,1.14%,5.5
2026-03-26,8,887,0.9%,5.1
2026-03-27,8,818,0.98%,4.8
2026-03-28,4,700,0.57%,4.5
2026-03-29,15,731,2.05%,5.4
2026-03-30,10,664,1.51%,4.2
2026-03-31,6,623,0.96%,4.1
2026-04-01,12,702,1.71%,4.9
2026-04-02,7,650,1.08%,4.3
2026-04-03,6,675,0.89%,5
2026-04-04,8,658,1.22%,4.5
2026-04-05,8,686,1.17%,4.7
2026-04-06,12,639,1.88%,4.8
2026-04-07,4,648,0.62%,4.4
2026-04-08,5,698,0.72%,6.8
2026-04-09,9,625,1.44%,4.3
2026-04-10,8,617,1.3%,5.5
2026-04-11,8,634,1.26%,5.1
2026-04-12,11,637,1.73%,5.4
2026-04-13,10,623,1.61%,3.9
2026-04-14,10,711,1.41%,3.5
2026-04-15,10,800,1.25%,4.9
2026-04-16,3,700,0.43%,4
2026-04-17,6,674,0.89%,4.5
2026-04-18,11,784,1.4%,3.8
2026-04-19,10,730,1.37%,5.3
2026-04-20,8,595,1.34%,4.6
2026-04-21,3,584,0.51%,5.3
2026-04-22,9,588,1.53%,7.7
2026-04-23,11,677,1.62%,5.4
2026-04-24,9,625,1.44%,6.2
2026-04-25,5,554,0.9%,6
2026-04-26,9,624,1.44%,6.2
2026-04-27,14,575,2.43%,5.7
2026-04-28,7,616,1.14%,5.6
2026-04-29,7,629,1.11%,6.5
2026-04-30,11,511,2.15%,4.8
2026-05-01,8,569,1.41%,5.7
2026-05-02,7,535,1.31%,5.6
2026-05-03,11,567,1.94%,5.6
2026-05-04,7,584,1.2%,5.6
2026-05-05,8,612,1.31%,5.3
2026-05-06,5,564,0.89%,6.7
2026-05-07,7,533,1.31%,6.1
2026-05-08,8,549,1.46%,5.2
2026-05-09,8,563,1.42%,5
2026-05-10,6,523,1.15%,4.7
2026-05-11,13,587,2.21%,5.2
2026-05-12,13,589,2.21%,5.4
2026-05-13,10,620,1.61%,7.1
2026-05-14,8,555,1.44%,5.9
2026-05-15,9,539,1.67%,6.3
2026-05-16,9,531,1.69%,6.7
2026-05-17,7,522,1.34%,5.5
2026-05-18,8,560,1.43%,6
2026-05-19,8,606,1.32%,5.6
2026-05-20,14,586,2.39%,7
2026-05-21,5,560,0.89%,5.7
2026-05-22,7,702,1%,5.1
2026-05-23,10,697,1.43%,5.4
2026-05-24,15,646,2.32%,5.5
2026-05-25,12,682,1.76%,5.4
2026-05-26,12,724,1.66%,5.6
2026-05-27,20,666,3%,6.2
2026-05-28,12,611,1.96%,6.3
2026-05-29,11,620,1.77%,5.4
2026-05-30,9,637,1.41%,5.9
