Country,Clicks,Impressions,CTR,Position
United States,232,21834,1.06%,6
Puerto Rico,4,601,0.67%,5.51
Mexico,1,753,0.13%,17.6
Chile,1,44,2.27%,5.09
United Kingdom,1,10,10%,24
Colombia,0,122,0%,8.69
Dominican Republic,0,106,0%,4.05
Venezuela,0,103,0%,3.26
Spain,0,97,0%,24.22
Argentina,0,89,0%,15.29
Honduras,0,76,0%,2.83
Guatemala,0,69,0%,10.09
Panama,0,60,0%,19.42
Cuba,0,47,0%,3.6
Nicaragua,0,39,0%,3.64
El Salvador,0,38,0%,4.5
Ecuador,0,35,0%,5.77
Peru,0,32,0%,5.12
Canada,0,31,0%,3.42
Paraguay,0,16,0%,2.38
Costa Rica,0,16,0%,12.75
Brazil,0,15,0%,17.53
Italy,0,14,0%,2.71
India,0,11,0%,5.91
Bolivia,0,10,0%,3.3
Uruguay,0,6,0%,1.83
Australia,0,5,0%,6.2
Russia,0,4,0%,1.75
Curaçao,0,4,0%,5
Turkey,0,4,0%,21.25
Ireland,0,3,0%,2.33
France,0,3,0%,2.67
Aruba,0,3,0%,3.67
Norway,0,3,0%,4
Poland,0,3,0%,4
Japan,0,3,0%,4.67
Switzerland,0,3,0%,7.67
Netherlands,0,3,0%,22.67
China,0,2,0%,1
Saudi Arabia,0,2,0%,1
Ukraine,0,2,0%,1
Bahamas,0,2,0%,1.5
Slovakia,0,2,0%,5.5
Vietnam,0,2,0%,39.5
South Korea,0,2,0%,69
Belgium,0,1,0%,1
Bulgaria,0,1,0%,1
Belize,0,1,0%,1
Czechia,0,1,0%,1
Germany,0,1,0%,1
Egypt,0,1,0%,1
Equatorial Guinea,0,1,0%,1
Hungary,0,1,0%,1
Iceland,0,1,0%,1
St. Lucia,0,1,0%,1
New Zealand,0,1,0%,1
Romania,0,1,0%,1
Chad,0,1,0%,1
U.S. Virgin Islands,0,1,0%,1
Malaysia,0,1,0%,2
Oman,0,1,0%,2
Thailand,0,1,0%,2
Montenegro,0,1,0%,3
Bangladesh,0,1,0%,4
Pakistan,0,1,0%,4
Latvia,0,1,0%,5
Morocco,0,1,0%,5
Guyana,0,1,0%,8
Indonesia,0,1,0%,8
Haiti,0,1,0%,10
Kazakhstan,0,1,0%,11
Slovenia,0,1,0%,11
Serbia,0,1,0%,96
