Date,Clicks,Impressions,CTR,Position
2026-03-14,1,283,0.35%,7.6
2026-03-15,2,254,0.79%,8.4
2026-03-16,0,175,0%,9.1
2026-03-17,3,305,0.98%,7.6
2026-03-18,1,200,0.5%,12.8
2026-03-19,0,198,0%,8.4
2026-03-20,0,180,0%,9.1
2026-03-21,0,221,0%,8.1
2026-03-22,0,216,0%,10.1
2026-03-23,1,182,0.55%,6.9
2026-03-24,1,187,0.53%,7.8
2026-03-25,3,280,1.07%,12.9
2026-03-26,1,238,0.42%,9.8
2026-03-27,0,158,0%,8.5
2026-03-28,0,125,0%,8.6
2026-03-29,1,188,0.53%,10.2
2026-03-30,1,138,0.72%,7.4
2026-03-31,0,121,0%,8.1
2026-04-01,0,158,0%,14.1
2026-04-02,0,145,0%,7.9
2026-04-03,0,127,0%,10.2
2026-04-04,1,126,0.79%,9.8
2026-04-05,1,157,0.64%,8.8
2026-04-06,0,104,0%,8.3
2026-04-07,0,108,0%,7.8
2026-04-08,2,133,1.5%,14.2
2026-04-09,1,78,1.28%,9.2
2026-04-10,0,85,0%,13.4
2026-04-11,0,96,0%,11.4
2026-04-12,0,101,0%,8.3
2026-04-13,0,83,0%,7.6
2026-04-14,0,141,0%,11.9
2026-04-15,2,136,1.47%,15.8
2026-04-16,0,72,0%,8.7
2026-04-17,1,92,1.09%,10.8
2026-04-18,1,71,1.41%,7.1
2026-04-19,0,72,0%,12
2026-04-20,0,71,0%,7.8
2026-04-21,1,70,1.43%,8.9
2026-04-22,1,89,1.12%,16.2
2026-04-23,0,72,0%,7.8
2026-04-24,0,73,0%,7.6
2026-04-25,0,80,0%,9.5
2026-04-26,0,71,0%,16.9
2026-04-27,1,71,1.41%,10.9
2026-04-28,0,53,0%,9.1
2026-04-29,0,70,0%,13.2
2026-04-30,3,73,4.11%,8
2026-05-01,0,68,0%,10.1
2026-05-02,0,64,0%,10.2
2026-05-03,0,80,0%,13.5
2026-05-04,0,90,0%,9.7
2026-05-05,0,85,0%,8.9
2026-05-06,0,85,0%,14.2
2026-05-07,0,97,0%,10.4
2026-05-08,0,78,0%,11.8
2026-05-09,0,92,0%,10.8
2026-05-10,0,83,0%,9.7
2026-05-11,0,85,0%,10.3
2026-05-12,0,72,0%,7.7
2026-05-13,0,95,0%,15.2
2026-05-14,0,89,0%,12.2
2026-05-15,0,64,0%,7.6
2026-05-16,0,80,0%,17.5
2026-05-17,0,68,0%,8.5
2026-05-18,0,71,0%,10.3
2026-05-19,0,48,0%,8.4
2026-05-20,1,89,1.12%,16.5
2026-05-21,0,50,0%,11.6
2026-05-22,1,32,3.12%,9.9
2026-05-23,0,67,0%,24.6
2026-05-24,1,90,1.11%,11.6
2026-05-25,1,88,1.14%,9.4
2026-05-26,0,216,0%,18.6
2026-05-27,0,109,0%,18.4
2026-05-28,1,98,1.02%,11.5
2026-05-29,0,63,0%,7.9
2026-05-30,0,92,0%,12.1
2026-05-31,4,63,6.35%,10.3
2026-06-01,0,67,0%,10.9
2026-06-02,0,76,0%,7.2
2026-06-03,0,101,0%,14.9
2026-06-04,0,82,0%,8.5
2026-06-05,2,95,2.11%,7.4
2026-06-06,0,100,0%,12.4
2026-06-07,0,104,0%,6.8
2026-06-08,1,76,1.32%,7.9
2026-06-09,0,70,0%,16.8
2026-06-10,0,80,0%,9.2
2026-06-11,0,83,0%,8.4
2026-06-12,0,72,0%,6.4
2026-06-13,3,94,3.19%,11.4
