Country,Clicks,Impressions,CTR,Position
United States,15,4506,0.33%,14.09
Puerto Rico,1,29,3.45%,16.14
Argentina,0,77,0%,7.38
Mexico,0,39,0%,10
Spain,0,17,0%,19.94
El Salvador,0,11,0%,3.64
Colombia,0,11,0%,8
Venezuela,0,9,0%,8.33
Panama,0,6,0%,4
Nicaragua,0,5,0%,4.8
Cuba,0,5,0%,7
Brazil,0,5,0%,11.4
Honduras,0,4,0%,3.5
Guatemala,0,4,0%,3.75
Peru,0,4,0%,5.25
Ecuador,0,4,0%,6.75
Canada,0,3,0%,4.67
Dominican Republic,0,3,0%,5.67
Italy,0,3,0%,6.67
India,0,3,0%,13.33
Germany,0,2,0%,7
United Kingdom,0,2,0%,11
France,0,2,0%,11.5
Australia,0,1,0%,1
Belgium,0,1,0%,3
Turkey,0,1,0%,3
Portugal,0,1,0%,4
Netherlands,0,1,0%,6
Saudi Arabia,0,1,0%,6
Switzerland,0,1,0%,7
Ukraine,0,1,0%,9
Equatorial Guinea,0,1,0%,10
Uruguay,0,1,0%,10
Ireland,0,1,0%,14
Bangladesh,0,1,0%,20
Vietnam,0,1,0%,36
