Date,Clicks,Impressions,CTR,Position
2026-03-14,0,62,0%,27.4
2026-03-15,1,79,1.27%,23.1
2026-03-16,0,65,0%,25.6
2026-03-17,0,61,0%,26.7
2026-03-18,0,79,0%,33.8
2026-03-19,0,50,0%,19
2026-03-20,1,51,1.96%,25
2026-03-21,0,62,0%,25.4
2026-03-22,0,58,0%,32.1
2026-03-23,0,57,0%,26
2026-03-24,0,64,0%,28.2
2026-03-25,0,80,0%,27.6
2026-03-26,1,92,1.09%,31.6
2026-03-27,0,36,0%,21.7
2026-03-28,1,62,1.61%,29.3
2026-03-29,1,104,0.96%,33
2026-03-30,0,66,0%,34.2
2026-03-31,0,53,0%,23.5
2026-04-01,0,81,0%,27.6
2026-04-02,0,68,0%,23.1
2026-04-03,0,32,0%,24
2026-04-04,0,67,0%,27.8
2026-04-05,1,48,2.08%,24.3
2026-04-06,0,85,0%,31.3
2026-04-07,0,63,0%,22.5
2026-04-08,0,61,0%,27.1
2026-04-09,0,54,0%,26.2
2026-04-10,0,61,0%,21.7
2026-04-11,0,56,0%,24.2
2026-04-12,0,54,0%,25.9
2026-04-13,0,60,0%,22.7
2026-04-14,0,46,0%,25.2
2026-04-15,0,73,0%,23.2
2026-04-16,0,55,0%,20.3
2026-04-17,1,23,4.35%,20
2026-04-18,0,54,0%,28.4
2026-04-19,0,113,0%,24.2
2026-04-20,0,58,0%,22.6
2026-04-21,0,37,0%,20.4
2026-04-22,0,62,0%,22.8
2026-04-23,0,50,0%,21.6
2026-04-24,0,49,0%,22.7
2026-04-25,0,48,0%,26.5
2026-04-26,0,75,0%,23.5
2026-04-27,0,51,0%,28.3
2026-04-28,0,48,0%,26.1
2026-04-29,0,79,0%,29.8
2026-04-30,1,60,1.67%,24
2026-05-01,0,34,0%,17.1
2026-05-02,0,63,0%,24.3
2026-05-03,0,46,0%,23.8
2026-05-04,0,73,0%,24.2
2026-05-05,0,50,0%,24.4
2026-05-06,0,81,0%,28
2026-05-07,0,78,0%,25.5
2026-05-08,0,48,0%,22.6
2026-05-09,0,60,0%,27
2026-05-10,0,69,0%,24.5
2026-05-11,0,76,0%,25.3
2026-05-12,0,57,0%,23.5
2026-05-13,0,98,0%,29.3
2026-05-14,0,70,0%,25.9
2026-05-15,0,44,0%,21.6
2026-05-16,0,73,0%,34.5
2026-05-17,0,78,0%,28.8
2026-05-18,0,83,0%,27.8
2026-05-19,0,40,0%,21.9
2026-05-20,0,84,0%,27.2
2026-05-21,0,88,0%,24.5
2026-05-22,0,67,0%,22.8
2026-05-23,0,75,0%,17.4
2026-05-24,0,137,0%,15.5
2026-05-25,0,95,0%,15.6
2026-05-26,1,82,1.22%,15.5
2026-05-27,0,103,0%,18.8
2026-05-28,0,104,0%,20.3
2026-05-29,0,79,0%,18.5
2026-05-30,0,106,0%,23.8
2026-05-31,0,129,0%,17.8
2026-06-01,0,98,0%,17.7
2026-06-02,0,79,0%,15.3
2026-06-03,0,112,0%,24.1
2026-06-04,0,102,0%,17.9
2026-06-05,0,98,0%,30.9
2026-06-06,0,78,0%,15
2026-06-07,1,85,1.18%,15.9
2026-06-08,0,110,0%,20.1
2026-06-09,0,114,0%,19.4
2026-06-10,0,113,0%,23.2
2026-06-11,0,72,0%,17.2
2026-06-12,0,79,0%,16.8
2026-06-13,0,97,0%,24.1
