Country,Clicks,Impressions,CTR,Position
United States,10,6302,0.16%,24.12
Canada,0,30,0%,9.6
United Kingdom,0,22,0%,10.05
India,0,19,0%,20.37
Bahamas,0,17,0%,35.71
Russia,0,13,0%,15.23
Brazil,0,12,0%,16.17
Denmark,0,10,0%,8.3
Indonesia,0,10,0%,21.7
Bangladesh,0,9,0%,16.56
Mexico,0,8,0%,28.25
Italy,0,7,0%,16
Philippines,0,6,0%,16.67
France,0,6,0%,18
Ukraine,0,5,0%,13.4
Turkey,0,5,0%,21.2
Jamaica,0,4,0%,3
Spain,0,4,0%,10.25
Argentina,0,4,0%,15.5
Vietnam,0,4,0%,16
Malaysia,0,4,0%,16.75
Israel,0,4,0%,25
Venezuela,0,3,0%,16
Morocco,0,3,0%,20
Serbia,0,3,0%,20
Germany,0,3,0%,26.33
Switzerland,0,2,0%,5.5
Bermuda,0,2,0%,6
South Korea,0,2,0%,9
Ecuador,0,2,0%,10
Austria,0,2,0%,12.5
Peru,0,2,0%,14.5
Saudi Arabia,0,2,0%,20
Dominican Republic,0,2,0%,31.5
Egypt,0,1,0%,1
South Africa,0,1,0%,1
Guatemala,0,1,0%,2
Sint Maarten,0,1,0%,4
Kosovo,0,1,0%,5
Chile,0,1,0%,8
Finland,0,1,0%,8
Taiwan,0,1,0%,9
U.S. Virgin Islands,0,1,0%,10
Guam,0,1,0%,12
Hong Kong,0,1,0%,12
United Arab Emirates,0,1,0%,13
Cyprus,0,1,0%,13
Romania,0,1,0%,20
Tunisia,0,1,0%,20
Bulgaria,0,1,0%,21
Netherlands,0,1,0%,21
Paraguay,0,1,0%,21
Suriname,0,1,0%,21
Syria,0,1,0%,21
Trinidad & Tobago,0,1,0%,21
Uzbekistan,0,1,0%,21
Colombia,0,1,0%,22
Panama,0,1,0%,22
Sweden,0,1,0%,23
Poland,0,1,0%,34
Thailand,0,1,0%,47
