Date,Clicks,Impressions,CTR,Position
2026-03-14,0,160,0%,12.4
2026-03-15,2,187,1.07%,14.7
2026-03-16,1,216,0.46%,13.5
2026-03-17,1,170,0.59%,14.3
2026-03-18,1,200,0.5%,19.2
2026-03-19,1,315,0.32%,24.9
2026-03-20,2,302,0.66%,24
2026-03-21,4,324,1.23%,23.9
2026-03-22,5,304,1.64%,19.5
2026-03-23,0,277,0%,22.5
2026-03-24,0,276,0%,20.6
2026-03-25,0,352,0%,22.3
2026-03-26,2,394,0.51%,24.6
2026-03-27,1,296,0.34%,22.4
2026-03-28,3,241,1.24%,20.2
2026-03-29,3,306,0.98%,20.3
2026-03-30,1,252,0.4%,20.9
2026-03-31,1,240,0.42%,14.6
2026-04-01,0,275,0%,20.3
2026-04-02,0,235,0%,16.4
2026-04-03,2,192,1.04%,22.2
2026-04-04,5,225,2.22%,19
2026-04-05,2,235,0.85%,17.4
2026-04-06,0,306,0%,19.4
2026-04-07,4,349,1.15%,20.5
2026-04-08,1,313,0.32%,21.1
2026-04-09,1,297,0.34%,16.5
2026-04-10,2,253,0.79%,17.8
2026-04-11,2,244,0.82%,21.2
2026-04-12,1,228,0.44%,19.3
2026-04-13,1,283,0.35%,19.6
2026-04-14,1,280,0.36%,20.5
2026-04-15,2,351,0.57%,23.6
2026-04-16,1,316,0.32%,21
2026-04-17,2,207,0.97%,20.2
2026-04-18,0,171,0%,22.5
2026-04-19,0,219,0%,22.1
2026-04-20,1,226,0.44%,19.4
2026-04-21,2,236,0.85%,14.5
2026-04-22,0,238,0%,19.8
2026-04-23,3,271,1.11%,21.1
2026-04-24,3,183,1.64%,19.4
2026-04-25,0,207,0%,18.1
2026-04-26,1,255,0.39%,20.9
2026-04-27,0,254,0%,21.8
2026-04-28,0,235,0%,19.9
2026-04-29,0,263,0%,19.7
2026-04-30,2,256,0.78%,23.8
2026-05-01,1,215,0.47%,16.9
2026-05-02,0,211,0%,21.9
2026-05-03,3,236,1.27%,18.3
2026-05-04,1,268,0.37%,20.2
2026-05-05,0,242,0%,19.4
2026-05-06,1,233,0.43%,22.1
2026-05-07,1,316,0.32%,23.1
2026-05-08,1,236,0.42%,20.7
2026-05-09,0,188,0%,21.5
2026-05-10,0,229,0%,22.5
2026-05-11,1,269,0.37%,19
2026-05-12,0,233,0%,18.7
2026-05-13,2,259,0.77%,25
2026-05-14,2,296,0.68%,20.3
2026-05-15,1,225,0.44%,18.3
2026-05-16,0,261,0%,21.5
2026-05-17,3,261,1.15%,21.8
2026-05-18,0,366,0%,24.1
2026-05-19,1,227,0.44%,18.5
2026-05-20,2,273,0.73%,24.1
2026-05-21,2,331,0.6%,25.3
2026-05-22,1,315,0.32%,18.1
2026-05-23,2,353,0.57%,18.9
2026-05-24,3,366,0.82%,16.7
2026-05-25,2,378,0.53%,15.2
2026-05-26,2,456,0.44%,22.4
2026-05-27,3,470,0.64%,21.4
2026-05-28,4,369,1.08%,13.7
2026-05-29,4,350,1.14%,15.3
2026-05-30,3,339,0.88%,16
2026-05-31,1,343,0.29%,15.9
2026-06-01,0,333,0%,17.2
2026-06-02,2,304,0.66%,16
2026-06-03,4,338,1.18%,15.2
2026-06-04,2,357,0.56%,13.5
2026-06-05,2,304,0.66%,13.5
2026-06-06,5,296,1.69%,11.2
2026-06-07,1,286,0.35%,14.5
2026-06-08,6,367,1.63%,12.3
2026-06-09,0,340,0%,13.3
2026-06-10,0,332,0%,19
2026-06-11,1,299,0.33%,14
2026-06-12,3,283,1.06%,13.9
2026-06-13,1,272,0.37%,16.5
